Date,Mobility
15-02-2020,74080993.80379127
16-02-2020,73092669.2305935
17-02-2020,73843621.65884379
18-02-2020,73976149.81257175
19-02-2020,73199268.2848825
20-02-2020,73513595.11342137
21-02-2020,70800354.49995239
22-02-2020,73084611.21847035
23-02-2020,74173648.2042662
24-02-2020,74833701.29511103
25-02-2020,70431491.96112218
26-02-2020,74404717.40016001
27-02-2020,75331581.86153026
28-02-2020,75175295.97879557
29-02-2020,75817477.98232459
01-03-2020,75910548.69016227
02-03-2020,76348929.35294317
03-03-2020,74588271.13804036
04-03-2020,76677200.83529611
05-03-2020,76562543.76888394
06-03-2020,75183353.99091871
07-03-2020,77222596.85972877
08-03-2020,79621305.49953917
09-03-2020,78649096.95058772
10-03-2020,61335677.59601017
11-03-2020,70517638.2674237
12-03-2020,76244085.36172365
13-03-2020,75795891.6237501
14-03-2020,75786494.85592024
15-03-2020,76396861.11831938
16-03-2020,77189442.3628922
17-03-2020,75802194.5728038
18-03-2020,75669666.41907583
19-03-2020,75893093.91020924
20-03-2020,75843823.38912632
21-03-2020,75760982.06384405
22-03-2020,58718505.65841334
23-03-2020,67151685.27200885
24-03-2020,61966707.76863985
25-03-2020,58662932.18827674
26-03-2020,58299751.14601773
27-03-2020,58687106.22464623
28-03-2020,57819741.666914314
29-03-2020,60880463.605758734
30-03-2020,60685136.584496535
31-03-2020,60396322.54803386
01-04-2020,59421942.62865018
02-04-2020,59752385.481435366
03-04-2020,61196545.49736707
04-04-2020,61823027.784012526
05-04-2020,64891807.73498013
06-04-2020,63261717.465616085
07-04-2020,66229579.858865865
08-04-2020,65733454.35551612
09-04-2020,65271315.9637285
10-04-2020,65478627.43061559
11-04-2020,65385973.03014067
12-04-2020,68332037.90257291
13-04-2020,67458786.70315008
14-04-2020,64611262.87288366
15-04-2020,65128974.73480789
16-04-2020,65237328.85216637
17-04-2020,65294657.385372445
18-04-2020,63931167.32429079
19-04-2020,66134337.78059593
20-04-2020,66830133.04607237
21-04-2020,62577906.64576453
22-04-2020,68068736.65818645
23-04-2020,67185672.38357097
24-04-2020,68068736.65818645
25-04-2020,67687684.52861165
26-04-2020,69335645.88529149
27-04-2020,68744905.77327763
28-04-2020,64219981.36075346
29-04-2020,66035796.73843009
30-04-2020,65895626.87994173
01-05-2020,64666420.03565751
02-05-2020,67025876.37469734
03-05-2020,69071005.88519831
04-05-2020,67347844.9079966
05-05-2020,66251166.21744034
06-05-2020,69230801.89407195
07-05-2020,67711442.25761837
08-05-2020,71542742.77509834
09-05-2020,70641807.41316706
10-05-2020,73619688.0267292
11-05-2020,73779900.3429656
12-05-2020,72599964.0197643
13-05-2020,73218388.29428661
14-05-2020,74961591.72923638
15-05-2020,76068083.49498528
16-05-2020,76206498.29040417
17-05-2020,78806836.90053044
18-05-2020,77637129.95988455
19-05-2020,75483230.02466235
20-05-2020,76629179.2363015
21-05-2020,78571636.1260152
22-05-2020,77952795.54413012
23-05-2020,78166409.9600709
24-05-2020,79881512.92514946
25-05-2020,74056108.4813209
26-05-2020,77762938.85719606
27-05-2020,77093072.6911586
28-05-2020,79737211.48803964
29-05-2020,80968173.39539333
30-05-2020,80924789.51600134
31-05-2020,83185288.50551257
01-06-2020,82140051.70647147
02-06-2020,82438262.510764
03-06-2020,83445796.92698428
04-06-2020,82305734.35703604
05-06-2020,77672455.82715338
06-06-2020,83997495.90047064
07-06-2020,86416035.83578601
08-06-2020,85593810.2205156
09-06-2020,84115663.09302175
10-06-2020,84471202.43052036
11-06-2020,85396311.82882114
12-06-2020,86222047.57023054
13-06-2020,85412011.54570471
14-06-2020,88225964.57177174
15-06-2020,87718065.78504017
16-06-2020,85429882.63302049
17-06-2020,85787177.03358859
18-06-2020,84852670.86745796
19-06-2020,85933649.84113064
20-06-2020,86196534.77815433
21-06-2020,85062775.15725976
22-06-2020,87421610.0438171
23-06-2020,87000684.16098927
24-06-2020,85233722.99703276
25-06-2020,76724005.00720868
26-06-2020,84076205.64713149
27-06-2020,83761878.81859262
28-06-2020,78844334.13823153
29-06-2020,84845029.16269757
30-06-2020,85637194.09990759
01-07-2020,85133010.58443469
02-07-2020,85372554.09981441
03-07-2020,87528209.09810612
04-07-2020,85030959.41612989
05-07-2020,86162963.97395496
06-07-2020,83175270.2852002
07-07-2020,83860836.16812122
08-07-2020,84676758.83433798
09-07-2020,82545277.87241577
10-07-2020,82347779.48072132
11-07-2020,83693398.45448719
12-07-2020,86920219.35125895
13-07-2020,87890467.69202118
