Date,Mobility
15-02-2020,45317806.84729037
16-02-2020,45164205.82226407
17-02-2020,45247747.186670326
18-02-2020,45080664.45785781
19-02-2020,45408825.484681055
20-02-2020,44900802.39668664
21-02-2020,43090172.92337144
22-02-2020,42730290.2330041
23-02-2020,44264736.948383234
24-02-2020,43712212.86448608
25-02-2020,43584714.30757963
26-02-2020,45266530.94983075
27-02-2020,44714006.8659336
28-02-2020,44694679.29937062
29-02-2020,45080120.65445526
01-03-2020,45234424.05090912
02-03-2020,45336749.17847581
03-03-2020,45092514.75143637
04-03-2020,45362851.64659566
05-03-2020,45966810.19597743
06-03-2020,45375245.743576765
07-03-2020,47315005.18400608
08-03-2020,48593140.51141466
09-03-2020,41658209.90358398
10-03-2020,29303309.268713776
11-03-2020,33392780.46407999
12-03-2020,43043813.84990849
13-03-2020,43115346.35271119
14-03-2020,36194124.11601926
15-03-2020,44073024.59363352
16-03-2020,43302141.88346423
17-03-2020,42543494.70225106
18-03-2020,41939536.152869284
19-03-2020,41618852.39903047
20-03-2020,41079651.45089452
21-03-2020,40334871.2088451
22-03-2020,29984487.61565002
23-03-2020,32732855.860594474
24-03-2020,30555410.22733006
25-03-2020,29356058.008356046
26-03-2020,29234020.078848824
27-03-2020,28977006.319450725
28-03-2020,29099044.248957947
29-03-2020,30716329.957315784
30-03-2020,29452922.5085235
31-03-2020,29760283.126601115
01-04-2020,29388164.90727768
02-04-2020,29125305.28510281
03-04-2020,29799323.495104626
04-04-2020,29946534.853951607
05-04-2020,32206275.67679218
06-04-2020,29831974.19742881
07-04-2020,31122345.053793512
08-04-2020,31078387.86129332
09-04-2020,31071998.195113994
10-04-2020,30519474.11121684
11-04-2020,31431722.31745632
12-04-2020,33222480.420805994
13-04-2020,31580021.283108406
14-04-2020,31104105.09403563
15-04-2020,31489002.64571772
16-04-2020,30121094.855748545
17-04-2020,30069660.39026393
18-04-2020,30249522.451435093
19-04-2020,31314827.879298326
20-04-2020,29979729.359678343
21-04-2020,30243132.785255767
22-04-2020,29806256.96468651
23-04-2020,29748976.636425115
24-04-2020,30333063.815841347
25-04-2020,30422994.84642693
26-04-2020,31661228.86587945
27-04-2020,30314280.052680917
28-04-2020,30249522.451435093
29-04-2020,30660681.039262038
30-04-2020,30358237.245181106
01-05-2020,29304623.542871423
02-05-2020,30454557.941946015
03-05-2020,32071843.65030385
04-05-2020,30794569.262347817
05-05-2020,30935390.955015466
06-05-2020,31667777.10008378
07-05-2020,31275946.078819815
08-05-2020,32097719.451071166
09-05-2020,31725057.42834518
10-05-2020,33259345.575699314
11-05-2020,31642059.86734147
12-05-2020,32129826.3499928
13-05-2020,32078391.884508178
14-05-2020,32451053.90723417
15-05-2020,32508334.235495564
16-05-2020,33099354.88449368
17-05-2020,34306025.80842712
18-05-2020,32977316.954986457
19-05-2020,33201680.012060367
20-05-2020,33612838.59988732
21-05-2020,33754747.89936007
22-05-2020,33368218.937470328
23-05-2020,33670662.73155127
24-05-2020,35165910.510401875
25-05-2020,32181260.81547742
26-05-2020,34100605.08253864
27-05-2020,32930799.313498516
28-05-2020,34376402.60509717
29-05-2020,34267144.00794861
30-05-2020,34100061.27913609
31-05-2020,35743064.22023624
01-06-2020,34523613.96394415
02-06-2020,36007170.01724122
03-06-2020,36476152.73673211
04-06-2020,37131001.94819596
05-06-2020,35878198.61815212
06-06-2020,37368144.33762851
07-06-2020,37631389.19518094
08-06-2020,37567877.76876521
09-06-2020,37278757.11044548
10-06-2020,37484336.40435896
11-06-2020,38287484.58147488
12-06-2020,38717426.93246225
13-06-2020,38402589.04140022
14-06-2020,39674017.566579476
15-06-2020,37362842.27825429
16-06-2020,38626952.09847412
17-06-2020,38749533.8313839
18-06-2020,37536314.67324612
19-06-2020,38768861.39794688
20-06-2020,39244233.78361711
21-06-2020,38929781.12793261
22-06-2020,39661940.60564838
23-06-2020,39603572.670581885
24-06-2020,39802218.49491348
25-06-2020,39507251.973816976
26-06-2020,37888720.090629034
27-06-2020,39750398.79405131
28-06-2020,39300041.26969585
29-06-2020,38478267.897444494
30-06-2020,39333235.77542258
01-07-2020,38240966.93998694
02-07-2020,39108872.718348674
03-07-2020,38222726.98022905
04-07-2020,38813747.62922717
05-07-2020,39602870.29915433
06-07-2020,38024081.15589745
07-07-2020,38063121.52440097
08-07-2020,38376871.808657914
09-07-2020,38653213.13461899
10-07-2020,38107622.520303704
11-07-2020,32328472.174324404
12-07-2020,34036232.71667037
13-07-2020,32996644.521549445
14-07-2020,33285765.179869175
15-07-2020,34011217.85535561
16-07-2020,33022905.557694305
17-07-2020,32964537.622627806
18-07-2020,33028751.420471076
19-07-2020,33523292.804679286
20-07-2020,32535139.075042974
21-07-2020,32246018.41672324
22-07-2020,33285765.179869175
23-07-2020,33196377.952686142
24-07-2020,33227941.048205227
25-07-2020,33144399.683798973
26-07-2020,34357460.27391174
27-07-2020,33523995.176106833
28-07-2020,33690534.1015168
29-07-2020,33549168.605446596
30-07-2020,33593669.60134933
31-07-2020,33600603.07093122
01-08-2020,33149860.311198205
02-08-2020,36828943.389492564
03-08-2020,31748372.78012474
04-08-2020,33175033.740537956
05-08-2020,33527280.589895863
06-08-2020,33964700.21386767
07-08-2020,34573960.82262367
08-08-2020,34702932.22171277
09-08-2020,36757093.750639856
10-08-2020,35357781.43317661
11-08-2020,34773694.25376037
12-08-2020,34421288.83637746
13-08-2020,35415605.56484055
14-08-2020,35743222.78826125
15-08-2020,34323880.53280745
16-08-2020,37348658.203040525
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,36058989.71810338
23-08-2020,36154222.808063194
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,37002257.2164594
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,37491111.30591583
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,37710716.10701806
12-09-2020,40118914.46353572
13-09-2020,39630060.37407929
14-09-2020,40343821.324012175
15-09-2020,39548150.41988067
16-09-2020,40761913.381421
17-09-2020,39491413.89502184
18-09-2020,40621091.688753344
19-09-2020,41976605.38174142
20-09-2020,41520945.79801173
21-09-2020,39646102.52685325
22-09-2020,38341864.7313248
23-09-2020,41053594.48872848
24-09-2020,40469507.30931225
25-09-2020,40006914.256000675
26-09-2020,41876455.46778493
27-09-2020,42518366.778865114
28-09-2020,42287228.820234336
29-09-2020,41394149.61253283
30-09-2020,41020558.55102675
01-10-2020,38558909.083439276
02-10-2020,39542077.88975137
03-10-2020,40505058.19004791
04-10-2020,40928610.874855965
05-10-2020,41243992.56932055
06-10-2020,41127800.50259011
07-10-2020,41628890.121002644
08-10-2020,41669018.096311264
09-10-2020,42639090.43421469
10-10-2020,43436234.180528834
11-10-2020,43499904.17496956
12-10-2020,43069576.58860462
13-10-2020,43249438.64977579
14-10-2020,44502241.979819626
15-10-2020,44521569.5463826
16-10-2020,45221848.792529285
17-10-2020,44239767.5930223
18-10-2020,43982753.8336242
19-10-2020,44079233.098414116
20-10-2020,43898827.2338404
21-10-2020,43873110.00109809
22-10-2020,43775316.46215054
23-10-2020,43332050.975401945
24-10-2020,43318727.839640744
25-10-2020,44101460.84338859
26-10-2020,39548626.1239557
27-10-2020,42888241.68525082
28-10-2020,42041136.3156347
29-10-2020,43364157.87432358
30-10-2020,43403742.046229646
31-10-2020,44360876.48374942
01-11-2020,43866176.53151621
02-11-2020,41168472.28130128
03-11-2020,31675571.509118218
04-11-2020,43775860.26555309
05-11-2020,44399531.61687538
06-11-2020,43506452.409173876
07-11-2020,44772035.071576364
08-11-2020,44071755.825429685
09-11-2020,43731359.26965035
10-11-2020,41921115.03171268
11-11-2020,44251232.65122331
12-11-2020,47193329.89650267
13-11-2020,44058591.25769349
14-11-2020,41709304.63964488
15-11-2020,41944815.61886979
16-11-2020,43332753.346829504
17-11-2020,45014411.421055615
18-11-2020,43356295.36596161
19-11-2020,42097260.93776345
20-11-2020,38495170.989671014
21-11-2020,38395202.23711325
22-11-2020,45468054.359200105
23-11-2020,46298392.61124099
24-11-2020,47005061.523567
25-11-2020,47428614.20837505
26-11-2020,44871573.082802765
27-11-2020,44519167.66541986
28-11-2020,47410759.483994715
29-11-2020,47904530.39744782
30-11-2020,45328478.841362566
01-12-2020,45044501.67439205
02-12-2020,46626395.07003923
03-12-2020,46518224.07969576
04-12-2020,46383248.249804884
05-12-2020,47262845.75372018
06-12-2020,47018769.89470574
07-12-2020,45296983.84517101
08-12-2020,41047363.39057416
09-12-2020,46570043.78055793
10-12-2020,47650462.322415024
11-12-2020,46854247.61488098
12-12-2020,47477375.16280073
13-12-2020,47593567.229531184
14-12-2020,47323774.13777443
15-12-2020,47406771.69877813
16-12-2020,48897805.02505963
17-12-2020,47369204.17245726
18-12-2020,47234772.145968944
19-12-2020,48911513.39619838
20-12-2020,49258072.9508045
21-12-2020,47144841.11538336
22-12-2020,47465524.86922217
23-12-2020,47876683.45704913
24-12-2020,47722538.628620274
25-12-2020,48507605.41400331
26-12-2020,48827586.79641458
27-12-2020,50028570.42559624
28-12-2020,48796023.70089549
29-12-2020,47845120.36153004
30-12-2020,48436141.010528155
31-12-2020,51365458.92344887
