Date,Mobility
15-02-2020,52963308.44371708
16-02-2020,51473678.61919046
17-02-2020,52121119.608734325
18-02-2020,52194420.7345572
19-02-2020,52632870.08423101
20-02-2020,52298916.55449221
21-02-2020,50099273.23877726
22-02-2020,50614538.88452669
23-02-2020,51637048.65709703
24-02-2020,52047818.48291144
25-02-2020,50274363.07928528
26-02-2020,52159527.756772116
27-02-2020,52489966.11625818
28-02-2020,53481281.19471638
29-02-2020,53926943.99831587
01-03-2020,52791733.77346179
02-03-2020,53661602.13230396
03-03-2020,52642607.52998635
04-03-2020,53352621.0211747
05-03-2020,52747103.349921376
06-03-2020,51981913.92443443
07-03-2020,53369571.92085569
08-03-2020,54554460.552909546
09-03-2020,50452884.77344694
10-03-2020,38731668.517695025
11-03-2020,46298290.82467499
12-03-2020,51041268.43159904
13-03-2020,51730815.85285364
14-03-2020,47686581.47795597
15-03-2020,52580218.14176208
16-03-2020,53147327.66497759
17-03-2020,52635577.18948089
18-03-2020,52124817.89240725
19-03-2020,51526513.67507959
20-03-2020,51429231.30907025
21-03-2020,51363143.63717304
22-03-2020,37009332.24313119
23-03-2020,44947691.27630511
24-03-2020,40372590.055963404
25-03-2020,37033679.71015807
26-03-2020,36605958.98466266
27-03-2020,36369287.82093321
28-03-2020,36282734.079102255
29-03-2020,38141027.29773255
30-03-2020,36682775.28073827
31-03-2020,36978320.66243926
01-04-2020,36504978.33498037
02-04-2020,36275520.62517659
03-04-2020,37281079.49806592
04-04-2020,38088375.35526361
05-04-2020,39842172.75395888
06-04-2020,38283123.20070252
07-04-2020,39493167.3647861
08-04-2020,39663750.85661834
09-04-2020,39270923.10890799
10-04-2020,39260194.484729595
11-04-2020,39514807.7265631
12-04-2020,41459654.68702435
13-04-2020,40530104.04520777
14-04-2020,39423564.52263615
15-04-2020,38042936.86672034
16-04-2020,38850232.723918036
17-04-2020,39285166.90333912
18-04-2020,39125312.035685286
19-04-2020,40534427.28046336
20-04-2020,40516668.31577949
21-04-2020,38112539.708870284
22-04-2020,40610252.39811591
