Date,Mobility
15-02-2020,47814076.193941906
16-02-2020,46889752.77391174
17-02-2020,46531660.20865709
18-02-2020,47679981.57721016
19-02-2020,47149839.09375144
20-02-2020,46968596.94372377
21-02-2020,44113809.03446519
22-02-2020,44615926.14774221
23-02-2020,46725068.06986444
24-02-2020,46725068.06986444
25-02-2020,46552280.452193335
26-02-2020,47348047.45198168
27-02-2020,47195528.45911404
28-02-2020,47381571.10616462
29-02-2020,47336619.44026904
01-03-2020,46830070.67970263
02-03-2020,46968596.94372377
03-03-2020,47434256.83595047
04-03-2020,48955032.3483382
05-03-2020,48694577.178764984
06-03-2020,47885186.299863644
07-03-2020,51963468.4811529
08-03-2020,55761395.71779899
09-03-2020,47740055.20264073
10-03-2020,33946131.676667355
11-03-2020,40580053.59670261
12-03-2020,48617231.08937496
13-03-2020,48108446.54891953
14-03-2020,42026393.90507975
15-03-2020,48011546.85270511
16-03-2020,47559879.689324915
17-03-2020,46850690.92323888
18-03-2020,46857687.28766213
19-03-2020,46358872.59098599
20-03-2020,46365868.95540925
21-03-2020,45511157.56087883
22-03-2020,33156600.66034729
23-03-2020,36432857.176891975
24-03-2020,33984415.915384516
25-03-2020,32479091.299776625
26-03-2020,32319575.942485735
27-03-2020,32352730.74693516
28-03-2020,32412781.690877777
29-03-2020,33835199.33911777
30-03-2020,32665871.646294232
31-03-2020,32957285.75291651
01-04-2020,32751712.180529505
02-04-2020,31834753.974656105
03-04-2020,32890607.29428415
04-04-2020,33442476.570479654
05-04-2020,35043940.50134697
06-04-2020,33203010.494176198
07-04-2020,35456937.345275775
08-04-2020,35683500.01093254
09-04-2020,35318042.23152113
10-04-2020,35071948.640527934
11-04-2020,35776705.75932459
12-04-2020,37158603.388958395
13-04-2020,35485291.6527023
14-04-2020,35650345.20648312
15-04-2020,37350535.85123168
16-04-2020,35285256.27680522
17-04-2020,35471298.92385579
18-04-2020,35777443.458791606
19-04-2020,36263371.97582178
20-04-2020,35631551.980613716
21-04-2020,36102381.21959683
22-04-2020,35519184.15661875
23-04-2020,35179884.81723351
24-04-2020,35571501.03667109
25-04-2020,35399819.968200535
26-04-2020,36669349.77383938
27-04-2020,34742948.082166836
28-04-2020,35101040.64742149
29-04-2020,35592858.97967436
30-04-2020,35698230.43924607
01-05-2020,34874109.13203121
02-05-2020,35970851.31999895
03-05-2020,36815241.25201728
