Date,Mobility
15-02-2020,28636875.891675785
16-02-2020,28726884.692138787
17-02-2020,27981270.06412922
18-02-2020,28586585.0238737
19-02-2020,28881948.377019558
20-02-2020,28473478.362870798
21-02-2020,27002948.219353322
22-02-2020,28121569.7323943
23-02-2020,28507005.608072184
24-02-2020,27941472.303057652
25-02-2020,26336880.794462048
26-02-2020,28257774.25393711
27-02-2020,28603348.6464744
28-02-2020,28096456.159527775
29-02-2020,28308065.121739198
01-03-2020,28829561.968480214
02-03-2020,27560291.23092333
03-03-2020,27954077.05686705
04-03-2020,29238031.98262897
05-03-2020,29091398.076424673
06-03-2020,28138333.354994994
07-03-2020,29426543.08430048
08-03-2020,30695829.928198986
09-03-2020,25781649.429970916
10-03-2020,20693562.18986574
11-03-2020,25662304.465781063
12-03-2020,27731974.98792511
13-03-2020,27694256.661249194
14-03-2020,25773283.373363476
15-03-2020,28412662.17565497
16-03-2020,27681651.907439798
17-03-2020,28060753.54517847
18-03-2020,28492241.591456488
19-03-2020,27972760.457042087
20-03-2020,27063732.19388592
21-03-2020,27015520.760479487
22-03-2020,20458886.87650021
23-03-2020,24053425.940958664
24-03-2020,21895826.052747265
25-03-2020,20601282.085502557
26-03-2020,20316348.11701818
27-03-2020,20069196.19727876
28-03-2020,20182302.85828167
29-03-2020,21313513.018790424
30-03-2020,20465061.45761813
31-03-2020,20571913.70909247
01-04-2020,20435789.015960306
02-04-2020,20127837.01534667
03-04-2020,20735311.23789746
04-04-2020,21177308.497247607
05-04-2020,22212175.619354147
06-04-2020,20680845.39496246
07-04-2020,21730253.154794365
08-04-2020,21853869.0288694
09-04-2020,21610812.255852237
10-04-2020,21596128.067647196
11-04-2020,21941782.288595133
12-04-2020,23142142.480243925
13-04-2020,22082161.785270862
14-04-2020,21665278.098787237
15-04-2020,21277826.510782734
16-04-2020,20701863.82110672
17-04-2020,20703943.255502373
18-04-2020,20611775.192233074
19-04-2020,21407840.344866022
20-04-2020,21032833.853849612
21-04-2020,19794931.098687816
22-04-2020,20888455.145203885
23-04-2020,20840163.883386802
24-04-2020,21328277.03540612
25-04-2020,21280065.601999685
26-04-2020,22088639.573689763
27-04-2020,21583762.79906975
28-04-2020,20655731.82209594
29-04-2020,21851933.144953437
30-04-2020,21652912.830209795
01-05-2020,20773093.286642414
02-05-2020,21409935.885603286
03-05-2020,22622804.89630921
04-05-2020,22096989.523955595
05-05-2020,21248617.79119395
06-05-2020,22547416.561982222
07-05-2020,22314789.173626542
08-05-2020,23228215.79080596
09-05-2020,23251153.99452457
10-05-2020,24101684.990092516
11-05-2020,22641584.23123652
12-05-2020,22830095.33290803
13-05-2020,23029115.647651672
14-05-2020,23330733.41032609
15-05-2020,23079406.515453752
16-05-2020,23376849.302995257
17-05-2020,24436829.99796832
18-05-2020,23898425.978146926
19-05-2020,23785319.317144018
20-05-2020,24156087.110958476
21-05-2020,24273368.747094296
22-05-2020,24005278.22962127
23-05-2020,24361361.83523068
24-05-2020,24369855.3359762
25-05-2020,22911850.117857467
26-05-2020,23944557.9771577
27-05-2020,24719620.80998801
28-05-2020,24543618.527373627
29-05-2020,24889272.748321563
30-05-2020,25128074.717795156
31-05-2020,24979425.099264245
01-06-2020,25119740.87387094
02-06-2020,25513526.69981466
03-06-2020,25651826.76209474
04-06-2020,25672765.35982834
05-06-2020,24296466.607634205
06-06-2020,26062376.21063915
07-06-2020,26573507.39478772
08-06-2020,26703313.95632229
09-06-2020,26374423.357975043
10-06-2020,26410046.143913697
11-06-2020,26372343.9235794
12-06-2020,26347230.350712873
