Date,Mobility
15-02-2020,69429002.59267026
16-02-2020,69227067.74636745
17-02-2020,68749442.8930897
18-02-2020,68954601.63939553
19-02-2020,69321305.7098827
20-02-2020,69073424.65646817
21-02-2020,66783640.6043089
22-02-2020,67929699.02288215
23-02-2020,67713414.14229123
24-02-2020,68630619.87601706
25-02-2020,66067478.60187008
26-02-2020,69227067.74636745
27-02-2020,68781930.18092912
28-02-2020,70130814.56082098
29-02-2020,69877364.05811161
01-03-2020,69691233.68037291
02-03-2020,70525327.58486855
03-03-2020,69729277.65320258
04-03-2020,70888807.7553527
05-03-2020,72256720.50381169
06-03-2020,73173926.23753752
07-03-2020,73133536.71541603
08-03-2020,76730373.95537426
09-03-2020,73007715.34338173
10-03-2020,52075899.86976992
11-03-2020,64637277.38708422
12-03-2020,71418839.38005279
13-03-2020,69898737.97597055
14-03-2020,64130061.35021448
15-03-2020,71290344.6629711
16-03-2020,71527990.69711637
17-03-2020,69944684.18308227
18-03-2020,70273344.28073977
19-03-2020,70313733.80286124
20-03-2020,70227398.07362804
21-03-2020,69569199.52760182
22-03-2020,50570711.81923597
23-03-2020,62187965.76427984
24-03-2020,55646369.82613917
25-03-2020,52912902.64281759
26-03-2020,52302995.85319491
27-03-2020,52270508.56535547
28-03-2020,51407151.27302343
29-03-2020,53238326.07616748
30-03-2020,53076793.516290724
31-03-2020,52707743.89651175
01-04-2020,52974653.31849341
02-04-2020,52389331.582428105
03-04-2020,54164325.15919116
04-04-2020,54436791.26616308
05-04-2020,55523431.79404772
06-04-2020,54816967.02022713
07-04-2020,59188480.27399239
08-04-2020,59077559.4912018
09-04-2020,58805093.38422989
10-04-2020,58578573.484369695
11-04-2020,58567447.35008463
12-04-2020,59826759.33643568
13-04-2020,60277479.11547341
14-04-2020,58538183.96224823
15-04-2020,58934151.420571804
16-04-2020,58308440.16238501
17-04-2020,57445082.870052956
18-04-2020,56714007.51406584
19-04-2020,56869983.388952345
20-04-2020,58149227.62319091
21-04-2020,56512072.667763025
22-04-2020,59204271.97825191
23-04-2020,58573004.035074875
24-04-2020,57369860.51080025
25-04-2020,58953167.02483435
26-04-2020,56912705.696061045
27-04-2020,59079892.27618903
28-04-2020,58208632.74957492
29-04-2020,59956708.487793386
30-04-2020,59697701.30009376
01-05-2020,56886678.97253225
02-05-2020,59060863.9076219
03-05-2020,59349121.71885335
04-05-2020,60941221.58218529
05-05-2020,58866831.29560114
06-05-2020,61739604.29883848
07-05-2020,60010556.92918716
08-05-2020,62867525.4638604
09-05-2020,61990709.25225605
10-05-2020,61814801.12948204
11-05-2020,63541528.478450716
12-05-2020,63299204.110026434
13-05-2020,63806092.35114059
14-05-2020,64504680.41928829
15-05-2020,65262673.61382
16-05-2020,64305078.35797269
17-05-2020,63889191.41606619
18-05-2020,65826634.19633096
19-05-2020,66023890.70835474
20-05-2020,67394136.24180096
21-05-2020,67240493.15190166
22-05-2020,66722478.77650244
23-05-2020,65859121.48417038
24-05-2020,65464595.69581823
25-05-2020,64354261.229392014
26-05-2020,67669826.2487759
27-05-2020,67904248.38291813
28-05-2020,68840482.48521109
29-05-2020,70343009.95500223
30-05-2020,68953736.05298889
31-05-2020,68637643.7595879
01-06-2020,69072559.07006153
02-06-2020,70624256.64696741
03-06-2020,71886805.29762606
04-06-2020,72790552.1120796
05-06-2020,68368414.31692357
06-06-2020,71908166.45118041
07-06-2020,71511307.87784106
08-06-2020,71840859.09051433
09-06-2020,72955321.33626395
10-06-2020,73592158.72873582
11-06-2020,74919681.95507331
12-06-2020,74887194.6672339
13-06-2020,73333151.5410362
14-06-2020,73410693.92097157
15-06-2020,70737522.9790498
16-06-2020,74102270.869853
17-06-2020,73829804.76288109
18-06-2020,72707440.28284943
