Date,Mobility
15-02-2020,9242658.897740787
16-02-2020,8792424.466162486
17-02-2020,9045102.653624825
18-02-2020,8747966.911028447
19-02-2020,8975030.49202435
20-02-2020,8716169.596579874
21-02-2020,8452335.646369876
22-02-2020,8427506.539534265
23-02-2020,8650088.440299965
24-02-2020,8512528.91938884
25-02-2020,8325735.338392279
26-02-2020,8772894.292771123
27-02-2020,8714582.720526613
28-02-2020,8751859.641441952
29-02-2020,9111985.186327169
01-03-2020,9061360.800002605
02-03-2020,8811169.139923027
03-03-2020,8594868.222046526
04-03-2020,8776771.146393016
05-03-2020,8727733.636121713
06-03-2020,8796317.196575992
07-03-2020,9274668.6387951
08-03-2020,9909127.725871747
09-03-2020,9130057.812529871
10-03-2020,6495893.70255607
11-03-2020,7623246.173311745
12-03-2020,9138923.597708898
13-03-2020,8973950.167672334
14-03-2020,7569695.229227016
15-03-2020,9121962.349815747
16-03-2020,8981114.925099423
17-03-2020,8663942.457410438
18-03-2020,8899478.72395711
19-03-2020,8969354.335743455
20-03-2020,9021384.925098766
21-03-2020,9105409.378716776
22-03-2020,6700108.152397877
23-03-2020,7718312.237978738
24-03-2020,6917112.1717897495
25-03-2020,6819527.826156774
26-03-2020,6857606.123494548
27-03-2020,6828000.511707543
28-03-2020,6894981.31931695
29-03-2020,7054754.090816328
30-03-2020,6906741.908672916
31-03-2020,6761314.528819327
01-04-2020,6954094.267983897
02-04-2020,6726229.310565557
03-04-2020,6839957.650877637
04-04-2020,7055457.1923317015
05-04-2020,7101698.173333129
06-04-2020,6923883.829588583
07-04-2020,7175073.415904726
08-04-2020,7224012.6512689665
09-04-2020,7343628.874841991
10-04-2020,7286020.404112853
11-04-2020,7346017.127317686
12-04-2020,7525924.898816737
13-04-2020,7383392.323140089
14-04-2020,7055162.3676105095
15-04-2020,7307235.72846454
16-04-2020,6776951.971797186
17-04-2020,6785522.93225502
18-04-2020,6867159.133397333
19-04-2020,6652052.691571524
20-04-2020,6887490.683211132
21-04-2020,6751435.640237814
22-04-2020,6870447.03720253
23-04-2020,6823699.504499857
24-04-2020,6914004.941007069
25-04-2020,7015073.040633682
26-04-2020,6978090.944439536
27-04-2020,6998029.39462508
28-04-2020,6899251.272567098
29-04-2020,6980086.097286977
30-04-2020,6997931.119718015
01-05-2020,6827592.234913362
02-05-2020,7097707.168012559
03-05-2020,7213823.760800336
04-05-2020,7199576.644061609
05-05-2020,6993449.439487815
06-05-2020,7394842.910608939
07-05-2020,7173863.762688109
08-05-2020,7578446.862707365
09-05-2020,7517043.936471787
10-05-2020,7626977.821277426
11-05-2020,7612730.704538699
12-05-2020,7487438.324684782
13-05-2020,7717691.534578817
14-05-2020,7653098.979445107
15-05-2020,7754968.455494156
16-05-2020,7612125.877930391
17-05-2020,7701629.938015167
18-05-2020,7810286.948654661
19-05-2020,7650105.900361102
20-05-2020,7881062.211770508
21-05-2020,7846075.268423803
22-05-2020,7901295.486677243
23-05-2020,7886640.093144339
24-05-2020,7953817.450567872
25-05-2020,7689688.6756366845
26-05-2020,7814376.228882294
27-05-2020,7573163.806054728
28-05-2020,7739724.112144552
29-05-2020,7836212.256633902
30-05-2020,8065664.0901055
31-05-2020,8088383.892394995
01-06-2020,8071045.421665201
02-06-2020,8167435.291247484
03-06-2020,8339376.928897011
04-06-2020,8333897.322430246
05-06-2020,8145713.415194554
06-06-2020,8477132.999622267
07-06-2020,8520086.076818498
08-06-2020,8482612.606089031
09-06-2020,8304488.260457368
10-06-2020,8502747.606088703
11-06-2020,8584383.807231016
12-06-2020,8722041.603049207
13-06-2020,8725836.058555648
14-06-2020,8879327.847165825
15-06-2020,8305894.463488113
16-06-2020,8463982.084027166
17-06-2020,8734505.293920545
18-06-2020,8366496.013301256
19-06-2020,8571935.993151288
20-06-2020,8816239.769969923
21-06-2020,8526873.611408941
22-06-2020,8892298.089738406
23-06-2020,8697228.373005206
24-06-2020,9103021.126241079
25-06-2020,8844061.95588954
26-06-2020,8383653.811008534
27-06-2020,9121062.698486246
28-06-2020,9173992.939171055
29-06-2020,8859012.174143638
30-06-2020,9284236.82586381
01-07-2020,9440525.143743865
02-07-2020,9303570.449441046
03-07-2020,9303570.449441046
04-07-2020,9201096.146783687
05-07-2020,9416595.688237753
06-07-2020,9270971.758570036
07-07-2020,9066333.155142438
08-07-2020,9335466.038796682
09-07-2020,9445808.200396502
10-07-2020,8653277.36957241
11-07-2020,9192328.636511726
12-07-2020,9112475.861236801
13-07-2020,9040718.548676003
14-07-2020,8763816.080986358
15-07-2020,9486977.851725345
16-07-2020,7728568.349396896
17-07-2020,7813295.9045302775
18-07-2020,7868516.122783718
19-07-2020,7492230.7064277865
20-07-2020,7955435.38057867
21-07-2020,7474892.235697992
22-07-2020,7696476.210227129
23-07-2020,7361262.170292977
24-07-2020,7376114.113640011
25-07-2020,7778407.236090635
