Date,Mobility
15-02-2020,35432078.119923204
16-02-2020,34921960.0668765
17-02-2020,35127979.563775495
18-02-2020,34867244.09595477
19-02-2020,34860759.47240658
20-02-2020,35067365.7660895
21-02-2020,34363610.666456245
22-02-2020,34727736.22350604
23-02-2020,34838197.73306721
24-02-2020,35460537.68602684
25-02-2020,33261402.47583039
26-02-2020,34942761.41586412
27-02-2020,36284759.69947295
28-02-2020,35810933.314421125
29-02-2020,36166639.97279576
01-03-2020,35439736.33703923
02-03-2020,36428549.03418432
03-03-2020,35715962.123867214
04-03-2020,36568056.90663305
05-03-2020,36676584.141067244
06-03-2020,36625562.83562425
07-03-2020,37865518.50834707
08-03-2020,37994404.32083509
09-03-2020,36584546.934432924
10-03-2020,29602532.308431502
11-03-2020,34584503.82665349
12-03-2020,36503892.46931845
13-03-2020,36353031.71427498
14-03-2020,35377188.26422626
15-03-2020,35958099.40398588
16-03-2020,36497850.61670406
17-03-2020,35808412.24251023
18-03-2020,35785850.50317087
19-03-2020,36177088.14798124
20-03-2020,36415261.8764626
21-03-2020,36237701.945667244
22-03-2020,27804083.209438294
23-03-2020,32125075.919570103
24-03-2020,30016187.66673112
25-03-2020,28996981.128355417
26-03-2020,28780782.342429508
27-03-2020,28587145.29584297
28-03-2020,28297950.261918608
29-03-2020,29121759.363356017
30-03-2020,29158463.943359595
31-03-2020,28849815.03879067
01-04-2020,29035033.18670205
02-04-2020,29232633.784925885
03-04-2020,29523763.093977224
04-04-2020,30368786.456410952
05-04-2020,30814913.956918277
06-04-2020,30598541.286217157
07-04-2020,31655039.20138035
08-04-2020,31988770.917199537
09-04-2020,32039792.222642545
10-04-2020,31935228.539845638
11-04-2020,32424545.243904732
12-04-2020,32247745.994668514
13-04-2020,32424545.243904732
14-04-2020,30839062.20183418
15-04-2020,31200666.686973084
16-04-2020,32083742.10775344
17-04-2020,31750010.39193426
18-04-2020,30573189.588808317
19-04-2020,30937315.145858116
20-04-2020,31974628.07653533
21-04-2020,29919282.201050244
22-04-2020,31977149.148446217
23-04-2020,32381942.837136883
24-04-2020,32924215.121765956
25-04-2020,32960332.904985614
26-04-2020,32589309.81237894
27-04-2020,33264431.461133327
28-04-2020,32158672.630878873
29-04-2020,32924215.121765956
30-04-2020,33344499.129463892
01-05-2020,32019164.758430146
02-05-2020,33458068.50771987
03-05-2020,32976583.905552015
04-05-2020,33050753.74711831
05-05-2020,32056630.019992862
06-05-2020,34090000.95292249
07-05-2020,32915209.426306877
08-05-2020,34572833.0334334
09-05-2020,34185558.94026031
10-05-2020,33926757.747566566
11-05-2020,35596003.123446405
12-05-2020,34490831.08997586
13-05-2020,34505734.61219921
14-05-2020,35253265.71216814
15-05-2020,36269951.17863295
16-05-2020,35802609.417129315
17-05-2020,35550292.84798375
18-05-2020,36959976.349610694
19-05-2020,35907759.896710135
20-05-2020,37005099.828289434
21-05-2020,37227783.23776353
22-05-2020,37542647.87972206
23-05-2020,37348424.036351606
24-05-2020,37162619.09165631
25-05-2020,35309155.27665771
26-05-2020,36512406.36937696
27-05-2020,36333672.84501377
28-05-2020,37281912.41190134
29-05-2020,38091404.78789932
30-05-2020,37646037.968951136
31-05-2020,37743530.23141593
01-06-2020,37906773.43677186
02-06-2020,38390192.314066686
03-06-2020,38784537.82757187
04-06-2020,39042165.42669779
05-06-2020,36665470.285705976
06-06-2020,39747094.11989887
07-06-2020,38420586.1552973
08-06-2020,39629561.19000559
09-06-2020,39073732.86149623
10-06-2020,39023298.352837145
11-06-2020,39459072.67954234
12-06-2020,39874806.338819064
13-06-2020,39652709.72612888
14-06-2020,39206756.11039677
15-06-2020,39814779.33791698
16-06-2020,39297003.06775425
17-06-2020,38852809.842373885
18-06-2020,38419238.67695424
19-06-2020,38552261.92585478
20-06-2020,39324289.04029005
21-06-2020,37578939.547716945
22-06-2020,39302900.89451852
23-06-2020,38539879.47554232
24-06-2020,38711541.57957341
25-06-2020,34854195.96546652
26-06-2020,37360537.60050549
27-06-2020,37643248.01088167
28-06-2020,36892022.245434016
29-06-2020,38056460.5982475
30-06-2020,38526910.22844595
01-07-2020,37592226.705438666
02-07-2020,38583829.36065322
03-07-2020,39251292.7922916
04-07-2020,38500653.82362785
05-07-2020,38338584.211839765
06-07-2020,38494755.99686358
07-07-2020,38554782.99776567
08-07-2020,38576757.94032112
09-07-2020,37496350.8074755
10-07-2020,37103178.88753815
11-07-2020,36137514.726516336
12-07-2020,37022524.42242367
13-07-2020,38254061.19647133
14-07-2020,38307016.77704131
15-07-2020,38670381.652531974
16-07-2020,36276435.80218115
17-07-2020,36990956.98762523
18-07-2020,36648219.57634696
19-07-2020,34568551.57117076
20-07-2020,34056499.24299707
21-07-2020,36568738.70480032
22-07-2020,36546763.762244865
23-07-2020,36470072.84876768
24-07-2020,36714731.20079723
25-07-2020,36679787.011145405
26-07-2020,36515957.00900557
27-07-2020,37480860.48846824
28-07-2020,36864418.36227287
29-07-2020,36695864.126936585
30-07-2020,37198150.07809205
31-07-2020,37013518.726964585
01-08-2020,36414327.31012824
02-08-2020,37616404.80927966
03-08-2020,35767809.253327616
04-08-2020,34925749.73373857
05-08-2020,35829626.50350655
06-08-2020,36049202.044285834
07-08-2020,37639727.23017818
08-08-2020,37446090.183591634
09-08-2020,38150432.08000879
10-08-2020,38775119.22010409
11-08-2020,37092143.91556875
12-08-2020,36562427.96602736
13-08-2020,37726279.522056915
14-08-2020,38484750.592611894
15-08-2020,37498285.08260247
16-08-2020,37956208.23663834
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,39260154.46190055
12-09-2020,39378274.18857774
13-09-2020,38726887.87273055
14-09-2020,38818164.397805735
15-09-2020,39561731.94613737
16-09-2020,40884276.359101646
17-09-2020,38965917.28415441
18-09-2020,40652000.45738456
19-09-2020,41147801.78499184
20-09-2020,39657289.93347519
21-09-2020,40413826.7289032
22-09-2020,38803260.87558239
23-09-2020,37241195.2557937
24-09-2020,38343846.217353344
25-09-2020,36964382.672181785
26-09-2020,37295006.51930616
27-09-2020,39214539.18782125
28-09-2020,39213952.39103733
29-09-2020,37889204.8167875
30-09-2020,36038435.95847501
01-10-2020,34111562.98346925
02-10-2020,32585933.05752556
03-10-2020,33504126.552732963
04-10-2020,32415031.635053605
05-10-2020,34197846.38918942
06-10-2020,33707942.88834641
07-10-2020,34915744.329486884
08-10-2020,35460045.89062628
09-10-2020,36311553.87660819
10-10-2020,36378652.297842376
11-10-2020,36223067.30960247
12-10-2020,36683337.65077401
13-10-2020,36225588.38151336
14-10-2020,37678634.97146729
15-10-2020,38654747.30767459
16-10-2020,39033015.70538859
17-10-2020,37926670.078350216
18-10-2020,37927256.87513413
19-10-2020,38677309.04701395
20-10-2020,38092434.35561704
21-10-2020,37761810.50849266
22-10-2020,37355669.34145894
23-10-2020,37464514.48651848
24-10-2020,37599298.12577077
25-10-2020,37371890.48310024
26-10-2020,36163915.157184556
27-10-2020,35417587.50970855
28-10-2020,35562993.20892155
29-10-2020,35521246.485096194
30-10-2020,35359176.87330809
31-10-2020,35475536.209633544
01-11-2020,35403126.758419
02-11-2020,36129269.7126164
03-11-2020,35699980.009459384
04-11-2020,37273667.3980014
05-11-2020,36613275.38669514
06-11-2020,36123958.682636045
07-11-2020,30977714.391340412
08-11-2020,37102592.09075423
09-11-2020,36575223.3283485
10-11-2020,34903456.880557775
11-11-2020,36568151.9080164
12-11-2020,37992738.93186669
13-11-2020,38743964.697314344
14-11-2020,34751392.67302137
15-11-2020,35718404.31238624
16-11-2020,36167291.912037924
17-11-2020,37397828.977292985
18-11-2020,37842608.99945726
19-11-2020,38674489.23001939
20-11-2020,33546843.12642583
21-11-2020,33914076.552170426
22-11-2020,36829031.40168725
23-11-2020,37523780.80586142
24-11-2020,37122950.66880805
25-11-2020,37596777.053859875
26-11-2020,36941696.072533965
27-11-2020,37061750.07433813
28-11-2020,38031377.786997244
29-11-2020,36840240.258431874
30-11-2020,36081769.187876895
01-12-2020,36549871.63093968
02-12-2020,36978574.53731277
03-12-2020,37451814.125580676
04-12-2020,37512427.92326668
05-12-2020,38194794.87712839
06-12-2020,37358016.528594606
07-12-2020,37010141.9721112
08-12-2020,35566956.76055885
09-12-2020,37770055.5223926
10-12-2020,39026357.19706518
11-12-2020,39309067.60744136
12-12-2020,39613752.960372984
13-12-2020,38766208.526028365
14-12-2020,39544720.26401182
15-12-2020,39137405.503410265
16-12-2020,39197432.50431235
17-12-2020,39066612.41669736
18-12-2020,39549444.49720826
19-12-2020,40061322.94060673
20-12-2020,39484106.46632583
21-12-2020,39222784.201721184
22-12-2020,38637322.713540345
23-12-2020,39142716.53339062
24-12-2020,40023270.88226009
25-12-2020,38452517.47763766
26-12-2020,39877278.38626317
27-12-2020,40078573.64996573
28-12-2020,40233571.84142173
29-12-2020,39447988.68310616
30-12-2020,39320863.2609699
31-12-2020,40751348.111584455
