Date,Mobility
15-02-2020,11675976.049223075
16-02-2020,11510382.744942706
17-02-2020,11572233.766911482
18-02-2020,11858274.89022494
19-02-2020,11431596.510702811
20-02-2020,11639329.941260459
21-02-2020,10841998.587252786
22-02-2020,11722385.05452753
23-02-2020,11489612.620586699
24-02-2020,11483933.501264215
25-02-2020,11249814.59195472
26-02-2020,11395199.26867466
27-02-2020,11436509.841837054
28-02-2020,11665466.554077838
29-02-2020,11836407.156434739
01-03-2020,11339046.556413207
02-03-2020,11645277.11690225
03-03-2020,11453483.434877854
04-03-2020,11571818.990354043
05-03-2020,11743672.101137314
06-03-2020,11536187.53651413
07-03-2020,12054835.183145441
08-03-2020,12066276.377101896
09-03-2020,12488768.832908334
10-03-2020,9578892.68981382
11-03-2020,11075536.809381861
12-03-2020,11541266.77827135
13-03-2020,11552376.150981849
14-03-2020,11131210.980159225
15-03-2020,11338880.645790229
16-03-2020,11619989.247584598
17-03-2020,11500721.993297195
18-03-2020,11520994.38578427
19-03-2020,11703873.913966555
20-03-2020,11408835.681499498
21-03-2020,11466354.059514455
22-03-2020,8971236.560501525
23-03-2020,10378087.441443926
24-03-2020,9667397.24685375
25-03-2020,9164025.706263782
26-03-2020,9253091.760099292
27-03-2020,9326301.020713033
28-03-2020,9242582.264954055
29-03-2020,9392069.910078194
30-03-2020,9283892.838116448
31-03-2020,9460927.33635327
01-04-2020,9247080.819530854
02-04-2020,9304165.230603525
03-04-2020,9506570.553469488
04-04-2020,9584361.323971521
05-04-2020,9899691.139310496
06-04-2020,9439972.110989444
07-04-2020,9849861.998478591
08-04-2020,9501140.300081471
09-04-2020,9672910.455553256
10-04-2020,9549227.60200054
11-04-2020,9724915.624868706
12-04-2020,10154848.229295306
13-04-2020,9792860.542717408
14-04-2020,10048349.453948174
15-04-2020,9916543.396270124
16-04-2020,9823227.65379228
17-04-2020,9823993.44198052
18-04-2020,9911713.02044737
19-04-2020,9982395.240946772
20-04-2020,9933165.977680128
21-04-2020,10425677.011494063
22-04-2020,9987889.259261437
23-04-2020,10233034.58596994
24-04-2020,10243978.048057461
25-04-2020,10216845.97150222
26-04-2020,10278448.127536533
27-04-2020,10310659.445848994
28-04-2020,10778565.44322203
29-04-2020,10325252.719013589
30-04-2020,10356551.528899677
01-05-2020,10326350.328447783
02-05-2020,10522910.621368287
03-05-2020,10563557.552038772
04-05-2020,10824540.481584199
05-05-2020,11099472.232187154
06-05-2020,10854409.860790139
07-05-2020,10730375.99560663
08-05-2020,10885542.760053251
09-05-2020,9261425.226760983
10-05-2020,9654545.812601991
11-05-2020,11160806.331902161
12-05-2020,11499184.445777021
13-05-2020,10884362.195307568
14-05-2020,11056215.306090841
15-05-2020,10879946.596042257
16-05-2020,9695754.240068056
17-05-2020,9717143.432374168
18-05-2020,10652438.504866462
19-05-2020,10792660.984517694
20-05-2020,10677975.240118578
21-05-2020,10547764.523743654
22-05-2020,10589923.840405773
23-05-2020,9760215.257462662
24-05-2020,9800447.411575707
25-05-2020,10705522.09323126
26-05-2020,11426492.107417049
27-05-2020,10963250.575243793
28-05-2020,11004727.059029164
29-05-2020,11202799.737941306
30-05-2020,11175501.750763085
31-05-2020,10759435.012082526
01-06-2020,11378902.537366912
02-06-2020,10635567.057521991
03-06-2020,11164973.065233007
04-06-2020,11388148.51245498
05-06-2020,11295764.468788352
06-06-2020,11460860.041199792
07-06-2020,11164143.512118123
08-06-2020,11409020.782507319
09-06-2020,10609098.62345866
10-06-2020,11481630.1655558
11-06-2020,11300180.068053665
12-06-2020,11377970.838555695
13-06-2020,11419447.322341068
14-06-2020,11771672.111577125
15-06-2020,11300097.112742176
16-06-2020,10557010.498831721
17-06-2020,11480781.422056073
18-06-2020,11377205.050367458
19-06-2020,11434889.339005388
20-06-2020,11315456.174095009
21-06-2020,11247696.357254125
22-06-2020,10392865.81561634
23-06-2020,10650906.928489983
24-06-2020,11740685.93255215
25-06-2020,11481196.198613515
26-06-2020,11595716.03238965
27-06-2020,11216461.312294684
28-06-2020,11548062.697412867
29-06-2020,11226970.807439921
30-06-2020,10327887.875967957
01-07-2020,11600463.452900918
02-07-2020,11502234.37928883
03-07-2020,11622184.466452984
04-07-2020,11590470.880009456
05-07-2020,11974575.16631202
06-07-2020,11513777.718941614
07-07-2020,10608664.656516373
08-07-2020,11496306.394031884
09-07-2020,11585538.35849037
10-07-2020,11959713.836828114
11-07-2020,11632196.22972929
12-07-2020,11948789.565125437
13-07-2020,11555088.292104008
14-07-2020,10489231.491605995
15-07-2020,11725677.882830111
16-07-2020,11507415.766742382
17-07-2020,11632030.319106314
18-07-2020,11596149.999331936
19-07-2020,11870584.018065963
20-07-2020,11140680.65965322
21-07-2020,10577199.93600731
22-07-2020,11684284.35435623
23-07-2020,11643305.60243979
24-07-2020,10693749.078028856
25-07-2020,10797242.494405983
26-07-2020,10884630.251626877
27-07-2020,10875613.952088432
28-07-2020,10319656.555002596
29-07-2020,10988436.298865113
30-07-2020,11466437.014825942
31-07-2020,11648053.022951055
01-08-2020,10781283.555487886
02-08-2020,11294086.172173738
03-08-2020,10688363.399182644
04-08-2020,10702478.130863149
05-08-2020,10687138.259895157
06-08-2020,10878848.986608062
07-08-2020,11708557.569551175
08-08-2020,11740705.12293699
09-08-2020,10784556.970777199
10-08-2020,11782098.651410872
11-08-2020,10670017.946616221
12-08-2020,11377288.005678946
13-08-2020,11428712.487813976
14-08-2020,11745369.588136768
15-08-2020,11398077.320419798
16-08-2020,11563440.949150544
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,11690461.20554764
12-09-2020,11601395.151712134
13-09-2020,11745535.498759747
14-09-2020,11955298.237562804
15-09-2020,10422301.227879995
16-09-2020,12002039.064113215
17-09-2020,11748892.091988971
18-09-2020,12102380.401282199
19-09-2020,12153453.871786432
20-09-2020,12542656.59023106
21-09-2020,12035699.003490664
22-09-2020,10867880.362992
23-09-2020,10457907.520191366
24-09-2020,9399925.057884222
25-09-2020,9576627.73487509
26-09-2020,9548895.780754589
27-09-2020,9610912.713346343
28-09-2020,9731609.398313893
29-09-2020,9736190.908202183
30-09-2020,8875374.5875245
01-10-2020,10763710.084881824
02-10-2020,10099926.627465036
03-10-2020,10482269.6618415
04-10-2020,10420769.651503518
05-10-2020,10150253.500165872
06-10-2020,9007371.717354065
07-10-2020,10664900.324089317
08-10-2020,11081566.94033514
09-10-2020,11025331.272762196
10-10-2020,10828190.292661274
11-10-2020,11071906.18868963
12-10-2020,11358445.043872016
13-10-2020,10048623.481411178
14-10-2020,11456508.206861127
15-10-2020,11530215.199343799
16-10-2020,11728204.92294445
17-10-2020,11349199.068783948
18-10-2020,11655180.763338529
19-10-2020,11614284.966733577
20-10-2020,10299116.106196214
21-10-2020,11622931.064256381
22-10-2020,11413914.92325672
23-10-2020,11554303.313530928
24-10-2020,11092242.346103353
25-10-2020,11288719.683712369
26-10-2020,11316183.581513561
27-10-2020,10618408.363473373
28-10-2020,11195238.030611549
29-10-2020,11071555.177058833
30-10-2020,10620935.403587714
31-10-2020,11097442.923941746
01-11-2020,11025414.228073684
02-11-2020,11212958.221455745
03-11-2020,10910894.394297548
04-11-2020,11133738.020273566
05-11-2020,11180893.62338142
06-11-2020,11212792.31083277
07-11-2020,11435221.160251344
08-11-2020,11351668.31511534
09-11-2020,11332142.520431662
10-11-2020,11727605.045379188
11-11-2020,11690110.193916846
12-11-2020,11908952.997184994
13-11-2020,12117701.081865348
14-11-2020,11739524.78081973
15-11-2020,9254776.027857602
16-11-2020,10404064.337410448
17-11-2020,11113924.978885736
18-11-2020,11144228.32503396
19-11-2020,11164851.729151836
20-11-2020,10906625.515270371
21-11-2020,11181308.399938863
22-11-2020,11518422.99375655
23-11-2020,11196584.505980205
24-11-2020,11186572.7427039
25-11-2020,11195569.851857502
26-11-2020,11337221.76218888
27-11-2020,11119393.613043437
28-11-2020,11346652.838284766
29-11-2020,11570594.073694978
30-11-2020,11037251.008202739
01-12-2020,11409914.100548849
02-12-2020,11445047.82251983
03-12-2020,11643452.322677925
04-12-2020,11456074.23991884
05-12-2020,11621584.588887723
06-12-2020,11705552.210581169
07-12-2020,11653878.862511672
08-12-2020,11290563.890949959
09-12-2020,12324604.959308114
10-12-2020,12471687.123027505
11-12-2020,12654234.829963837
12-12-2020,12436655.546752859
13-12-2020,12711172.520798374
14-12-2020,12483064.552057315
15-12-2020,12431742.215618616
16-12-2020,12685635.785546254
17-12-2020,12660099.050294137
18-12-2020,12380917.611048846
19-12-2020,12509367.07549767
20-12-2020,12930366.335697317
21-12-2020,12571715.82933538
22-12-2020,12359132.832570134
23-12-2020,12779034.483335586
24-12-2020,13003307.539991751
25-12-2020,12506029.89528171
26-12-2020,12821442.665932173
27-12-2020,12903731.991011005
28-12-2020,12681137.230969453
29-12-2020,12228756.20557223
