Date,Mobility
15-02-2020,11344417.519437356
16-02-2020,11064528.690441793
17-02-2020,11379090.181914054
18-02-2020,11232547.60321135
19-02-2020,11259095.542308617
20-02-2020,11434219.779786136
21-02-2020,10503125.07897268
22-02-2020,11138682.981172852
23-02-2020,11198889.261740735
24-02-2020,11077462.379598888
25-02-2020,11245565.453675771
26-02-2020,11301291.451023607
27-02-2020,11375534.98072738
28-02-2020,11282182.596857307
29-02-2020,11218933.353271177
01-03-2020,11179775.32990905
02-03-2020,11104010.318696156
03-03-2020,10524522.32939759
04-03-2020,11154659.633348195
05-03-2020,11560037.706175322
06-03-2020,11313210.819174621
07-03-2020,11290128.842291318
08-03-2020,11837987.132131431
09-03-2020,12151613.386239553
10-03-2020,8334480.791250479
11-03-2020,10214007.966618896
12-03-2020,11370453.220366199
13-03-2020,10957551.90130078
14-03-2020,10865715.921274448
15-03-2020,10890240.296024933
16-03-2020,11119563.971675785
17-03-2020,11067900.33601766
18-03-2020,11290625.847463591
19-03-2020,11560539.78901298
20-03-2020,11354293.012580052
21-03-2020,10793322.555637421
22-03-2020,8267413.70722493
23-03-2020,9258465.089690592
24-03-2020,8738671.142791487
25-03-2020,8458598.75818512
26-03-2020,8563452.588675873
27-03-2020,8547893.858030861
28-03-2020,8357718.050411371
29-03-2020,8692328.711079456
30-03-2020,8537829.731611978
31-03-2020,8484733.85341744
01-04-2020,8451075.511946825
02-04-2020,8577489.83781176
03-04-2020,8632713.75232194
04-04-2020,8652245.605683956
05-04-2020,8918614.501377441
06-04-2020,8663229.73647083
07-04-2020,9170089.994212842
08-04-2020,9061173.802032374
09-04-2020,9211182.342949038
10-04-2020,9043581.351709811
11-04-2020,9155456.345601201
12-04-2020,9391722.101010744
13-04-2020,9212107.424982412
14-04-2020,9031577.822251473
15-04-2020,9203659.096710743
16-04-2020,8969342.899671424
17-04-2020,8953277.00852337
18-04-2020,8927146.990956433
19-04-2020,9159439.623648971
20-04-2020,9063625.443240253
21-04-2020,9059746.63716134
22-04-2020,9109381.6308073
23-04-2020,9295495.076737078
24-04-2020,9357735.076982507
25-04-2020,9251866.925485672
26-04-2020,9538781.995547254
27-04-2020,9572430.181687102
28-04-2020,9674330.288132317
29-04-2020,9695383.623003459
30-04-2020,9840404.720197037
01-05-2020,9713990.394332102
02-05-2020,9821803.026533775
03-05-2020,9940699.1838258
04-05-2020,10022550.121075192
05-05-2020,9930301.297183912
06-05-2020,9997523.663487049
07-05-2020,9992023.981595535
08-05-2020,10041664.052906876
09-05-2020,8777734.84951552
10-05-2020,9206210.132222101
11-05-2020,10396392.811081963
12-05-2020,10269978.485217027
13-05-2020,10144071.319855133
14-05-2020,10254926.915075056
15-05-2020,10238861.023927003
16-05-2020,9115984.872677602
17-05-2020,9358759.553319357
18-05-2020,10443581.241185425
19-05-2020,10236414.460384507
20-05-2020,10293065.539765716
21-05-2020,10719496.947463982
22-05-2020,10496771.436018055
23-05-2020,9082833.69171003
24-05-2020,9423446.117107285
25-05-2020,10290012.421416702
26-05-2020,10244355.628153132
27-05-2020,10270396.40674736
28-05-2020,10420912.108167067
29-05-2020,10459050.732857727
30-05-2020,10312000.99365198
31-05-2020,10360626.74395724
01-06-2020,10508267.804973353
02-06-2020,10317166.915320488
03-06-2020,10478671.825192451
04-06-2020,10698443.612592842
05-06-2020,10167158.374403823
06-06-2020,10327146.880432045
07-06-2020,10397840.286614526
08-06-2020,10450602.40458606
09-06-2020,10055795.618680859
10-06-2020,10175193.858810542
11-06-2020,10376866.03538533
12-06-2020,10463714.571688576
13-06-2020,10113043.097537821
14-06-2020,10528913.37364493
15-06-2020,10331293.403429085
16-06-2020,10205386.238067193
17-06-2020,10255021.23171315
18-06-2020,10425575.946997914
19-06-2020,10254006.910707068
20-06-2020,10109492.97401653
21-06-2020,10046572.412988022
22-06-2020,9497266.647615341
23-06-2020,10106027.011802569
24-06-2020,10160738.68814432
25-06-2020,10376448.113854999
26-06-2020,10304238.303828776
27-06-2020,10080404.154738672
28-06-2020,10573560.923567798
29-06-2020,10097484.366892807
30-06-2020,9936993.778026927
01-07-2020,10401563.810415853
02-07-2020,10401563.810415853
03-07-2020,10535506.460184464
04-07-2020,10258487.193927115
05-07-2020,10624717.39872288
06-07-2020,10290618.97622322
07-07-2020,10160738.68814432
08-07-2020,10370446.349125829
09-07-2020,10450691.643558769
10-07-2020,10480287.62333967
11-07-2020,10246985.74730643
12-07-2020,10480203.462032342
13-07-2020,10455679.087281857
14-07-2020,9842532.756512677
15-07-2020,10245464.265797308
16-07-2020,10411956.619392358
17-07-2020,10399953.08993402
18-07-2020,10196754.354184723
19-07-2020,10568484.240872001
20-07-2020,9899267.997201215
21-07-2020,10052329.656466896
22-07-2020,10097395.127920099
23-07-2020,10195645.716540547
24-07-2020,10387348.083334547
25-07-2020,10131978.551424084
26-07-2020,10465569.813420704
27-07-2020,10298052.983488804
28-07-2020,10043190.612081384
29-07-2020,10391917.6055273
30-07-2020,10555963.395579856
31-07-2020,10460159.370501902
01-08-2020,10085386.520796375
02-08-2020,10954837.620840155
03-08-2020,9524166.464938067
04-08-2020,10102561.049588606
05-08-2020,9965486.197829034
06-08-2020,10349303.775281977
07-08-2020,10284622.289159434
08-08-2020,9943925.702454854
09-08-2020,9398842.658714855
10-08-2020,10167163.452069206
11-08-2020,9983078.648151595
12-08-2020,9665464.038330318
13-08-2020,10332730.723630883
14-08-2020,10270077.879520504
15-08-2020,9693120.615071764
16-08-2020,9744615.928115234
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,10028228.280912124
12-09-2020,9696581.499620343
13-09-2020,10053766.976668693
14-09-2020,10242416.225113679
15-09-2020,10049281.615783263
16-09-2020,10038710.328861339
17-09-2020,10310145.751919854
18-09-2020,10329170.444778828
19-09-2020,10095868.568745589
20-09-2020,10987894.485169632
21-09-2020,10478159.587024026
22-09-2020,8489721.297140528
23-09-2020,8431961.580115141
24-09-2020,8644622.965142187
25-09-2020,8553806.383787323
26-09-2020,8541295.693825942
27-09-2020,8518213.716942634
28-09-2020,8566918.550889837
29-09-2020,8474162.566495515
30-09-2020,8141685.019808455
01-10-2020,9281317.778319754
02-10-2020,9181028.392356372
03-10-2020,9258742.96193949
04-10-2020,9403674.820160357
05-10-2020,9070595.796332164
06-10-2020,9109330.820498575
07-10-2020,9679172.604908586
08-10-2020,10011232.230065314
09-10-2020,10089956.042989133
10-10-2020,9682544.250484455
11-10-2020,10401981.731946185
12-10-2020,10360884.305544604
13-10-2020,9981636.250284415
14-10-2020,10276576.649421947
15-10-2020,10588597.26071362
16-10-2020,10731082.555391992
17-10-2020,10067286.909970772
18-10-2020,10533801.423064537
19-10-2020,10577518.813288653
20-10-2020,10222879.294086277
21-10-2020,10220432.730543781
22-10-2020,10230078.935432333
23-10-2020,10106712.650251029
24-10-2020,9802628.129062599
25-10-2020,9998303.6185736
26-10-2020,9733968.442557668
27-10-2020,9919579.805649785
28-10-2020,9938604.49850876
29-10-2020,10195913.433458677
