Date,Mobility
15-02-2020,52297637.57102751
16-02-2020,52421212.47168439
17-02-2020,52849368.58154214
18-02-2020,52781837.990425
19-02-2020,53401099.59205677
20-02-2020,53389613.31047936
21-02-2020,48402914.85381706
22-02-2020,51804163.68760889
23-02-2020,52597994.90782226
24-02-2020,51534041.32314028
25-02-2020,51820699.56080133
26-02-2020,52357905.75297336
27-02-2020,52730843.27250028
28-02-2020,52654039.21736199
29-02-2020,53149725.91833689
01-03-2020,52998954.58211905
02-03-2020,52963670.018177874
03-03-2020,51871694.278726034
04-03-2020,52800586.681173705
05-03-2020,53301322.97376363
06-03-2020,52383916.85289338
07-03-2020,52900363.29946685
08-03-2020,54495288.14906488
09-03-2020,51333100.98820663
10-03-2020,35130195.965186074
11-03-2020,44681110.316770405
12-03-2020,50129036.62967532
13-03-2020,50713013.66736595
14-03-2020,49481752.87327368
15-03-2020,51413504.95924858
16-03-2020,50410645.27572135
17-03-2020,50275584.093487054
18-03-2020,50848074.84960025
19-03-2020,48935273.217080496
20-03-2020,47385933.8773601
21-03-2020,44485156.99608777
22-03-2020,33008303.29198847
23-03-2020,37980741.27037859
24-03-2020,34250488.98851968
25-03-2020,32112123.019493636
26-03-2020,32464300.793421995
27-03-2020,31817017.03702034
28-03-2020,31796257.291421775
29-03-2020,34195831.77732732
30-03-2020,32301217.456417818
31-03-2020,32536055.256945264
01-04-2020,32293955.047246527
02-04-2020,32578602.230057728
03-04-2020,33222847.4496942
04-04-2020,33266579.758447602
05-04-2020,36185639.2276918
06-04-2020,33218623.577288076
07-04-2020,35138687.61897912
08-04-2020,35043134.87309211
09-04-2020,35498127.80207877
10-04-2020,34569235.3996311
11-04-2020,34922598.5092004
12-04-2020,37571535.61397599
13-04-2020,35744451.88418364
14-04-2020,35173972.18292029
15-04-2020,36071803.893832915
16-04-2020,35332005.92830943
17-04-2020,31217531.608052608
18-04-2020,31154224.88934158
19-04-2020,33482044.911723852
20-04-2020,36244362.45756466
21-04-2020,36881345.26802983
22-04-2020,36750507.958201654
23-04-2020,37042417.55018415
24-04-2020,37142194.16847729
25-04-2020,37086149.85893756
26-04-2020,39246662.67190954
27-04-2020,37658640.615050755
28-04-2020,37726171.20616791
29-04-2020,37616093.6419383
30-04-2020,37658640.615050755
01-05-2020,37718908.796996616
02-05-2020,37909188.56956174
03-05-2020,40133008.101244755
04-05-2020,39070705.95498058
05-05-2020,38800583.59051198
06-05-2020,39345052.19185531
07-05-2020,38617566.22711814
08-05-2020,40572089.113541454
09-05-2020,33464121.940184034
10-05-2020,35624634.75315602
11-05-2020,42403862.81851678
12-05-2020,42308310.072629765
13-05-2020,41942634.96227414
14-05-2020,42287550.3270312
15-05-2020,42475617.28204005
16-05-2020,35634733.93638607
17-05-2020,36908901.320022844
18-05-2020,43997760.18619949
19-05-2020,44076777.05889406
20-05-2020,43739124.103308305
21-05-2020,43646609.89418647
22-05-2020,44076777.05889406
23-05-2020,35602487.909210086
24-05-2020,38079893.93216926
25-05-2020,43393849.12211921
26-05-2020,43576040.76630414
27-05-2020,43683079.79376858
28-05-2020,43793157.3579982
29-05-2020,44528731.45111556
30-05-2020,43769359.07563445
31-05-2020,39129322.69850863
01-06-2020,45780751.990806386
02-06-2020,44532955.32352168
03-06-2020,44760530.714877814
04-06-2020,45005669.461341746
05-06-2020,44279368.83224552
06-06-2020,44858296.27832112
07-06-2020,39527243.836040236
08-06-2020,45538651.78110766
09-06-2020,44176553.677187204
10-06-2020,44006207.931011744
11-06-2020,43341202.965776704
12-06-2020,44784328.997241564
13-06-2020,44502720.351195544
14-06-2020,42685831.08099485
15-06-2020,44104799.21366393
16-06-2020,44642005.405835964
17-06-2020,44546452.65994895
18-06-2020,44649267.81500727
19-06-2020,44823837.433588855
20-06-2020,43540756.20236298
21-06-2020,42544534.971504584
22-06-2020,41242345.43309794
23-06-2020,44284418.42386054
24-06-2020,45139703.161660716
25-06-2020,44872619.333957285
26-06-2020,44662765.151434526
27-06-2020,43629046.53907869
28-06-2020,44207973.985154286
29-06-2020,44150542.57726719
30-06-2020,42866276.01040036
01-07-2020,45032664.134196274
02-07-2020,45075211.10730874
03-07-2020,45067948.69813743
04-07-2020,44753268.30570652
05-07-2020,45388240.06132185
06-07-2020,45445110.090070486
07-07-2020,44797826.333668835
08-07-2020,44937111.38830926
09-07-2020,44514206.63277296
10-07-2020,45861779.91835081
11-07-2020,45154227.98000331
12-07-2020,45211659.38789041
13-07-2020,45869042.32752211
14-07-2020,44891368.02470601
15-07-2020,46015589.791333824
16-07-2020,47305933.43173101
17-07-2020,46630627.52055949
18-07-2020,46420773.33803674
19-07-2020,46545735.337041
20-07-2020,46691721.421714246
21-07-2020,47792144.90597833
22-07-2020,48726086.90004103
23-07-2020,34670399.116271615
24-07-2020,35552520.673200704
25-07-2020,35314644.335908085
26-07-2020,36926464.67513061
27-07-2020,35989950.2470796
28-07-2020,36125011.429313906
29-07-2020,38037813.06183364
30-07-2020,39030012.182992354
31-07-2020,37611869.769532174
01-08-2020,37262730.532368995
02-08-2020,39220651.57198953
03-08-2020,36179826.49423187
04-08-2020,36942798.78561663
05-08-2020,35571427.21767504
06-08-2020,36293503.97436514
07-08-2020,44809312.61524626
08-08-2020,44749044.433300406
09-08-2020,36857080.88288923
10-08-2020,46103880.128049545
11-08-2020,44390631.73211608
12-08-2020,43637134.6674589
13-08-2020,44863345.86993614
14-08-2020,45428574.216878034
15-08-2020,42287348.56432477
16-08-2020,35069865.20587621
17-08-2020,45368306.03493218
18-08-2020,45361043.62576088
19-08-2020,45325759.061819725
20-08-2020,45058675.23411629
21-08-2020,44693825.84296958
22-08-2020,43033583.21981066
23-08-2020,37745437.367074296
24-08-2020,46103880.128049545
25-08-2020,45361043.62576088
26-08-2020,43282120.11947179
27-08-2020,39103153.744863
28-08-2020,41572735.97951239
29-08-2020,45749691.29927135
30-08-2020,38257659.941241644
31-08-2020,46469555.23840517
01-09-2020,45445110.090070486
02-09-2020,44276330.29548035
03-09-2020,44425916.29605725
