Date,Mobility
15-02-2020,17933049.298898604
16-02-2020,17815643.778965168
17-02-2020,17698613.579442482
18-02-2020,18038675.76717898
19-02-2020,17979984.550273977
20-02-2020,18120697.95990637
21-02-2020,17134597.48362024
22-02-2020,17592885.09048196
23-02-2020,17387431.2021293
24-02-2020,17193756.36542971
25-02-2020,17569303.901052404
26-02-2020,17851027.106171217
27-02-2020,17622219.15587274
28-02-2020,18044576.836067222
29-02-2020,17874631.381724194
01-03-2020,17991661.581246886
02-03-2020,17909616.302396063
03-03-2020,17628018.20408084
04-03-2020,17979984.550273977
05-03-2020,17974083.48138573
06-03-2020,18296715.76218808
07-03-2020,18384889.237410884
08-03-2020,18988744.29611772
09-03-2020,18935236.269589327
10-03-2020,13554705.027080433
11-03-2020,17339824.24448916
12-03-2020,17721546.14873069
13-03-2020,17762830.54482498
14-03-2020,16999933.335803106
15-03-2020,17498833.63249434
16-03-2020,17739249.355395433
17-03-2020,17862305.730609946
18-03-2020,17862305.730609946
19-03-2020,17375480.8714258
20-03-2020,16999808.22899953
21-03-2020,16659393.806975717
22-03-2020,12628277.26975511
23-03-2020,14640748.354055991
24-03-2020,13813235.77311744
25-03-2020,13097000.515740342
26-03-2020,12944461.882208027
27-03-2020,13079320.395199036
28-03-2020,13061765.381461311
29-03-2020,13543485.984825566
30-03-2020,13284672.262871537
31-03-2020,13302477.490216427
01-04-2020,13014853.21620937
02-04-2020,13126232.560450979
03-04-2020,13548840.454252623
04-04-2020,13584098.674655085
05-04-2020,13848688.358693779
06-04-2020,13378496.59337542
07-04-2020,13161991.208067767
08-04-2020,13050361.650218997
09-04-2020,12974092.33345284
10-04-2020,12903348.765164182
11-04-2020,12844657.54825918
12-04-2020,13455585.80933336
13-04-2020,12844657.54825918
14-04-2020,12850535.531023996
15-04-2020,12997321.288595079
16-04-2020,12481264.384700296
17-04-2020,12645480.04920552
18-04-2020,12528199.636075668
19-04-2020,13009795.13263634
20-04-2020,12539978.68772873
21-04-2020,12780565.689680262
22-04-2020,12733653.52442832
23-04-2020,12557658.808270035
24-04-2020,12868512.037419328
25-04-2020,12592917.028672498
26-04-2020,13502646.167512316
27-04-2020,12980141.595268099
28-04-2020,13250085.748733846
29-04-2020,13162037.38031463
30-04-2020,13126904.26671575
01-05-2020,13126779.159912169
02-05-2020,13420327.5889309
03-05-2020,13972291.333369484
04-05-2020,13537835.129544482
05-05-2020,13009874.06719306
06-05-2020,13977872.93028027
07-05-2020,13919135.541128408
08-05-2020,14453145.86529509
09-05-2020,12563708.070085295
10-05-2020,13262434.485971529
11-05-2020,14418012.75169621
12-05-2020,14676177.853508899
