Date,Mobility
15-02-2020,15025182.993607288
16-02-2020,15133033.81048952
17-02-2020,14963769.169988826
18-02-2020,15153822.916618861
19-02-2020,14994940.482745653
20-02-2020,15207748.325059982
21-02-2020,13847828.956687726
22-02-2020,14733597.1618328
23-02-2020,15026775.02297892
24-02-2020,14725711.093597764
25-02-2020,14570892.134614263
26-02-2020,14619162.038794035
27-02-2020,14669928.081366265
28-02-2020,14963769.169988826
29-02-2020,15226704.520273313
01-03-2020,14935359.5700432
02-03-2020,14739915.893570576
03-03-2020,14454889.675078241
04-03-2020,14594575.032193743
05-03-2020,14952060.50840846
06-03-2020,14495273.511022983
07-03-2020,14900124.782396665
08-03-2020,15180001.952590795
09-03-2020,15154063.798163243
10-03-2020,11355076.940853478
11-03-2020,14148652.004524503
12-03-2020,14625721.652076194
13-03-2020,14117505.38464205
14-03-2020,14088166.982801232
15-03-2020,14702691.423494723
16-03-2020,14464608.654229289
17-03-2020,14461449.2883604
18-03-2020,14464608.654229289
19-03-2020,14718970.015927926
20-03-2020,14580454.342252
21-03-2020,14026464.309030527
22-03-2020,11482307.716021989
23-03-2020,12587791.64407248
24-03-2020,12284738.032262005
25-03-2020,11584743.91018726
26-03-2020,11709561.239853503
27-03-2020,11632616.16130935
28-03-2020,11599214.284578824
29-03-2020,12044208.510352869
30-03-2020,11713383.833198834
31-03-2020,11654466.147972817
01-04-2020,11528985.590830132
02-04-2020,11641828.684497263
03-04-2020,12092719.296077024
04-04-2020,12082337.089449542
05-04-2020,12426703.33909995
06-04-2020,11991428.09247695
07-04-2020,12342088.380990762
08-04-2020,12487429.2423676
09-04-2020,12506626.319125311
10-04-2020,12409157.708870566
11-04-2020,12421795.17234612
12-04-2020,12846265.866409574
13-04-2020,12561480.52946162
14-04-2020,12423362.50884338
15-04-2020,12814672.207720686
16-04-2020,12708388.727335714
17-04-2020,12814937.78213944
18-04-2020,12584500.19956466
19-04-2020,12488117.162718413
20-04-2020,12401934.86811197
21-04-2020,12783500.894963859
22-04-2020,12864268.566853343
23-04-2020,12923186.252079356
24-04-2020,13040117.513510566
25-04-2020,12917796.322236769
26-04-2020,13379491.486376075
27-04-2020,13025647.139119003
28-04-2020,13108247.721924495
29-04-2020,13043674.532437144
30-04-2020,13281998.183246955
01-05-2020,13174810.593841167
02-05-2020,13251755.67238532
03-05-2020,13652543.468869295
04-05-2020,13336586.819164509
05-05-2020,13345136.114875987
06-05-2020,13365659.646586575
07-05-2020,13147437.18155529
08-05-2020,13481927.680541348
09-05-2020,12314076.434102824
10-05-2020,12667920.7813599
11-05-2020,13993966.54132082
12-05-2020,13771680.601399828
13-05-2020,13931889.490225917
14-05-2020,14033023.922312684
15-05-2020,13791540.905633979
16-05-2020,13023151.000726553
17-05-2020,13085650.397753514
18-05-2020,14861923.541817756
19-05-2020,14924000.592912659
20-05-2020,14961225.062988514
21-05-2020,15123266.862730613
22-05-2020,15333844.141071238
23-05-2020,12774686.02483363
24-05-2020,13307936.337674506
25-05-2020,14705114.900404938
26-05-2020,15151942.037094988
27-05-2020,15078819.551896162
28-05-2020,15260058.428395977
29-05-2020,15579149.75109527
30-05-2020,13522311.51648609
31-05-2020,13442629.418005103
01-06-2020,15291627.394210491
02-06-2020,15169306.202936692
03-06-2020,15018973.064774957
04-06-2020,14464054.229658294
05-06-2020,14681854.348757517
06-06-2020,14502870.729105778
07-06-2020,14898268.595747165
08-06-2020,14913618.386285177
09-06-2020,14339236.899992047
10-06-2020,14881783.846051907
11-06-2020,14133651.898436317
12-06-2020,14452079.993659176
13-06-2020,14773004.227274485
14-06-2020,15031369.646706132
15-06-2020,14830089.001584493
16-06-2020,14171539.595988609
17-06-2020,14856268.03755642
18-06-2020,14386843.576695384
19-06-2020,14489967.691211471
