Date,Mobility
15-02-2020,23369380.23336658
16-02-2020,23358272.985175867
17-02-2020,23737890.279667072
18-02-2020,23893250.785194803
19-02-2020,23758943.136617202
20-02-2020,23882143.537004083
21-02-2020,21888150.25978688
22-02-2020,23601518.17432628
23-02-2020,23419814.258890733
24-02-2020,23808403.860238336
25-02-2020,23441055.45336914
26-02-2020,23289635.523839522
27-02-2020,23501623.425180987
28-02-2020,23367315.776603386
29-02-2020,23397670.24708044
01-03-2020,23241148.10212141
02-03-2020,23679198.427090146
03-03-2020,23359246.287078887
04-03-2020,23607523.207087584
05-03-2020,23872009.5907164
06-03-2020,23263292.113931708
07-03-2020,23893321.269765936
08-03-2020,24061853.48024757
09-03-2020,23842746.275099512
10-03-2020,16387793.160905184
11-03-2020,18763586.04233394
12-03-2020,22320407.005707704
13-03-2020,22422366.21161618
14-03-2020,22313240.333515096
15-03-2020,22996741.2735397
16-03-2020,23065308.250304915
17-03-2020,22734248.86210294
18-03-2020,22842213.100772735
19-03-2020,22565457.8295219
20-03-2020,22210049.003604185
21-03-2020,21396321.960142355
22-03-2020,16002837.945070282
23-03-2020,18040263.796962198
24-03-2020,16683348.494814675
25-03-2020,16258140.568129316
26-03-2020,16052157.699549153
27-03-2020,15884528.30639941
28-03-2020,15983520.238212807
29-03-2020,16914465.76548534
30-03-2020,16545744.265471451
31-03-2020,16635693.40585733
01-04-2020,16520562.494994938
02-04-2020,16641698.438618634
03-04-2020,16874998.019009635
04-04-2020,16960818.245869122
05-04-2020,17852436.99580821
06-04-2020,17137349.461304124
07-04-2020,17691762.821137678
08-04-2020,17926868.036192466
09-04-2020,18017719.99391024
10-04-2020,17470473.306269284
11-04-2020,17870240.64037873
12-04-2020,18825465.12079588
13-04-2020,18319398.213538174
14-04-2020,17880374.586666416
15-04-2020,18384165.58344754
16-04-2020,17899621.80895276
17-04-2020,17663354.954466674
18-04-2020,17757244.67085066
19-04-2020,18365200.29944572
20-04-2020,17105903.835966904
21-04-2020,18892155.97832617
22-04-2020,19046613.66652201
23-04-2020,19341384.036056753
24-04-2020,19220248.092433058
25-04-2020,19438311.511106957
26-04-2020,19650440.381590687
27-04-2020,19226253.12519436
28-04-2020,19497003.363683887
29-04-2020,19483831.658729978
30-04-2020,19646358.83645031
01-05-2020,19401049.190536704
02-05-2020,19611043.11968611
03-05-2020,20269362.289234195
04-05-2020,20658972.56087083
05-05-2020,20545003.289439734
06-05-2020,21057766.59307725
07-05-2020,21027412.122600194
08-05-2020,21330322.466230564
09-05-2020,17601884.16532293
10-05-2020,18708528.575269703
11-05-2020,22246982.017503902
12-05-2020,21624190.018433407
13-05-2020,21340526.89708938
14-05-2020,21918960.38796815
15-05-2020,21733315.896534495
16-05-2020,18607590.039650254
17-05-2020,19084205.2937628
18-05-2020,22928536.35372245
19-05-2020,22154324.425122343
20-05-2020,22116873.767023817
21-05-2020,22092594.813879196
22-05-2020,21852387.383394994
23-05-2020,18233977.77792035
24-05-2020,19159821.08976347
25-05-2020,21486774.126618456
26-05-2020,21879704.095205836
27-05-2020,21971458.8702555
28-05-2020,22368188.445698723
29-05-2020,22339968.916555997
30-05-2020,22001813.340732556
31-05-2020,21872678.392155495
01-06-2020,22890182.87829203
02-06-2020,21706069.669294786
03-06-2020,22570230.738280773
04-06-2020,22539946.75237485
05-06-2020,22187575.685123354
06-06-2020,22020087.26111587
07-06-2020,20352333.094955746
08-06-2020,22836781.578672785
09-06-2020,22016076.200546633
10-06-2020,22420875.26551435
11-06-2020,22195715.659218978
12-06-2020,21955508.228734784
13-06-2020,22084713.661882974
14-06-2020,20761261.07344985
15-06-2020,22459228.740944773
16-06-2020,21943498.163212176
17-06-2020,21834372.28511109
18-06-2020,21936331.491019573
19-06-2020,21115626.112893414
20-06-2020,20962141.726600602
21-06-2020,18993353.336045027
22-06-2020,18600423.36745765
23-06-2020,19126617.19814847
24-06-2020,19263962.60539229
25-06-2020,19255893.115867797
26-06-2020,19087360.90538616
27-06-2020,18664287.92003512
28-06-2020,18548324.676411968
29-06-2020,19624403.162168287
30-06-2020,19709250.087124757
01-07-2020,19761748.56941211
02-07-2020,20021132.737611514
03-07-2020,20670338.631160952
04-07-2020,20518989.186202463
05-07-2020,21226698.594800554
06-07-2020,21516225.779763617
07-07-2020,21170189.051943954
08-07-2020,21308437.27651967
09-07-2020,20843973.057071995
10-07-2020,21217585.318801902
11-07-2020,21052993.684318375
12-07-2020,21436622.039378826
13-07-2020,21700064.636533484
14-07-2020,21168124.59518077
15-07-2020,21493178.95062143
16-07-2020,21349828.510616306
17-07-2020,21705166.851962894
18-07-2020,21438616.011570886
19-07-2020,22229178.372933384
20-07-2020,20595555.167921036
21-07-2020,21527591.85005374
22-07-2020,22274557.551414143
23-07-2020,22050300.762450665
24-07-2020,19835229.424078453
25-07-2020,19452644.855492163
26-07-2020,20292667.940475788
27-07-2020,20335982.662193354
28-07-2020,19779763.667696018
29-07-2020,20389642.78391201
30-07-2020,21320447.34204228
31-07-2020,21400192.05156933
01-08-2020,20593561.19572898
02-08-2020,22776354.576003198
03-08-2020,19854712.352279086
04-08-2020,20697843.68050006
05-08-2020,20166618.11895096
06-08-2020,20967243.942030016
07-08-2020,21345055.60185744
08-08-2020,20982550.588318244
09-08-2020,21025888.426220927
10-08-2020,21822432.704159606
11-08-2020,20916880.401076984
12-08-2020,20707789.28925948
13-08-2020,21189436.274230298
14-08-2020,21948670.863212716
15-08-2020,20238552.161052927
16-08-2020,20723951.384493586
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,18710710.88499004
12-09-2020,18372484.824595466
13-09-2020,18978305.511856202
14-09-2020,19112542.675862674
15-09-2020,19360819.595871367
16-09-2020,19028598.568238102
17-09-2020,19180018.497767717
18-09-2020,19613037.091878172
19-09-2020,20895239.41535692
20-09-2020,21548456.369475592
21-09-2020,20024744.00693909
22-09-2020,21883503.702061683
23-09-2020,22465807.28436743
24-09-2020,21372287.210988555
25-09-2020,22034664.809491895
26-09-2020,22085098.835016057
27-09-2020,22164914.029114246
28-09-2020,22681735.761707004
29-09-2020,22077217.68301983
30-09-2020,21777603.920155093
01-10-2020,20062712.309236426
02-10-2020,19332788.40425691
03-10-2020,20291882.97610104
04-10-2020,20285877.943339735
05-10-2020,20362584.89420058
06-10-2020,20254620.65553079
07-10-2020,20687639.249641236
08-10-2020,21242696.604707282
09-10-2020,21777674.40472622
10-10-2020,21343494.17118447
11-10-2020,21881768.55196903
12-10-2020,22231934.193315074
13-10-2020,21996828.97826029
14-10-2020,22256213.146459695
15-10-2020,22237036.408744484
16-10-2020,22961787.61372346
17-10-2020,22175306.79750134
18-10-2020,22621567.581136826
19-10-2020,22774981.482858505
20-10-2020,22358172.35236818
21-10-2020,22076573.687787347
22-10-2020,21543730.829102732
23-10-2020,21440868.805862356
24-10-2020,21135894.005468793
25-10-2020,20965367.822795097
26-10-2020,20934040.050415017
27-10-2020,21280406.084905215
28-10-2020,21201564.192710053
29-10-2020,21307463.974616647
30-10-2020,20991311.441461243
31-10-2020,21688054.571010876
01-11-2020,22085686.963785995
02-11-2020,22137141.659599196
03-11-2020,22003995.65045289
04-11-2020,22070568.65502604
05-11-2020,22233095.83274637
06-11-2020,22032215.17959562
07-11-2020,22809535.351433076
08-11-2020,22814637.566862486
09-11-2020,22800422.075434428
10-11-2020,22541037.907235023
11-11-2020,22923622.475821313
12-11-2020,23342496.06307484
13-11-2020,23400026.27622047
14-11-2020,22084502.20816958
15-11-2020,17896128.392582327
16-11-2020,18898585.05453004
17-11-2020,20470596.501256377
18-11-2020,21278200.658999756
19-11-2020,21510338.59995946
20-11-2020,20795462.519168768
21-11-2020,21342779.691380847
22-11-2020,21899069.17044932
23-11-2020,22000957.891786672
24-11-2020,21808146.728160415
25-11-2020,22048354.158644613
26-11-2020,21434534.466430515
27-11-2020,22120029.378647175
28-11-2020,22188737.32455465
29-11-2020,22381548.488180906
30-11-2020,22190590.32760445
01-12-2020,22244391.41846536
02-12-2020,22259439.242654186
03-12-2020,21227648.78051846
04-12-2020,22662173.85085872
05-12-2020,22378581.214085817
06-12-2020,23067043.40039757
07-12-2020,23029710.595256187
08-12-2020,21471985.124529038
09-12-2020,23252805.744788364
10-12-2020,22414729.263610788
11-12-2020,24056140.0198631
12-12-2020,23261589.714116476
13-12-2020,24853610.231318794
14-12-2020,23978271.42957096
15-12-2020,23500894.327268783
16-12-2020,24063118.354527425
17-12-2020,22464001.649703644
18-12-2020,23441158.688217696
19-12-2020,23769321.286895707
20-12-2020,24881829.76046152
21-12-2020,24253865.06139049
22-12-2020,23565402.87507874
23-12-2020,24405284.99092011
24-12-2020,22777948.756953593
25-12-2020,23656113.863654252
26-12-2020,23968137.483283266
27-12-2020,24887834.79322283
28-12-2020,24454745.714541245
29-12-2020,23694608.30822693
30-12-2020,24261934.550914988
31-12-2020,23930875.16271302
