Date,Mobility
15-02-2020,5078913.127253923
16-02-2020,5062091.706793605
17-02-2020,5210039.7791787125
18-02-2020,5240564.753604259
19-02-2020,5086934.104172195
20-02-2020,5095852.741124307
21-02-2020,4866011.488103466
22-02-2020,5085375.170924651
23-02-2020,4907232.760720849
24-02-2020,4973516.456601983
25-02-2020,4973965.286618902
26-02-2020,4900662.599779633
27-02-2020,5114341.212102655
28-02-2020,5163246.540236065
29-02-2020,5355871.97102887
01-03-2020,5286909.162529988
02-03-2020,5346069.541526686
03-03-2020,5289696.3924182225
04-03-2020,5239785.286980488
05-03-2020,4778444.508667376
06-03-2020,5216393.705578954
07-03-2020,5326905.929850866
08-03-2020,5103424.88802566
09-03-2020,5310867.767358506
10-03-2020,3904545.0998620833
11-03-2020,4360989.052547404
12-03-2020,4995916.128182957
13-03-2020,4982094.380807662
14-03-2020,4682290.826779008
15-03-2020,4986889.37396036
16-03-2020,5415805.531853948
17-03-2020,5202575.749547845
18-03-2020,5213492.07362484
19-03-2020,4922711.482474596
20-03-2020,4977525.698335516
21-03-2020,4747015.589412599
22-03-2020,3549356.5152013395
23-03-2020,4251907.491973392
24-03-2020,4184503.6167220534
25-03-2020,3709334.806238253
26-03-2020,3745542.357710758
27-03-2020,3751555.5713645685
28-03-2020,3821075.3271508557
29-03-2020,3768383.276620279
30-03-2020,3928469.684927679
31-03-2020,3907865.3334143804
01-04-2020,3776067.332136306
02-04-2020,3768046.3552180333
03-04-2020,3828208.7201748705
04-04-2020,3854279.414194153
05-04-2020,3798020.6671515685
06-04-2020,3843687.441928618
07-04-2020,3763035.1275243615
08-04-2020,3685494.3948198003
09-04-2020,3723709.7095567686
10-04-2020,3742306.2978056045
11-04-2020,3769935.92507243
12-04-2020,3732955.1917715464
13-04-2020,3813384.9868394365
14-04-2020,3846366.5545463655
15-04-2020,3839455.680858718
16-04-2020,3559493.372654563
17-04-2020,3615748.3283529603
18-04-2020,3612073.5145704662
19-04-2020,3598484.3626711164
20-04-2020,3627784.83180016
21-04-2020,3609967.7101750956
22-04-2020,3635367.054841093
23-04-2020,3676808.353343636
24-04-2020,3711679.4909049626
25-04-2020,3724154.7482295013
26-04-2020,3639378.790025832
27-04-2020,3761590.5963426973
28-04-2020,3774737.2030205214
29-04-2020,3702879.047362917
30-04-2020,3624110.018017666
01-05-2020,3648172.9487724844
02-05-2020,3730059.8446128247
03-05-2020,3677145.2747458816
04-05-2020,3757807.6652897163
05-05-2020,3781870.596044535
06-05-2020,3816519.214269496
07-05-2020,3758033.9759702687
08-05-2020,3846605.434817704
09-05-2020,3548128.218560649
10-05-2020,3582783.1215810026
11-05-2020,3944311.7651582235
12-05-2020,3868660.6023080605
13-05-2020,3916574.0206209105
14-05-2020,3862316.7520473967
15-05-2020,3977623.9694720064
16-05-2020,3712799.670275166
17-05-2020,3652643.5901137223
18-05-2020,4049259.605793244
19-05-2020,4015390.454192055
20-05-2020,4095155.184702053
21-05-2020,4123341.7592562847
22-05-2020,4129246.855639608
23-05-2020,3735411.7850529277
24-05-2020,3684056.1484335293
25-05-2020,4144951.8880739077
26-05-2020,4220491.142309398
27-05-2020,4161887.7106001056
28-05-2020,4108858.738667283
29-05-2020,4100621.5272080363
30-05-2020,3890725.845937995
31-05-2020,3804158.359010837
01-06-2020,4312292.376266595
02-06-2020,4219272.921808287
03-06-2020,4244672.266474283
04-06-2020,4180835.087734952
05-06-2020,4254478.487320652
06-06-2020,4277535.640771148
07-06-2020,4184846.8229196924
08-06-2020,4440193.04442581
09-06-2020,4033109.5346862115
10-06-2020,4419696.810182997
11-06-2020,4329231.990136978
12-06-2020,4336365.3831609925
13-06-2020,4282665.061874884
14-06-2020,4189419.296736024
15-06-2020,4339709.560336634
16-06-2020,3954350.5814805385
17-06-2020,4118995.596120506
18-06-2020,4360654.624596364
19-06-2020,4384268.725334264
20-06-2020,4129803.8029270135
21-06-2020,4071645.409890454
22-06-2020,4505036.000469465
