Date,Mobility
15-02-2020,114595226.90799843
16-02-2020,113658412.7091751
17-02-2020,115783174.26667671
18-02-2020,115635930.5468472
19-02-2020,115478689.22697552
20-02-2020,116850828.62543282
21-02-2020,107877699.63724844
22-02-2020,113036081.1500951
23-02-2020,115053361.62738371
24-02-2020,112547404.07061489
25-02-2020,112969140.03001915
26-02-2020,112517411.27048847
27-02-2020,113852602.34899624
28-02-2020,115635930.5468472
29-02-2020,117268423.38468105
01-03-2020,115441740.90702602
02-03-2020,117114773.70499694
03-03-2020,116472446.94583264
04-03-2020,116472446.94583264
05-03-2020,114762465.82791226
06-03-2020,116867232.18532956
07-03-2020,117067827.7850053
08-03-2020,116843095.78508924
09-03-2020,108228353.27642077
10-03-2020,82984585.66895355
11-03-2020,109974505.39377014
12-03-2020,112189567.15106747
13-03-2020,113531164.18942988
14-03-2020,113203320.07000889
15-03-2020,113005538.79000019
16-03-2020,113645051.22949745
17-03-2020,110978260.71266942
18-03-2020,110141744.31368394
19-03-2020,110787662.7130358
20-03-2020,109629708.15448397
21-03-2020,98369657.76824981
22-03-2020,61217817.17418715
23-03-2020,69045321.16542335
24-03-2020,60790680.33600086
25-03-2020,58595613.778787814
26-03-2020,58742857.498617336
27-03-2020,58843155.29845521
28-03-2020,58217232.09918766
29-03-2020,60063454.25582287
30-03-2020,58953450.69833524
31-03-2020,58354478.21897502
01-04-2020,58638968.05859191
02-04-2020,58853152.89849735
03-04-2020,60027511.016945936
04-04-2020,59776377.85709099
05-04-2020,60264049.85549862
06-04-2020,58126931.89939192
07-04-2020,58160288.579153866
08-04-2020,57323772.18016841
09-04-2020,58079985.979400285
10-04-2020,58237227.299271956
11-04-2020,58043037.6594508
12-04-2020,60274047.45554077
13-04-2020,58484768.81893934
14-04-2020,56938984.540713646
15-04-2020,58023042.4593665
16-04-2020,57149577.74043155
17-04-2020,57002334.02060203
18-04-2020,57744958.57960421
19-04-2020,59490882.93640156
20-04-2020,57554360.579970606
21-04-2020,57397119.260098934
22-04-2020,57092634.220397756
23-04-2020,57848848.01962964
24-04-2020,58380879.37891391
25-04-2020,58343931.058964424
26-04-2020,63137841.93185701
27-04-2020,59180447.45794988
28-04-2020,58481177.17875178
29-04-2020,58176692.13905061
30-04-2020,58628420.8985813
01-05-2020,59023206.13807821
02-05-2020,59755833.09703824
03-05-2020,61749298.97350298
04-05-2020,59260750.05770346
05-05-2020,58718721.098377034
06-05-2020,59572190.61722769
07-05-2020,55302350.50272377
08-05-2020,55539894.42234902
09-05-2020,55944677.26188807
10-05-2020,58774659.537338264
11-05-2020,56781193.660873525
12-05-2020,56376410.821334474
13-05-2020,56613954.74095972
14-05-2020,57212927.22031994
15-05-2020,60144212.37668055
16-05-2020,61024083.055470094
17-05-2020,63716819.21113293
18-05-2020,62302330.61394411
19-05-2020,65072782.810245514
20-05-2020,66284089.24864358
21-05-2020,68057419.84645237
22-05-2020,68304961.36611977
23-05-2020,68505556.96579552
24-05-2020,71613073.56103954
25-05-2020,66836115.80801216
26-05-2020,68338318.0458817
27-05-2020,68723105.68533647
28-05-2020,69322078.16469668
29-05-2020,69864107.12402311
30-05-2020,71192114.9221558
31-05-2020,74456872.8372715
01-06-2020,75077167.39720494
02-06-2020,76288473.83560303
03-06-2020,76820505.1948873
04-06-2020,77262236.35437584
05-06-2020,77657021.59387276
06-06-2020,79584001.87136567
07-06-2020,79968012.19029993
08-06-2020,78446592.07286657
09-06-2020,79357005.11175102
10-06-2020,79199763.79187936
11-06-2020,79992925.91106072
12-06-2020,79945979.99106908
13-06-2020,80451060.63044602
14-06-2020,80108849.95027484
15-06-2020,80772498.79001239
16-06-2020,80230469.83068597
17-06-2020,79925984.79098478
18-06-2020,79982928.31101857
19-06-2020,80772498.79001239
20-06-2020,82642535.54747151
21-06-2020,79519875.07095677
