Date,Mobility
15-02-2020,15315350.009532923
16-02-2020,14980760.733797012
17-02-2020,15544433.121952046
18-02-2020,15198716.446714774
19-02-2020,15224647.420153921
20-02-2020,15186116.16535335
21-02-2020,14069466.403797483
22-02-2020,14918922.821149811
23-02-2020,15355354.146193562
24-02-2020,15027485.684806276
25-02-2020,15145592.129484493
26-02-2020,15084806.07568121
27-02-2020,14919244.26927743
28-02-2020,15177724.01806405
29-02-2020,15283762.141016535
01-03-2020,14872531.378695635
02-03-2020,14691435.587637773
03-03-2020,14739621.360079631
04-03-2020,14803873.07681127
05-03-2020,14674107.272996003
06-03-2020,15012162.211660272
07-03-2020,15475985.331575757
08-03-2020,16129308.450265884
09-03-2020,14507890.509909516
10-03-2020,11847949.236869814
11-03-2020,14013320.868813474
12-03-2020,14628855.203846803
13-03-2020,14771221.289023494
14-03-2020,14538883.025184097
15-03-2020,14600201.038623076
16-03-2020,14470224.723299732
17-03-2020,14196421.501367101
18-03-2020,14373321.218780316
19-03-2020,14309069.502048679
20-03-2020,14544551.980688816
21-03-2020,14263087.022183182
22-03-2020,11395809.59694633
23-03-2020,12706341.821574612
24-03-2020,11060886.812655324
25-03-2020,11000720.232948799
26-03-2020,11066234.320032427
27-03-2020,11196941.046072068
28-03-2020,11024658.425319662
29-03-2020,11644622.767664187
30-03-2020,11162085.96570793
31-03-2020,11192534.46091934
01-04-2020,11163137.824551843
02-04-2020,11112427.311406001
03-04-2020,11460668.727347253
04-04-2020,11412482.95490539
05-04-2020,12018795.157044582
06-04-2020,11440085.26128521
07-04-2020,11789057.087942755
08-04-2020,11747481.193229988
09-04-2020,11781284.414750213
10-04-2020,11917449.584786493
11-04-2020,11814146.714046068
12-04-2020,12660458.916597659
13-04-2020,11911050.21856548
14-04-2020,11808267.247033272
15-04-2020,12314087.284677682
16-04-2020,12189049.51414276
17-04-2020,12421066.32985454
18-04-2020,12312094.503609397
19-04-2020,13009641.254763283
20-04-2020,12273773.760316903
21-04-2020,11994301.582879558
22-04-2020,12141804.663925273
23-04-2020,12197132.27373192
24-04-2020,12354821.832054617
25-04-2020,12099287.846988132
26-04-2020,13224131.304752696
27-04-2020,12443122.677776651
28-04-2020,12658132.626974283
29-04-2020,12722384.34370592
30-04-2020,12684063.600413427
01-05-2020,12891411.813038053
02-05-2020,12887215.739393406
03-05-2020,13796517.288324645
04-05-2020,12850887.7771692
05-05-2020,12716715.388201203
06-05-2020,12856556.732673917
07-05-2020,12627684.131762872
08-05-2020,12673877.123136446
09-05-2020,12354091.421338322
10-05-2020,13474206.845822541
11-05-2020,12058763.811119275
12-05-2020,12006901.864240982
13-05-2020,12106008.661336761
14-05-2020,12326898.077547187
15-05-2020,12510518.609309029
16-05-2020,12358819.454618666
17-05-2020,13337100.753561886
18-05-2020,12863488.058530623
19-05-2020,13143071.172587505
20-05-2020,13657815.31715691
21-05-2020,13832511.74199376
22-05-2020,14097180.345493319
23-05-2020,13891094.503220683
24-05-2020,14866120.65074363
25-05-2020,13280177.264848161
26-05-2020,14107366.8227703
27-05-2020,14197549.512941085
28-05-2020,14363111.319344863
29-05-2020,14570459.53196949
30-05-2020,14573194.784181546
31-05-2020,15363127.518082583
01-06-2020,14570780.980097108
02-06-2020,14186533.050059265
03-06-2020,14703480.487205034
04-06-2020,14628101.370972037
05-06-2020,14773401.15944139
06-06-2020,14810991.492017584
07-06-2020,15467692.759175
08-06-2020,14777188.270497357
09-06-2020,14683539.91739822
10-06-2020,14636295.067180734
11-06-2020,14818653.228590589
12-06-2020,14842380.90945337
13-06-2020,14296036.8359401
14-06-2020,15632524.154862486
15-06-2020,14689208.872902937
16-06-2020,14689208.872902937
17-06-2020,14650888.129610443
18-06-2020,14713877.475990094
19-06-2020,14932563.599624157
20-06-2020,15028736.693427272
21-06-2020,15500765.569978934
22-06-2020,14752198.219282586
23-06-2020,14655084.203255095
24-06-2020,14718605.509270435
25-06-2020,14595771.031311877
26-06-2020,14878498.360169498
27-06-2020,14500129.897144454
28-06-2020,15535410.13883499
29-06-2020,14600499.06459222
30-06-2020,14326695.842659593
01-07-2020,14615092.127021933
02-07-2020,14663488.41097187
03-07-2020,14893301.934107289
04-07-2020,14925223.311178768
05-07-2020,15557875.449345784
06-07-2020,14588109.294738874
07-07-2020,14796187.918079795
08-07-2020,14622964.375103014
09-07-2020,14768264.163572364
10-07-2020,14940757.29583285
11-07-2020,14500129.897144454
12-07-2020,15384651.906368999
13-07-2020,14889836.271178933
14-07-2020,14567636.765296366
15-07-2020,14317771.735734599
16-07-2020,14669157.366476588
17-07-2020,14751467.80856629
18-07-2020,14739399.486840557
19-07-2020,15395779.305870356
20-07-2020,14619498.71217466
21-07-2020,14442598.994761445
22-07-2020,14660022.748043515
23-07-2020,14509054.004069448
24-07-2020,14689419.384411015
25-07-2020,14278188.622090116
26-07-2020,15271471.946051732
27-07-2020,14759129.545139294
28-07-2020,14465064.305272236
29-07-2020,14650888.129610443
30-07-2020,14365957.508176457
31-07-2020,14956080.768978858
01-08-2020,14000177.266085362
02-08-2020,15857387.072782004
03-08-2020,12974341.030528035
04-08-2020,14437449.938464945
05-08-2020,14074417.00901338
06-08-2020,14004706.848285103
07-08-2020,14575830.461505065
08-08-2020,14280502.851286018
09-08-2020,14871170.132151587
10-08-2020,14253309.507494884
11-08-2020,14087537.189583026
12-08-2020,13266425.54975428
13-08-2020,14267902.569924593
14-08-2020,14508113.081845071
15-08-2020,14268843.492148967
16-08-2020,14963135.091882577
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,14291630.250787372
12-09-2020,14230312.237348394
13-09-2020,14702861.013108272
14-09-2020,14681336.624821857
15-09-2020,14758919.033631215
16-09-2020,14610364.093741588
17-09-2020,14622964.375103014
18-09-2020,14843643.27980536
19-09-2020,14951884.695334211
20-09-2020,14946426.251337571
21-09-2020,15026001.441215215
22-09-2020,14687946.502550948
23-09-2020,14681225.68820232
24-09-2020,14966366.821144383
25-09-2020,15122794.00911509
26-09-2020,14796076.981460258
27-09-2020,15203111.67013651
28-09-2020,14859387.775967522
29-09-2020,14583381.261458531
30-09-2020,14069688.97573304
01-10-2020,13512006.991210334
02-10-2020,12890692.76405275
03-10-2020,13432221.289824612
04-10-2020,13634841.469168894
05-10-2020,13469279.662765114
06-10-2020,13643765.576093886
07-10-2020,13840927.311441531
08-10-2020,14319764.516802883
09-10-2020,14562908.732016025
10-10-2020,14023174.53623185
11-10-2020,14736664.2346285
12-10-2020,14580967.457374087
13-10-2020,14548105.158078235
14-10-2020,14719335.919986734
15-10-2020,14647422.466682091
16-10-2020,14936759.673268804
17-10-2020,14737605.156852875
18-10-2020,15086057.084302204
19-10-2020,14809518.610157518
20-10-2020,14266640.199572604
21-10-2020,14423067.387543311
22-10-2020,14160713.013239654
23-10-2020,14643535.78073758
24-10-2020,14271356.172425471
25-10-2020,14919863.743374187
26-10-2020,14247219.528974006
27-10-2020,14085123.385498581
28-10-2020,14076199.27857359
29-10-2020,14251836.625634814
30-10-2020,13386115.8129121
31-10-2020,13852674.185039647
01-11-2020,14671471.595672488
02-11-2020,14327215.741867809
03-11-2020,14179712.660822092
04-11-2020,14349681.052378602
05-11-2020,14500649.796352673
06-11-2020,14808045.728297448
07-11-2020,14746529.263777869
08-11-2020,15466950.28803123
09-11-2020,14778649.09192995
10-11-2020,14691932.064687518
11-11-2020,14940745.235405376
12-11-2020,15369713.274956722
13-11-2020,15598994.83845645
14-11-2020,15327803.871688865
15-11-2020,15961309.417619191
16-11-2020,13193956.015958996
17-11-2020,13542197.431900244
18-11-2020,13574329.320479803
19-11-2020,14606354.410750065
20-11-2020,14712603.045210628
21-11-2020,14618434.79290327
22-11-2020,14541384.343729606
23-11-2020,14556707.816875612
24-11-2020,14354087.63753133
25-11-2020,14350621.974602975
26-11-2020,14454135.356851483
27-11-2020,14411408.028406262
28-11-2020,14081225.337823076
29-11-2020,14509784.414785743
30-11-2020,13903793.660774166
01-12-2020,14434925.197760964
02-12-2020,14405008.66218525
03-12-2020,14695608.23912395
04-12-2020,14695608.23912395
05-12-2020,14717132.627410369
06-12-2020,14711463.671905652
07-12-2020,14471983.570701465
08-12-2020,13576667.670530653
09-12-2020,14713135.00484632
10-12-2020,14906831.07726561
11-12-2020,14951241.799078979
12-12-2020,15026620.915311975
13-12-2020,15545362.682445426
14-12-2020,15214969.480354162
15-12-2020,15209300.524849443
16-12-2020,15203842.080852805
17-12-2020,15273762.753089162
18-12-2020,15398800.523624087
19-12-2020,15258228.768435078
20-12-2020,15478907.67313742
21-12-2020,15328879.851387728
22-12-2020,14978756.59099773
23-12-2020,15210773.406709515
24-12-2020,15308617.8334533
25-12-2020,15089078.302055929
26-12-2020,14364373.689696856
27-12-2020,15662528.204899268
28-12-2020,15330142.221739717
29-12-2020,15181376.770342011
30-12-2020,15372869.550184937
31-12-2020,15463052.24035572
