Date,Mobility
15-02-2020,23701949.873968106
16-02-2020,23582339.39744942
17-02-2020,23799639.36019678
18-02-2020,24214229.46717393
19-02-2020,23933189.506070737
20-02-2020,24116539.980945252
21-02-2020,23641864.518044487
22-02-2020,23480059.665679764
23-02-2020,23633619.630071297
24-02-2020,23805653.6089882
25-02-2020,23788322.864239164
26-02-2020,23465407.994699277
27-02-2020,23685331.13084429
28-02-2020,24091995.817257587
29-02-2020,24222922.78973389
01-03-2020,24236862.459089156
02-03-2020,24133870.725694284
03-03-2020,24011637.07577794
04-03-2020,24297979.284047328
05-03-2020,24170443.386964787
06-03-2020,24339854.192484032
07-03-2020,24515279.24679469
08-03-2020,24886083.2735627
09-03-2020,23802206.633223545
10-03-2020,19258223.63047661
11-03-2020,23329178.775056772
12-03-2020,23502692.657594994
13-03-2020,23719992.620342355
14-03-2020,23642257.05226037
15-03-2020,23918762.668193463
16-03-2020,23753174.206219092
17-03-2020,23553204.988220766
18-03-2020,23333281.85207575
19-03-2020,23480771.667304978
20-03-2020,23131401.46230498
21-03-2020,22551503.626827568
22-03-2020,15678204.49057648
23-03-2020,20084797.83746891
24-03-2020,16446643.247352822
25-03-2020,15107263.544697465
26-03-2020,15344517.425591512
27-03-2020,15246827.93936284
28-03-2020,15014389.137112986
29-03-2020,15481570.447601018
30-03-2020,15276187.181694701
31-03-2020,15300731.345382374
01-04-2020,15135910.785404112
02-04-2020,15147939.282986946
03-04-2020,15499988.561755488
04-04-2020,15581827.206856452
05-04-2020,16098808.846345041
06-04-2020,15542575.471817406
07-04-2020,16164348.21573152
08-04-2020,15755772.357545787
09-04-2020,15834931.928878207
10-04-2020,15798359.267607706
11-04-2020,15796448.095835268
12-04-2020,16514110.9549474
13-04-2020,16046929.644459369
14-04-2020,15846248.424835823
15-04-2020,15953830.40377168
16-04-2020,15098906.855982497
17-04-2020,15171340.176898284
18-04-2020,15328235.31631269
19-04-2020,16126256.916904466
20-04-2020,15511585.791187204
21-04-2020,15504859.540770574
22-04-2020,15376611.642062817
23-04-2020,15382625.89085423
24-04-2020,15868937.317121947
25-04-2020,15739490.248266967
26-04-2020,17015897.854562603
27-04-2020,16206559.758013213
28-04-2020,16231103.921700886
29-04-2020,16138716.682638412
30-04-2020,16199833.507596584
01-05-2020,16407728.146158766
02-05-2020,16658977.596778974
03-05-2020,17488269.611475054
04-05-2020,17005724.62838132
05-05-2020,17213619.266943503
06-05-2020,17449449.14458712
07-05-2020,17693916.444419805
08-05-2020,17808224.67377229
09-05-2020,18020222.389353454
10-05-2020,18958520.386235822
11-05-2020,18050780.80183254
12-05-2020,18136441.790478382
13-05-2020,17916518.654333364
14-05-2020,18167000.202957466
15-05-2020,18469961.15435067
16-05-2020,18637460.78809748
17-05-2020,19547823.545898408
18-05-2020,18566938.63895413
19-05-2020,18402830.080601085
20-05-2020,18079915.211061195
21-05-2020,18135729.788853165
22-05-2020,18457932.65676784
23-05-2020,18622041.21512088
24-05-2020,19658028.69823192
25-05-2020,17270633.014882695
26-05-2020,18239920.69239526
27-05-2020,18603998.46874664
28-05-2020,18865796.51332835
29-05-2020,18851856.843973085
30-05-2020,19255898.356988724
31-05-2020,20349611.58966417
01-06-2020,19632435.899074044
02-06-2020,19248404.204575982
03-06-2020,19150714.71834731
04-06-2020,19565304.825324453
05-06-2020,19882205.446072925
06-06-2020,20080263.49229882
07-06-2020,20748782.12366472
08-06-2020,20313414.29617389
09-06-2020,19807860.953384705
10-06-2020,20254208.642988157
11-06-2020,20284767.055467244
12-06-2020,20418317.2013412
13-06-2020,20271539.38773719
14-06-2020,20846471.609893393
15-06-2020,20107430.829384144
16-06-2020,20193091.818029985
17-06-2020,19906749.609760597
18-06-2020,19912763.858552013
19-06-2020,20076872.41690506
20-06-2020,20225130.134130396
21-06-2020,20194140.453500196
22-06-2020,19973880.683510184
23-06-2020,19932005.775073484
24-06-2020,19948624.5181973
25-06-2020,19790530.208635673
26-06-2020,20076872.41690506
27-06-2020,20094203.161654092
28-06-2020,20695590.719270404
29-06-2020,20052328.253217388
30-06-2020,20021769.8407383
01-07-2020,20101416.58059273
02-07-2020,20199106.0668214
03-07-2020,19807860.953384705
04-07-2020,20500155.846442167
05-07-2020,20324299.523980394
06-07-2020,19516928.499574333
07-07-2020,19907461.61138581
08-07-2020,19821088.621114753
09-07-2020,19252507.281594962
10-07-2020,19594664.067656323
11-07-2020,19489761.16248901
12-07-2020,19903207.99968982
13-07-2020,19522230.74674053
14-07-2020,19303019.61222073
15-07-2020,19552789.159219615
16-07-2020,19681037.057927378
17-07-2020,19753470.378843162
18-07-2020,19859853.187631797
19-07-2020,20500436.57991627
20-07-2020,19564817.65680245
21-07-2020,19333578.02469982
22-07-2020,19333578.02469982
23-07-2020,19711595.47040646
24-07-2020,19833829.120322805
25-07-2020,19034720.150325593
26-07-2020,20372188.68120851
27-07-2020,19900960.194072388
28-07-2020,19791954.2118861
29-07-2020,19663706.313178346
30-07-2020,19902871.36584483
31-07-2020,20280176.809926257
01-08-2020,19212487.644559804
02-08-2020,21238859.99310642
03-08-2020,17824882.150831338
04-08-2020,19886739.79124302
05-08-2020,19578532.49305451
06-08-2020,19846344.78642764
07-08-2020,19552077.1575944
08-08-2020,20002527.924216833
09-08-2020,21023807.835976496
10-08-2020,20290781.304258656
11-08-2020,19682236.2280746
12-08-2020,17843317.43142147
13-08-2020,19304930.783993173
14-08-2020,19213255.546555914
15-08-2020,18934726.958108593
16-08-2020,20091148.720105324
17-08-2020,19752758.377217945
18-08-2020,19991211.428259216
19-08-2020,20009741.343155473
20-08-2020,20607681.925007127
21-08-2020,20723901.326132055
22-08-2020,20011165.3464059
23-08-2020,20071906.80358385
24-08-2020,20113445.07817556
25-08-2020,20540550.851257544
26-08-2020,20576411.51090283
27-08-2020,20326641.96390394
28-08-2020,20643542.58465242
29-08-2020,20577891.414524153
30-08-2020,19934965.58231613
31-08-2020,20889921.05625754
01-09-2020,20711816.928178333
02-09-2020,20486647.445238013
03-09-2020,20723901.326132055
04-09-2020,20954428.956609473
05-09-2020,21110612.094398662
06-09-2020,21606328.844851557
07-09-2020,21115146.439568758
08-09-2020,21048015.365819167
09-09-2020,20992200.788027197
10-09-2020,20517205.857717097
11-09-2020,20925781.715902828
12-09-2020,20931795.964694243
13-09-2020,21479992.11791624
14-09-2020,21229454.668921247
15-09-2020,21137779.431483988
16-09-2020,20893312.131651305
17-09-2020,20296795.553050075
