Date,Mobility
15-02-2020,9059577.26958976
16-02-2020,8779225.488077978
17-02-2020,8947571.6712548
18-02-2020,8891150.930853205
19-02-2020,8645389.086721886
20-02-2020,8779763.742499944
21-02-2020,8136106.5823586155
22-02-2020,8938357.926186843
23-02-2020,9008305.024952598
24-02-2020,8987928.514381394
25-02-2020,8766732.112121142
26-02-2020,8687571.26828743
27-02-2020,8751751.461307053
28-02-2020,8736770.81049296
29-02-2020,9119172.353293708
01-03-2020,8832242.915594356
02-03-2020,9148762.60893287
03-03-2020,9066965.676218769
04-03-2020,9347960.999739042
05-03-2020,9468932.97914928
06-03-2020,9413322.989189124
07-03-2020,9667487.827946963
08-03-2020,9420544.187385185
09-03-2020,9211841.161081767
10-03-2020,7575384.624925237
11-03-2020,9081531.754607232
12-03-2020,9011064.795829324
13-03-2020,9375725.916939255
14-03-2020,9052381.203420492
15-03-2020,8979798.015774347
16-03-2020,9183872.406325484
17-03-2020,9135607.296557728
18-03-2020,9076699.281298878
19-03-2020,9127971.52593604
20-03-2020,9133367.385693152
21-03-2020,8751405.547344828
22-03-2020,6803751.7596641425
23-03-2020,7684476.878880985
24-03-2020,7468039.531986332
25-03-2020,7182317.022744229
26-03-2020,7352859.590349019
27-03-2020,7536829.966348422
28-03-2020,7322112.670306194
29-03-2020,7411520.241615189
30-03-2020,7309891.79036883
31-03-2020,7262808.477031533
01-04-2020,7273575.064518966
02-04-2020,7082779.668339313
03-04-2020,7419675.87224903
04-04-2020,7407578.674308006
05-04-2020,7576270.771447053
06-04-2020,7546439.889432192
07-04-2020,7730508.8154011415
08-04-2020,7668841.029265566
09-04-2020,7625848.097258585
10-04-2020,7797721.275316965
11-04-2020,7787078.369825871
12-04-2020,7940913.498147168
13-04-2020,7796415.796890167
14-04-2020,7647282.722263906
15-04-2020,7934732.01997541
16-04-2020,8046490.254317689
17-04-2020,8176552.296799545
18-04-2020,8178006.589249475
19-04-2020,8282271.1293762205
20-04-2020,8202200.985131523
21-04-2020,8117495.467517563
22-04-2020,7962991.66516098
23-04-2020,8091995.593208718
24-04-2020,8219421.546810187
25-04-2020,8227577.177444027
26-04-2020,8448599.633654354
27-04-2020,8386022.547107793
28-04-2020,8238071.2689119885
29-04-2020,8222032.503663781
30-04-2020,8298557.258617108
01-05-2020,8435320.639282873
02-05-2020,8468852.462229218
03-05-2020,8586792.174743257
04-05-2020,8368529.489409656
05-05-2020,8349582.139261589
06-05-2020,8358919.566325886
07-05-2020,8472917.711532744
08-05-2020,8636635.258957282
09-05-2020,8622174.468155343
10-05-2020,8869903.727131765
11-05-2020,8714614.306360537
12-05-2020,8675810.30565342
13-05-2020,8622025.654132212
14-05-2020,9061342.665319912
15-05-2020,9134983.96740017
16-05-2020,9246494.837749772
17-05-2020,9232547.169343006
18-05-2020,9179431.19185708
19-05-2020,9292098.726610348
20-05-2020,9486959.372093523
21-05-2020,9508393.997098844
22-05-2020,9631482.205377318
23-05-2020,9657254.575705636
24-05-2020,9582697.235597411
25-05-2020,9383480.450381424
26-05-2020,9648826.449052323
27-05-2020,9627391.824047001
28-05-2020,9607138.995472139
29-05-2020,9605313.65703319
30-05-2020,9793349.282336116
31-05-2020,9786251.766136395
01-06-2020,10003066.896637045
02-06-2020,9490232.265365424
03-06-2020,9805545.030246686
04-06-2020,9841589.260077082
05-06-2020,9571261.974074693
06-06-2020,10003877.647078482
07-06-2020,9781914.020813398
08-06-2020,9871990.26615768
09-06-2020,9849225.030698769
10-06-2020,9639754.78039052
11-06-2020,9837251.514754083
12-06-2020,9925749.785652094
13-06-2020,9764544.645111602
14-06-2020,9412296.744398778
15-06-2020,9824906.952820381
16-06-2020,9830277.680550702
17-06-2020,9584515.836419381
18-06-2020,9569658.867601631
19-06-2020,9862504.025070248
20-06-2020,10078551.931566067
21-06-2020,9614916.84249998
22-06-2020,9820692.889493726
23-06-2020,9675773.87819412
24-06-2020,9711818.108024511
25-06-2020,9924171.811205825
26-06-2020,9785583.09210111
27-06-2020,9835426.176315136
28-06-2020,9704720.591824789
29-06-2020,9773238.530167408
30-06-2020,9640293.034812486
01-07-2020,9842251.196495386
02-07-2020,9854348.39443641
03-07-2020,10037260.656001695
04-07-2020,10238575.275676103
05-07-2020,9726823.890865395
06-07-2020,9973916.345450304
07-07-2020,10006364.921935737
08-07-2020,9940606.754469845
09-07-2020,10001092.744174965
10-07-2020,10009001.010816123
11-07-2020,9866866.902420038
12-07-2020,10045168.922642855
13-07-2020,10187699.209054753
14-07-2020,9769940.504868714
