Date,Mobility
15-02-2020,32684966.732580375
16-02-2020,32325107.228231262
17-02-2020,32351894.04714904
18-02-2020,32572176.711179465
19-02-2020,31947908.93660215
20-02-2020,32564073.106842365
21-02-2020,29834684.68192869
22-02-2020,31580849.41052767
23-02-2020,31750247.29132391
24-02-2020,32083319.976755247
25-02-2020,32502954.08032303
26-02-2020,32883186.593511924
27-02-2020,32677421.34389658
28-02-2020,32972782.233208142
29-02-2020,33154794.88546549
01-03-2020,32950719.430109262
02-03-2020,33142525.48096281
03-03-2020,34033677.5316748
04-03-2020,34130818.560054824
05-03-2020,33885997.08701903
06-03-2020,34308665.41214659
07-03-2020,34204552.35803528
08-03-2020,34915036.18379061
09-03-2020,31046294.646610927
10-03-2020,25107205.51138541
11-03-2020,33073993.58402322
12-03-2020,32948030.575507898
13-03-2020,33971214.07785478
14-03-2020,32395233.441699434
15-03-2020,33038970.6425048
16-03-2020,32781321.549313016
17-03-2020,33936881.87025322
18-03-2020,32322631.22232478
19-03-2020,31757006.468360327
20-03-2020,32082533.765107874
21-03-2020,33022535.43783653
22-03-2020,23252724.887976523
23-03-2020,29186649.162694197
24-03-2020,24068798.713407386
25-03-2020,22674044.517862007
26-03-2020,23159521.663768016
27-03-2020,23512967.358039137
28-03-2020,22925279.8009758
29-03-2020,24814400.958411664
30-03-2020,23687434.62161269
31-03-2020,23743829.632313147
01-04-2020,23594459.393398263
02-04-2020,23285139.305324912
03-04-2020,23402653.34254471
04-04-2020,23880026.88411362
05-04-2020,25453414.143398143
06-04-2020,23756657.252469134
07-04-2020,24584442.266749382
08-04-2020,24435072.02783449
09-04-2020,24074080.94487958
10-04-2020,24132165.74983914
11-04-2020,23239882.12052134
12-04-2020,25460386.16912944
13-04-2020,24277024.821630016
14-04-2020,24019375.72843823
15-04-2020,24327006.022252474
16-04-2020,23500352.586578026
17-04-2020,23605597.21929514
18-04-2020,23349292.553404037
19-04-2020,25450592.770533238
20-04-2020,24055052.363340482
21-04-2020,23924152.490311388
22-04-2020,23801569.070314277
23-04-2020,23794023.68163049
24-04-2020,24317212.623656273
25-04-2020,23984139.93822493
26-04-2020,25844784.482483916
27-04-2020,24301563.63063538
28-04-2020,24422457.256373387
29-04-2020,24117302.968465623
30-04-2020,24434726.66087607
01-05-2020,24640491.91049141
02-05-2020,24976598.817482535
03-05-2020,26091295.74977882
04-05-2020,25392853.3325321
05-05-2020,26071826.32355077
06-05-2020,26209713.369610347
07-05-2020,26211403.16386945
08-05-2020,26648030.6877588
09-05-2020,26217816.973947443
10-05-2020,28718032.918846216
11-05-2020,27000344.803424124
12-05-2020,26522413.046201907
13-05-2020,26789297.322336588
14-05-2020,26817773.935513467
15-05-2020,26951495.181407467
16-05-2020,27293457.68282327
17-05-2020,29253491.265374683
18-05-2020,27507326.536775712
19-05-2020,27409627.29274239
20-05-2020,27514871.925459508
21-05-2020,27925270.846084386
22-05-2020,28050888.487641282
23-05-2020,27059561.18698948
24-05-2020,26098841.138462614
25-05-2020,27004855.97054813
26-05-2020,28688557.24532708
27-05-2020,28495061.400214422
28-05-2020,28586346.83416975
29-05-2020,29087472.973096654
30-05-2020,28997531.966442008
31-05-2020,27408723.71013066
01-06-2020,30208929.082429357
02-06-2020,29335115.818997353
03-06-2020,29996750.022736024
04-06-2020,29764197.95420291
05-06-2020,30378672.33018402
06-06-2020,30728738.43593694
07-06-2020,27306300.450278454
08-06-2020,31063500.915627375
09-06-2020,30386217.718867816
10-06-2020,30439791.356703367
11-06-2020,31085563.718726262
12-06-2020,28910757.699610688
13-06-2020,29809455.13900648
14-06-2020,27453980.89493423
15-06-2020,30992588.490511827
16-06-2020,30357741.105690937
17-06-2020,30165935.054837383
18-06-2020,30426963.736547373
19-06-2020,30665929.61515849
20-06-2020,31015995.7209114
21-06-2020,27719733.592463117
22-06-2020,31190808.351443376
23-06-2020,30816989.648332477
24-06-2020,30843218.251596946
25-06-2020,30708365.427097157
26-06-2020,30829259.05283516
27-06-2020,30196101.46227337
28-06-2020,27906257.411844473
29-06-2020,31336799.00184006
30-06-2020,30829259.05283516
01-07-2020,31038058.524010286
02-07-2020,31272300.386802502
03-07-2020,31385648.623856716
04-07-2020,31438664.046038963
05-07-2020,27666159.954627566
06-07-2020,30940917.495630268
07-07-2020,30857735.666012038
08-07-2020,30500910.38322271
09-07-2020,30254399.115927804
10-07-2020,30303248.73794447
11-07-2020,29732899.968161125
12-07-2020,26802352.938486647
13-07-2020,30509013.98755981
14-07-2020,29641614.534205798
15-07-2020,30034674.66755068
16-07-2020,29577674.134821553
17-07-2020,29349846.082107324
18-07-2020,29970176.052513134
19-07-2020,26648816.899406176
20-07-2020,28514302.830448404
21-07-2020,28591070.849988643
22-07-2020,28229521.55138042
23-07-2020,28089944.71106174
24-07-2020,28512613.0361893
25-07-2020,27659730.99725038
26-07-2020,26097151.34420351
27-07-2020,28089944.71106174
28-07-2020,28556738.64238707
29-07-2020,28441700.61107375
30-07-2020,28237625.155717522
31-07-2020,29615385.93094133
01-08-2020,28294365.5333764
02-08-2020,27266112.648252197
03-08-2020,26816216.659517907
04-08-2020,29847725.15077956
05-08-2020,29432815.063030675
06-08-2020,29629345.129703116
07-08-2020,30215342.89250735
08-08-2020,29935630.996216677
09-08-2020,27292341.251516666
10-08-2020,30633287.201816026
11-08-2020,30507669.560259126
12-08-2020,27540314.3170766
13-08-2020,30004853.62707312
14-08-2020,29007325.36503821
15-08-2020,29100087.744557757
16-08-2020,26976607.353365324
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,30372816.735759333
12-09-2020,29709492.73776156
13-09-2020,26076565.486668848
14-09-2020,31769260.72556382
15-09-2020,31712865.714863367
16-09-2020,31258899.40369402
17-09-2020,31336225.638887558
18-09-2020,31718147.946335558
19-09-2020,32185728.089308266
20-09-2020,27026015.19103529
21-09-2020,32211170.48092536
22-09-2020,31358288.441986445
23-09-2020,30585208.64414755
24-09-2020,31963527.635024663
25-09-2020,31985590.438123547
26-09-2020,31540859.3098971
27-09-2020,28198568.93229706
28-09-2020,32486716.577050447
29-09-2020,32021612.439984217
30-09-2020,31048410.13825979
01-10-2020,29358868.41635534
02-10-2020,28349416.116776172
03-10-2020,30138016.65731381
04-10-2020,25877001.19843662
05-10-2020,30262289.871570025
06-10-2020,30163459.048930902
07-10-2020,30097270.639634248
08-10-2020,31153654.770976905
09-10-2020,31117632.76911623
10-10-2020,30511261.99747222
11-10-2020,26851547.92746173
12-10-2020,31576323.09610447
13-10-2020,31600075.693462458
14-10-2020,31004284.53206202
15-10-2020,31054823.948337782
16-10-2020,31273416.81810911
17-10-2020,31621793.12960292
18-10-2020,30740434.477487125
19-10-2020,31667608.530059796
20-10-2020,31493141.26648624
21-10-2020,31486727.456408244
22-10-2020,31136103.135002032
23-10-2020,31390718.006634027
24-10-2020,31010485.493445136
25-10-2020,31528605.052693605
26-10-2020,31066880.50414559
27-10-2020,31406366.999654923
28-10-2020,30401866.71188871
29-10-2020,29929217.186138686
30-10-2020,28522193.58609062
31-10-2020,29250802.410773326
01-11-2020,30509013.98755981
02-11-2020,30718158.825693358
03-11-2020,30715124.60413357
04-11-2020,30634976.996075124
05-11-2020,30382051.91870223
06-11-2020,30719848.61995246
07-11-2020,31434498.245873377
08-11-2020,32188549.462173175
09-11-2020,31037272.31236291
10-11-2020,31394097.595152237
11-11-2020,31816765.920279797
12-11-2020,32351438.055160895
13-11-2020,33161098.070513774
14-11-2020,32239551.616371717
15-11-2020,32335789.062140003
16-11-2020,28020413.75377989
17-11-2020,30936098.00208085
18-11-2020,30797307.373409547
19-11-2020,31243382.92893667
20-11-2020,31466699.814526893
21-11-2020,32181349.440447804
22-11-2020,26447908.183873273
23-11-2020,31845242.53345668
24-11-2020,31105150.51591867
25-11-2020,31309225.9712749
26-11-2020,30998216.088942453
27-11-2020,30792450.839327108
28-11-2020,30919758.27514311
29-11-2020,25608985.34369614
30-11-2020,30079491.0076653
01-12-2020,31001037.461807355
02-12-2020,30883178.05762913
03-12-2020,31101770.92740046
04-12-2020,31065748.925539788
05-12-2020,32191929.050691385
06-12-2020,26300227.73921749
07-12-2020,31112695.90460246
08-12-2020,30143086.040091123
09-12-2020,30751146.605994243
10-12-2020,30687206.206609994
11-12-2020,29036360.193868387
12-12-2020,31627420.72803353
13-12-2020,27169529.835525483
14-12-2020,32205314.88650067
15-12-2020,31697774.937495776
16-12-2020,31589150.716260456
17-12-2020,31469946.88478155
18-12-2020,31793784.387269992
19-12-2020,32311903.94651847
20-12-2020,26977723.784671932
