Date,Mobility
15-02-2020,33029158.839334935
16-02-2020,32730078.600274287
17-02-2020,33400005.668372642
18-02-2020,33594659.06110028
19-02-2020,33385556.75355201
20-02-2020,33616881.44423252
21-02-2020,32054574.107469473
22-02-2020,33070690.585805073
23-02-2020,33379120.29910604
24-02-2020,33249797.041909494
25-02-2020,33003174.029488016
26-02-2020,32730078.600274287
27-02-2020,32835842.460472945
28-02-2020,33687311.020343944
29-02-2020,33491320.61375066
01-03-2020,33514880.01074855
02-03-2020,33706859.375744894
03-03-2020,33356897.915973797
04-03-2020,33665088.637211695
05-03-2020,33794411.89440823
06-03-2020,34324568.20926716
07-03-2020,33384219.73968636
08-03-2020,34080380.23251389
09-03-2020,34255733.884722814
10-03-2020,26693704.364665847
11-03-2020,32565421.0589905
12-03-2020,32699843.75676737
13-03-2020,33521316.465194512
14-03-2020,32473618.506667167
15-03-2020,32470944.478935882
16-03-2020,33054904.657118786
17-03-2020,32511626.818485692
18-03-2020,32417398.853313323
19-03-2020,32454070.151266202
20-03-2020,32409386.392938644
21-03-2020,30268208.695753824
22-03-2020,20253410.130534448
23-03-2020,25523223.165661488
24-03-2020,21749069.563539125
25-03-2020,20514252.688532673
26-03-2020,20900885.446256664
27-03-2020,20681335.642665494
28-03-2020,20094711.05957048
29-03-2020,20315827.24627118
30-03-2020,20696882.579288706
31-03-2020,20311825.827493433
01-04-2020,20533801.043933634
02-04-2020,20605567.633910693
03-04-2020,21290182.608892754
04-04-2020,21307066.55938161
05-04-2020,20817573.338434145
06-04-2020,20568896.335957807
07-04-2020,20942656.184789866
08-04-2020,21035308.144033525
09-04-2020,21127960.103277184
10-04-2020,21361710.206806738
11-04-2020,20652198.820961144
12-04-2020,21081080.301344477
13-04-2020,21412591.42751719
14-04-2020,20885099.51757038
15-04-2020,21522605.32137585
16-04-2020,20818432.368173644
17-04-2020,21287269.589098398
18-04-2020,20478669.789563183
19-04-2020,20777989.020686902
20-04-2020,21031297.1024366
21-04-2020,21018424.19354467
22-04-2020,21067968.40038948
23-04-2020,21440152.24329283
24-04-2020,22095869.38863362
25-04-2020,21208827.55261231
26-04-2020,22152328.03405053
27-04-2020,22284086.326915286
28-04-2020,22184997.91322567
29-04-2020,22507637.54928421
30-04-2020,22657846.175747357
01-05-2020,23212898.901469808
02-05-2020,22683830.985594273
