Date,Mobility
15-02-2020,32007175.16135264
16-02-2020,32009257.517146297
17-02-2020,32338597.5853279
18-02-2020,32193730.422075823
19-02-2020,32235418.51954694
20-02-2020,32354094.194798917
21-02-2020,31052897.298847537
22-02-2020,31765517.54948098
23-02-2020,32053169.52019147
24-02-2020,32033366.64935274
25-02-2020,31711052.21768712
26-02-2020,31419235.535389308
27-02-2020,31480726.503699154
28-02-2020,31921716.61061675
29-02-2020,32272941.905430745
01-03-2020,32094857.617662583
02-03-2020,32323100.975856885
03-03-2020,32505349.975212365
04-03-2020,32386674.29996039
05-03-2020,32130157.097972326
06-03-2020,32573229.560683575
07-03-2020,32606446.685199663
08-03-2020,32799390.56308423
09-03-2020,32778667.573330082
10-03-2020,26762156.050163604
11-03-2020,31324527.44256338
12-03-2020,31447509.379183073
13-03-2020,31971875.681042895
14-03-2020,31605153.77675789
15-03-2020,31684365.260112807
16-03-2020,32055251.875985127
17-03-2020,31723829.452009864
18-03-2020,31771906.166642353
19-03-2020,31515388.96465429
20-03-2020,31486478.10150592
21-03-2020,30125630.47507552
22-03-2020,20296790.62784407
23-03-2020,24264964.093251005
24-03-2020,21078836.3685702
25-03-2020,20068435.467818785
26-03-2020,19741319.30521124
27-03-2020,20101652.59233487
28-03-2020,19684134.59826911
29-03-2020,20392944.057109043
30-03-2020,20320787.958219536
31-03-2020,20266322.626425672
01-04-2020,19948314.456127767
02-04-2020,19893212.104979295
03-04-2020,20424604.043355104
04-04-2020,20428910.30472282
05-04-2020,20937750.249162212
06-04-2020,20250826.01695466
07-04-2020,20363113.07504526
08-04-2020,20314399.34105816
09-04-2020,20549031.31641384
10-04-2020,20493928.965265367
11-04-2020,20478432.355794355
12-04-2020,21277006.62673789
13-04-2020,21115085.71574478
14-04-2020,20770886.05744677
15-04-2020,21218901.80088035
16-04-2020,19983755.486217912
17-04-2020,20218387.461573586
18-04-2020,20222693.7229413
19-04-2020,20891260.420749173
20-04-2020,20720868.536801025
21-04-2020,20679817.458684523
22-04-2020,20802799.39530421
23-04-2020,20886175.590246443
24-04-2020,21086145.10464699
25-04-2020,21063622.85865999
26-04-2020,22608418.17249629
27-04-2020,21933462.857527047
28-04-2020,21679028.011332642
29-04-2020,21505887.00428681
30-04-2020,21692442.26501
01-05-2020,21630951.296700153
02-05-2020,21980094.235720493
03-05-2020,22492461.872392584
04-05-2020,23967041.893352624
05-05-2020,24279298.465843774
06-05-2020,24652408.987290148
07-05-2020,24964028.540426683
08-05-2020,25205686.152298346
09-05-2020,24996608.64558816
10-05-2020,25658149.70688004
11-05-2020,25508197.71312524
12-05-2020,25170386.671988603
13-05-2020,24961946.184633028
14-05-2020,25065125.250413984
15-05-2020,25209992.413666062
16-05-2020,25192413.448401388
17-05-2020,25739443.546028614
18-05-2020,25396547.674389247
19-05-2020,24689932.373173952
20-05-2020,24968334.8017944
21-05-2020,24823467.638542328
22-05-2020,24981749.055471756
23-05-2020,24821385.28274867
24-05-2020,25796628.252970744
25-05-2020,24399419.47753479
26-05-2020,25219100.405975703
27-05-2020,25197215.179343313
28-05-2020,25383770.440066505
29-05-2020,25612013.798260808
30-05-2020,25822678.191190444
31-05-2020,26383122.542495027
01-06-2020,26700847.613232132
02-06-2020,26507903.735347573
03-06-2020,26139099.475268904
04-06-2020,26466215.637876455
05-06-2020,26563006.08649604
06-06-2020,26483936.152921524
07-06-2020,26497491.95637928
08-06-2020,26678962.386599742
09-06-2020,26909925.11994232
10-06-2020,26993301.314884547
11-06-2020,27076677.50982678
12-06-2020,27263232.770549968
13-06-2020,26652770.898599643
14-06-2020,27096621.930445906
15-06-2020,27034989.41235566
16-06-2020,27111976.99013652
17-06-2020,26973498.44404582
18-06-2020,26842045.5344711
19-06-2020,27263232.770549968
20-06-2020,27219462.317285195
21-06-2020,26202814.349152807
22-06-2020,27210212.77519515
23-06-2020,26969192.182678103
24-06-2020,27237041.28254986
25-06-2020,27195353.18507875
26-06-2020,27195353.18507875
27-06-2020,26909925.11994232
28-06-2020,27333973.28094985
29-06-2020,27298532.250859708
30-06-2020,27256844.15338859
01-07-2020,27250455.536227223
02-07-2020,27381908.44580194
03-07-2020,27485087.5115829
04-07-2020,27239265.188123923
05-07-2020,27548802.3854668
06-07-2020,25866448.644455213
07-07-2020,26182869.928533677
08-07-2020,27015186.541516934
09-07-2020,27179856.57560774
10-07-2020,27241347.54391758
11-07-2020,26512209.996715285
12-07-2020,27526917.158834413
13-07-2020,27552967.097054113
14-07-2020,27090091.763504133
15-07-2020,27193270.829285093
16-07-2020,27324723.73885981
17-07-2020,27572769.967892848
18-07-2020,27452011.936847214
19-07-2020,27636484.841776747
20-07-2020,27559355.714215487
21-07-2020,27199659.446446467
22-07-2020,27157971.348975353
23-07-2020,27116283.251504235
24-07-2020,27136086.122342963
25-07-2020,26740453.354909588
26-07-2020,27081125.320974894
27-07-2020,27517667.61674437
28-07-2020,27366411.836330928
29-07-2020,27138168.47813662
30-07-2020,27138168.47813662
31-07-2020,27485087.5115829
01-08-2020,26553756.544406
02-08-2020,27952906.125855207
03-08-2020,23857686.5804237
04-08-2020,26938835.983090688
05-08-2020,26506458.39890852
06-08-2020,25832423.202854697
07-08-2020,26748116.01078018
08-08-2020,26365897.497024164
09-08-2020,27349611.440201268
10-08-2020,26647019.30079288
11-08-2020,25327718.2220532
12-08-2020,22290480.82243139
13-08-2020,26190532.584404275
14-08-2020,26831492.205722414
15-08-2020,25587763.116273966
16-08-2020,25790876.655163985
17-08-2020,26288909.919243302
18-08-2020,26115768.912197474
19-08-2020,27268176.05127229
20-08-2020,27018047.466445602
21-08-2020,26837880.82288378
22-08-2020,25515860.368995834
23-08-2020,24998165.783858184
24-08-2020,24169093.76354683
25-08-2020,26271189.404198233
26-08-2020,26754504.627941556
27-08-2020,26767918.881618913
28-08-2020,26809606.979090028
29-08-2020,26258553.71965589
30-08-2020,25878559.11147393
31-08-2020,26969333.732458506
01-09-2020,26930365.01013566
02-09-2020,26908479.78350327
03-09-2020,26680236.425308965
04-09-2020,27143111.75885895
05-09-2020,27202520.371375136
06-09-2020,27608848.017337605
07-09-2020,27345163.629053153
08-09-2020,27318972.14105305
09-09-2020,27088646.427065086
10-09-2020,26717618.261412367
11-09-2020,26965664.490445398
12-09-2020,25905104.519267835
13-09-2020,27200438.015581477
14-09-2020,27149500.376020316
15-09-2020,27270258.40706595
16-09-2020,27331749.375375796
17-09-2020,27153665.087607633
18-09-2020,27302838.512227427
19-09-2020,27243571.44949164
20-09-2020,28029398.234061852
21-09-2020,27656146.162835073
22-09-2020,27263232.770549968
