Date,Mobility
15-02-2020,78332441.45740053
16-02-2020,77460603.08012933
17-02-2020,78878417.10253397
18-02-2020,79284942.42731823
19-02-2020,78397954.05492423
20-02-2020,78906110.71090455
21-02-2020,76694702.6714099
22-02-2020,77767197.32919829
23-02-2020,78922960.9615081
24-02-2020,78203116.51783389
25-02-2020,77758772.20389651
26-02-2020,77185102.95039247
27-02-2020,77462303.33561009
28-02-2020,78471891.77774972
29-02-2020,79314336.29116958
01-03-2020,78209841.38765489
02-03-2020,78749092.16296732
03-03-2020,78675154.44014186
04-03-2020,78675154.44014186
05-03-2020,78785210.89663969
06-03-2020,79257248.81894764
07-03-2020,79720861.61595385
08-03-2020,82060876.61803064
09-03-2020,78117541.30815479
10-03-2020,60996057.438613005
11-03-2020,76366233.55739717
12-03-2020,77034809.27227625
13-03-2020,77942766.38321981
14-03-2020,77413640.98868991
15-03-2020,77385947.38031934
16-03-2020,77144865.72877409
17-03-2020,76708946.54013848
18-03-2020,76135277.28663445
19-03-2020,76281452.47680466
20-03-2020,75180358.0842515
21-03-2020,69208590.79050247
22-03-2020,41236205.7555085
23-03-2020,48811593.50377388
24-03-2020,44010739.83745746
25-03-2020,42103319.66515681
26-03-2020,42473726.2562687
27-03-2020,42168832.26268051
28-03-2020,41779157.1884998
29-03-2020,41695700.06456865
30-03-2020,42344401.31670206
31-03-2020,42437607.52259635
01-04-2020,42335976.19140029
02-04-2020,41770732.06319803
03-04-2020,42503120.120120056
04-04-2020,42568632.71764377
05-04-2020,43103388.70619078
06-04-2020,41372631.86371555
07-04-2020,41319662.87943965
08-04-2020,41531350.66713355
09-04-2020,41743038.45482745
10-04-2020,42056357.573717415
11-04-2020,41759888.70543099
12-04-2020,41936781.7161139
13-04-2020,42121870.17124112
14-04-2020,41429719.33593749
15-04-2020,42162107.39285951
16-04-2020,40885443.946284816
17-04-2020,40893869.07158659
18-04-2020,40967806.79441206
19-04-2020,40928893.52945504
20-04-2020,40800662.86569229
21-04-2020,40588975.07799839
22-04-2020,40487343.74680233
23-04-2020,40910719.32219013
24-04-2020,41374332.11919632
25-04-2020,41281125.913302034
26-04-2020,42512151.22509871
27-04-2020,41541476.047916085
28-04-2020,41643107.379112154
29-04-2020,41321363.13492042
30-04-2020,42005088.84492228
01-05-2020,41895032.38842445
02-05-2020,42375495.43603418
03-05-2020,42764076.234410994
04-05-2020,42737476.90184431
05-05-2020,42257013.85423457
06-05-2020,42460276.5166267
07-05-2020,43154845.5843956
08-05-2020,42858376.71610918
09-05-2020,41395300.85774591
10-05-2020,41995569.44381661
11-05-2020,41757282.32355603
12-05-2020,41858913.65475209
13-05-2020,41748857.19825426
14-05-2020,42534214.23945218
15-05-2020,42794564.37406624
16-05-2020,42860076.97158995
17-05-2020,43672033.345354564
18-05-2020,43054914.50868031
19-05-2020,45142022.22294855
20-05-2020,46293479.21790264
21-05-2020,46932661.06893038
22-05-2020,47563417.79465634
23-05-2020,47571842.919958115
24-05-2020,49300181.52996806
25-05-2020,47091379.872348376
26-05-2020,48308349.464826174
27-05-2020,48308349.464826174
28-05-2020,48577124.72474201
29-05-2020,49150793.97824603
30-05-2020,49652225.76440535
31-05-2020,51693883.493305266
01-06-2020,51767027.08704417
02-06-2020,51053907.513190955
03-06-2020,50981670.045846246
04-06-2020,52120583.42755253
05-06-2020,53064659.27216846
06-06-2020,53020115.41319432
07-06-2020,52831096.619530775
08-06-2020,54216116.26712254
09-06-2020,53686990.87259264
10-06-2020,53873403.284381226
11-06-2020,54898141.72164364
12-06-2020,55370179.643951595
13-06-2020,54898141.72164364
14-06-2020,54673004.19430774
15-06-2020,55065285.65036341
16-06-2020,55194610.58993005
17-06-2020,54686453.93394974
18-06-2020,55194610.58993005
19-06-2020,55565017.181041956
20-06-2020,56204199.03206968
21-06-2020,53354403.27063387
22-06-2020,55971542.505826205
23-06-2020,55694342.1206086
24-06-2020,55520473.32206783
25-06-2020,55732161.10976172
26-06-2020,55943848.89745562
27-06-2020,54246416.257368095
28-06-2020,55005591.79626651
29-06-2020,56110992.82617539
30-06-2020,56488124.287108295
01-07-2020,55690223.632662565
02-07-2020,55734767.49163669
03-07-2020,55438298.62335028
04-07-2020,53660203.39061625
05-07-2020,51040457.77354895
06-07-2020,54206179.0357497
07-07-2020,53725715.988139965
08-07-2020,54022184.85642639
09-07-2020,54140666.43822599
10-07-2020,54039035.10702994
11-07-2020,51638608.27387172
12-07-2020,50816226.37260725
13-07-2020,52343302.722423166
14-07-2020,51001126.67832476
15-07-2020,51956045.88070772
16-07-2020,51964471.00600949
17-07-2020,51964471.00600949
18-07-2020,51835146.06644284
19-07-2020,51178207.838417366
20-07-2020,52770796.785757
21-07-2020,51985439.74455908
22-07-2020,52078645.95045337
23-07-2020,52457477.66686704
24-07-2020,52559108.998063095
25-07-2020,52002289.99516262
26-07-2020,52281002.4864513
27-07-2020,53022721.79506929
28-07-2020,52607771.344983265
29-07-2020,52506140.0137872
30-07-2020,52709402.676179335
31-07-2020,53376278.13557765
01-08-2020,52476746.14993585
