Date,Mobility
15-02-2020,24460712.24578359
16-02-2020,22630343.24930508
17-02-2020,23722455.16241992
18-02-2020,24454193.68796523
19-02-2020,23580144.491026536
20-02-2020,23584791.105552804
21-02-2020,20669812.216427878
22-02-2020,25010472.868960027
23-02-2020,23225755.148160145
24-02-2020,24326264.686035465
25-02-2020,24202721.01833557
26-02-2020,23391740.718069695
27-02-2020,23105781.945106044
28-02-2020,23455524.673446164
29-02-2020,22615419.943076205
01-03-2020,23376282.8987256
02-03-2020,24421225.560396533
03-03-2020,24844406.564342488
04-03-2020,23903979.286381565
05-03-2020,23185104.454534587
06-03-2020,23608546.738776952
07-03-2020,23591570.943667565
08-03-2020,25856822.924329534
09-03-2020,27513438.221261267
10-03-2020,22746299.332956173
11-03-2020,23793921.683853235
12-03-2020,23382266.943428744
13-03-2020,22851976.43012702
14-03-2020,23097645.600641962
15-03-2020,23503135.750774898
16-03-2020,24075233.84229062
17-03-2020,23779720.559978027
18-03-2020,22481152.9289165
19-03-2020,21969890.699604668
20-03-2020,21950862.415614776
21-03-2020,21166505.10703763
22-03-2020,15952591.050978404
23-03-2020,16785816.132353164
24-03-2020,15242836.02624558
25-03-2020,14740413.24757906
26-03-2020,15062910.612757215
27-03-2020,15102124.065325463
28-03-2020,15394520.661399495
29-03-2020,16815829.043099273
30-03-2020,15827878.54616763
31-03-2020,15560686.776897468
01-04-2020,15455356.523603398
02-04-2020,15192177.044863854
03-04-2020,15811083.296646662
04-04-2020,16280357.402156064
05-04-2020,17288854.15884289
06-04-2020,16169404.195335684
07-04-2020,16217830.142248485
08-04-2020,15851553.444683796
09-04-2020,16052105.852635331
10-04-2020,16017800.294889754
11-04-2020,16398097.570741236
12-04-2020,17646098.907651443
13-04-2020,16755522.865138207
14-04-2020,16183524.58450291
15-04-2020,16124467.978360698
16-04-2020,15894076.081601439
17-04-2020,15986623.375905158
18-04-2020,16288574.481328132
19-04-2020,17381401.453146614
20-04-2020,16395864.53627231
21-04-2020,16281614.09762495
22-04-2020,16087307.014672961
23-04-2020,16192898.548263432
24-04-2020,16349410.343532035
25-04-2020,16407210.254205357
26-04-2020,18401151.240536086
27-04-2020,17165479.08420899
28-04-2020,18001210.432871502
29-04-2020,17559001.144935645
30-04-2020,17308685.35989444
01-05-2020,17265982.177388377
02-05-2020,17737489.317366708
03-05-2020,18424826.13905225
04-05-2020,18258667.147204302
05-05-2020,18546597.674340483
06-05-2020,18292972.70494988
07-05-2020,17771260.36199706
08-05-2020,18589381.591554534
09-05-2020,18748126.421292063
10-05-2020,19580902.553131975
11-05-2020,19276183.90012485
12-05-2020,19256894.335838556
13-05-2020,18879986.979044456
14-05-2020,18694973.125145007
15-05-2020,19079021.411230702
16-05-2020,19715437.971238118
17-05-2020,20396790.74822052
18-05-2020,19585637.026016258
19-05-2020,19725272.837055907
20-05-2020,19331750.77632925
21-05-2020,19170411.820945963
22-05-2020,19609131.378944006
23-05-2020,19599215.77841823
24-05-2020,20812911.557582863
25-05-2020,18985759.058223348
26-05-2020,20130762.98718884
27-05-2020,19588946.210365653
28-05-2020,19302987.437402
29-05-2020,19731076.33617063
30-05-2020,20188463.086981732
31-05-2020,21226618.78688787
01-06-2020,20744127.02015332
02-06-2020,21309618.695492674
03-06-2020,20490240.770466316
04-06-2020,20357223.328125462
05-06-2020,20040710.00765045
06-06-2020,21107448.50089542
07-06-2020,21642920.141838633
08-06-2020,20925389.86381856
09-06-2020,20922715.003464818
10-06-2020,20469875.05629955
11-06-2020,20505518.044221997
12-06-2020,20874289.05655202
13-06-2020,20876522.09102094
14-06-2020,21852946.324431118
15-06-2020,21152030.750343606
16-06-2020,21509909.823147807
17-06-2020,20749849.784560066
18-06-2020,20351239.28342232
19-06-2020,20613342.612281397
20-06-2020,21477295.66310591
21-06-2020,20853201.16003158
22-06-2020,21086728.819201846
23-06-2020,21238332.71964778
24-06-2020,20459244.39707014
25-06-2020,20628800.431625497
26-06-2020,20760299.898201056
27-06-2020,21316137.253311038
28-06-2020,21516067.289789334
29-06-2020,20729484.070393294
30-06-2020,21385290.005567435
01-07-2020,20830428.9894575
02-07-2020,20916992.239058074
03-07-2020,21078150.648852948
04-07-2020,21951838.75461481
05-07-2020,21993919.56564764
06-07-2020,21447282.752359796
07-07-2020,21717522.425682954
08-07-2020,20938434.103105314
09-07-2020,20860087.932676803
10-07-2020,20855260.77256212
11-07-2020,21226445.36494948
12-07-2020,22003654.620585
13-07-2020,21536259.582017716
14-07-2020,21563243.66488328
15-07-2020,21110403.71771801
16-07-2020,20978723.70555403
17-07-2020,21334450.478597295
18-07-2020,22045462.198799003
19-07-2020,22198222.983833387
20-07-2020,21701169.0020468
21-07-2020,21747181.36890226
22-07-2020,21235023.53529838
23-07-2020,21298988.036263265
24-07-2020,21377153.661103357
25-07-2020,21790680.34481994
26-07-2020,22022682.90457489
27-07-2020,21283710.762507588
28-07-2020,21547966.3911276
29-07-2020,20906542.12541708
30-07-2020,20643182.10108912
31-07-2020,21124604.84159322
01-08-2020,20952635.226980522
02-08-2020,22480611.292151246
03-08-2020,20191518.114684753
04-08-2020,21786314.086762525
05-08-2020,20837489.184041113
06-08-2020,20894393.490422383
07-08-2020,20994896.583601765
08-08-2020,21092090.492431756
09-08-2020,21762632.06459633
10-08-2020,21165970.59392241
11-08-2020,21508572.392970935
12-08-2020,19749128.28116049
13-08-2020,20538486.171790704
14-08-2020,21151588.924458783
15-08-2020,20317829.3299688
16-08-2020,22074498.770545077
17-08-2020,21543139.23101291
18-08-2020,21729048.689204417
19-08-2020,21187231.912381236
20-08-2020,20866967.581672
21-08-2020,20291740.851395294
22-08-2020,22141499.223040532
23-08-2020,22637838.146123484
24-08-2020,21930938.527332827
25-08-2020,22036268.780626897
26-08-2020,21263164.5027524
27-08-2020,21225107.934772607
28-08-2020,21634168.549551338
29-08-2020,22647753.74664926
30-08-2020,22241641.22504309
31-08-2020,21653377.37912966
01-09-2020,22160888.598207265
02-09-2020,21350803.902233444
03-09-2020,20294154.431452636
04-09-2020,21697237.446224168
05-09-2020,22503210.040786937
06-09-2020,22291665.88242916
07-09-2020,21733060.979735035
08-09-2020,21883327.45000409
09-09-2020,21209830.661016926
10-09-2020,20808987.125410262
11-09-2020,21150512.774578314
12-09-2020,21266734.9673982
13-09-2020,22406731.190660592
14-09-2020,21980963.1847189
15-09-2020,21937998.721916437
16-09-2020,20059918.83722876
17-09-2020,21041612.056638446
18-09-2020,21971489.410077944
19-09-2020,23461850.73315369
20-09-2020,23430673.814169098
21-09-2020,22590756.753037587
22-09-2020,22295243.47072499
23-09-2020,21693032.657582723
24-09-2020,21319434.48513802
25-09-2020,22050096.860802855
26-09-2020,23483553.877497334
27-09-2020,23560382.072160553
28-09-2020,22476133.27069098
29-09-2020,22173298.51349837
30-09-2020,20764231.45402369
01-10-2020,19926640.1145915
02-10-2020,19643002.23445479
03-10-2020,22614170.37125735
04-10-2020,21707787.370745596
05-10-2020,20882786.49219293
06-10-2020,20979719.12072652
07-10-2020,20823288.0601659
08-10-2020,21027410.932763234
09-10-2020,21622822.831618294
10-10-2020,22310962.570365485
11-10-2020,23007592.621103574
12-10-2020,22148466.730393745
13-10-2020,22512329.84790109
14-10-2020,22091381.87842406
15-10-2020,22065293.39985055
16-10-2020,22780678.50175971
17-10-2020,24135789.34802568
18-10-2020,24051459.132894028
19-10-2020,23090492.718827948
20-10-2020,23005901.223399892
21-10-2020,22042875.196803275
22-10-2020,21882612.391300455
23-10-2020,22518313.89260423
24-10-2020,23317587.383760225
25-10-2020,23528328.625056352
26-10-2020,23270598.677904725
27-10-2020,23445877.47686682
28-10-2020,22310881.8356575
29-10-2020,21621665.94702984
30-10-2020,22036891.15210013
31-10-2020,22027597.92304759
01-11-2020,23359929.47508945
02-11-2020,22960965.006424904
03-11-2020,23362884.69191204
04-11-2020,20603073.044228822
05-11-2020,21328646.97948257
06-11-2020,21959701.86626008
07-11-2020,23562714.91750991
08-11-2020,22916382.756976724
09-11-2020,22377521.19697613
10-11-2020,22622748.54160625
11-11-2020,22046626.207037486
12-11-2020,21731189.036442943
13-11-2020,23186710.288657892
14-11-2020,22057879.23774013
