Date,Mobility
15-02-2020,15831839.286115555
16-02-2020,14563437.71388556
17-02-2020,14965291.046274925
18-02-2020,15175975.586547084
19-02-2020,14715892.801079307
20-02-2020,15102212.999635201
21-02-2020,13419440.72497561
22-02-2020,15621817.281353999
23-02-2020,15127375.102146039
24-02-2020,15181608.464534136
25-02-2020,15362532.256680788
26-02-2020,14899791.927912727
27-02-2020,14707947.123916099
28-02-2020,14721512.202697534
29-02-2020,14840899.939323701
01-03-2020,14749318.372139836
02-03-2020,15030776.688268296
03-03-2020,15197804.133878212
04-03-2020,14894186.002663322
05-03-2020,14962660.455712285
06-03-2020,14877659.065563943
07-03-2020,15695262.076879406
08-03-2020,15601367.71051938
09-03-2020,13186596.369617019
10-03-2020,13591742.828079624
11-03-2020,14634198.013373036
12-03-2020,14423182.20534557
13-03-2020,14130140.34185653
14-03-2020,14426171.016401157
15-03-2020,14795964.27785767
16-03-2020,14815480.02601264
17-03-2020,14664979.517502103
18-03-2020,14079227.058279324
19-03-2020,14079227.058279324
20-03-2020,13975041.187731318
21-03-2020,14151968.889187653
22-03-2020,10868992.969668142
23-03-2020,11723990.689996805
24-03-2020,10085491.54129264
25-03-2020,9811965.425958563
26-03-2020,9833793.973289687
27-03-2020,9738229.791784324
28-03-2020,10082171.462481746
29-03-2020,11435574.424860084
30-03-2020,10236336.7939273
31-03-2020,10044133.769437723
01-04-2020,9932015.698095337
02-04-2020,9875151.7451446
03-04-2020,10099056.620074075
04-04-2020,10316983.872892372
05-04-2020,11678663.780189218
06-04-2020,10274705.754726626
07-04-2020,10386465.605576066
08-04-2020,10222771.715145864
09-04-2020,10439089.133405078
10-04-2020,10409341.861648392
11-04-2020,10632901.992453737
12-04-2020,11912211.100164885
13-04-2020,10702052.45738213
14-04-2020,10405994.830099853
15-04-2020,10302153.703675978
16-04-2020,10400030.6843575
17-04-2020,10287926.089383936
18-04-2020,10530670.700588947
19-04-2020,11670745.055763654
20-04-2020,10501599.440711688
21-04-2020,10459883.448363824
22-04-2020,10405318.818220425
23-04-2020,10446331.84595121
24-04-2020,10597177.098585876
25-04-2020,10544567.047125684
26-04-2020,11922442.623766609
27-04-2020,10868403.891112614
28-04-2020,11289414.751163993
29-04-2020,11103202.825154414
30-04-2020,11004636.35622464
01-05-2020,11056570.395805402
02-05-2020,11433261.625683922
03-05-2020,12365295.507517932
04-05-2020,11860939.59609473
05-05-2020,11951229.120105993
06-05-2020,11704819.685965966
07-05-2020,11404176.889437843
08-05-2020,11803399.631264566
09-05-2020,11882092.131546427
10-05-2020,12723836.489369169
