Date,Mobility
15-02-2020,7224982.751337409
16-02-2020,6973615.73000572
17-02-2020,7229108.426592537
18-02-2020,7311037.882345729
19-02-2020,6973703.726239646
20-02-2020,7139387.362817879
21-02-2020,6752744.136133769
22-02-2020,7249227.54582659
23-02-2020,7079308.238700819
24-02-2020,7391192.127579877
25-02-2020,7338970.60865973
26-02-2020,6973111.989399965
27-02-2020,6626299.010987296
28-02-2020,6726638.37263094
29-02-2020,6694010.23328061
01-03-2020,6836522.553756615
02-03-2020,7129908.540511292
03-03-2020,7020726.091517708
04-03-2020,6869194.691223908
05-03-2020,6746253.7512592375
06-03-2020,6429586.453109924
07-03-2020,6766394.86955177
08-03-2020,7150685.393760472
09-03-2020,7410039.776900638
10-03-2020,5694836.779041372
11-03-2020,6511609.421532883
12-03-2020,6674350.856535349
13-03-2020,6731947.521565433
14-03-2020,6633799.11481266
15-03-2020,7040231.474853597
16-03-2020,7300835.3288485715
17-03-2020,6996831.0442249095
18-03-2020,6860131.613289151
19-03-2020,6941447.33314418
20-03-2020,6790003.929084306
21-03-2020,6596365.5671335915
22-03-2020,5027729.051394175
23-03-2020,6104797.561061916
24-03-2020,5030123.514247223
25-03-2020,4576712.787045187
26-03-2020,4949815.275603703
27-03-2020,4843919.258946427
28-03-2020,5042385.028284362
29-03-2020,5249979.8727325
30-03-2020,5108321.0400586305
31-03-2020,5008025.67653195
01-04-2020,4960477.571589652
02-04-2020,4918282.613698809
03-04-2020,5084054.246510969
04-04-2020,5131624.350511748
05-04-2020,5429422.000281818
06-04-2020,5226018.828264255
07-04-2020,5030693.252028423
08-04-2020,4960521.569706615
09-04-2020,4932019.105611415
10-04-2020,4994880.921459027
11-04-2020,5090502.87100786
12-04-2020,5378799.699412864
13-04-2020,5241946.275067733
14-04-2020,5060291.1935690595
15-04-2020,4937262.257370461
16-04-2020,5120962.0545258
17-04-2020,5179106.458278601
18-04-2020,5260466.176250594
19-04-2020,5573073.796320222
20-04-2020,5412435.319974703
21-04-2020,5216014.2662934335
22-04-2020,5093029.328211798
23-04-2020,5136341.762606558
24-04-2020,5207630.921432284
25-04-2020,5265205.587403886
26-04-2020,5123876.740607244
27-04-2020,5582376.626158954
28-04-2020,5391834.459193378
29-04-2020,5262992.633454532
30-04-2020,5168532.158526581
01-05-2020,5306327.066907775
02-05-2020,5391878.457310341
03-05-2020,5690793.583584329
04-05-2020,5713241.168495984
05-05-2020,5598705.572450944
06-05-2020,5475720.634369309
07-05-2020,5523728.481800399
08-05-2020,5632561.1835976
09-05-2020,5846318.664782367
10-05-2020,5349771.495653425
11-05-2020,6082743.721463607
12-05-2020,5949754.221411151
13-05-2020,5740714.152321194
14-05-2020,5755524.122620753
15-05-2020,5746615.038095368
16-05-2020,5978892.420462996
17-05-2020,5458538.200275183
18-05-2020,6163555.700712881
19-05-2020,5939727.660381846
20-05-2020,5921251.7573159505
21-05-2020,5873221.910826378
22-05-2020,6002063.736565223
23-05-2020,6053825.512996579
24-05-2020,6495208.961629608
25-05-2020,5391242.722353697
26-05-2020,6142385.102150356
27-05-2020,5900606.898417661
28-05-2020,5882196.992527209
29-05-2020,6006321.406171244
30-05-2020,6172093.038983402
31-05-2020,6533825.982988038
01-06-2020,5697993.454766116
02-06-2020,6303943.063473459
03-06-2020,6037876.06713462
04-06-2020,6033706.393762526
05-06-2020,6048472.365945123
06-06-2020,6242812.460027928
07-06-2020,6618193.899711243
08-06-2020,5711138.20983904
09-06-2020,6370470.812087411
10-06-2020,6037876.06713462
11-06-2020,6114452.375836356
12-06-2020,6276010.337159459
13-06-2020,6281275.487976987
14-06-2020,6000530.515689478
15-06-2020,6393576.1310141925
16-06-2020,6317087.818546382
17-06-2020,6156077.595945998
18-06-2020,6099642.405536796
19-06-2020,6175670.975515814
20-06-2020,6359918.51139387
21-06-2020,5949426.47327325
22-06-2020,6432149.154255659
23-06-2020,6360378.2538826605
24-06-2020,6213082.5241364
25-06-2020,6127575.131850797
26-06-2020,6175101.237734615
27-06-2020,6099620.406478315
28-06-2020,6014814.746324802
29-06-2020,6473796.373423784
30-06-2020,6331328.051064743
01-07-2020,6254729.7433045255
02-07-2020,6084262.697456037
03-07-2020,6331897.788845942
04-07-2020,6374158.743912231
05-07-2020,6052774.0336681055
06-07-2020,6563495.438139962
07-07-2020,6492864.013329364
08-07-2020,6245228.921939459
09-07-2020,6236297.8383555915
10-07-2020,6421618.852620602
11-07-2020,6350307.694736395
12-07-2020,6137733.687230991
13-07-2020,6682244.70567406
14-07-2020,6534511.232497488
15-07-2020,6316518.080765183
16-07-2020,6274301.123815859
17-07-2020,6407926.35882496
18-07-2020,6560005.497841477
19-07-2020,5925575.424097414
20-07-2020,6669143.9487181
21-07-2020,6336681.198116197
22-07-2020,6298042.177699286
23-07-2020,6213104.523194883
24-07-2020,6407926.35882496
25-07-2020,6291368.046181735
26-07-2020,5912452.668082971
27-07-2020,6622187.580615482
28-07-2020,6459622.13808087
