Date,Mobility
15-02-2020,6881653.545754177
16-02-2020,6695456.912995829
17-02-2020,6632014.349857781
18-02-2020,6701214.856169381
19-02-2020,6596960.348204571
20-02-2020,6674601.147536571
21-02-2020,6063562.408052555
22-02-2020,6790301.807444022
23-02-2020,6797414.40369058
24-02-2020,6800067.1602705745
25-02-2020,6729185.8548428845
26-02-2020,6591269.502467794
27-02-2020,6613873.164479914
28-02-2020,6545092.857947336
29-02-2020,6518802.6583899185
01-03-2020,6703412.54576812
02-03-2020,6776590.868465866
03-03-2020,6626291.273886459
04-03-2020,6530897.258721072
05-03-2020,6462116.952188495
06-03-2020,6362260.460388852
07-03-2020,6677510.315755181
08-03-2020,6872305.755738957
09-03-2020,7036025.010455671
10-03-2020,6252955.644172715
11-03-2020,6504315.780322807
12-03-2020,6606273.271017559
13-03-2020,6337491.339012536
14-03-2020,6331668.935369897
15-03-2020,6541503.011105669
16-03-2020,6648860.068696349
17-03-2020,6433822.444439597
18-03-2020,6377005.180332311
19-03-2020,6498493.376680169
20-03-2020,6360544.7940705335
21-03-2020,6267771.305250596
22-03-2020,5116451.484707456
23-03-2020,5592414.7358682575
24-03-2020,5056657.954944785
25-03-2020,5032662.135689738
26-03-2020,5013583.860050198
27-03-2020,5056106.197259902
28-03-2020,5146585.30577747
29-03-2020,5398491.9256770685
30-03-2020,5206925.319289649
31-03-2020,5134718.954055807
01-04-2020,5155090.0592669565
02-04-2020,5118710.997807595
03-04-2020,5020147.335579562
04-04-2020,5256983.089492622
05-04-2020,5457442.418914007
06-04-2020,5388721.298915139
07-04-2020,5530291.958600985
08-04-2020,5418889.987187385
09-04-2020,5579442.23180914
10-04-2020,5487605.8332508765
11-04-2020,5522627.604669542
12-04-2020,5802440.762773559
13-04-2020,5653913.384078495
14-04-2020,5539604.881413972
15-04-2020,5644632.691500052
16-04-2020,5675256.446753549
17-04-2020,5593153.170787295
18-04-2020,5652103.664024235
19-04-2020,5895117.560889866
20-04-2020,5751020.428594514
21-04-2020,5668208.310976077
22-04-2020,5716065.754612622
23-04-2020,5749307.399243883
24-04-2020,5661028.617292743
25-04-2020,5733754.5099769235
26-04-2020,5912450.576944232
27-04-2020,5995809.178312178
28-04-2020,5959561.674758676
29-04-2020,5933368.165904888
30-04-2020,5853982.106987715
01-05-2020,5786074.430247724
02-05-2020,5949699.6312284935
03-05-2020,6083608.573950584
04-05-2020,6231804.532667193
05-05-2020,6150285.244620365
06-05-2020,6143137.781171573
07-05-2020,6159531.069996578
08-05-2020,6143525.750716053
09-05-2020,6267666.703643902
10-05-2020,6081410.884351845
11-05-2020,6401217.27008837
12-05-2020,6288621.796774478
13-05-2020,6165741.443183694
14-05-2020,6322283.64118476
15-05-2020,6293440.012718668
16-05-2020,6449917.750250649
17-05-2020,6238373.282131933
18-05-2020,6567072.390902422
19-05-2020,6495286.225447604
20-05-2020,6497904.114825365
21-05-2020,6473522.962993529
22-05-2020,6380361.504629111
23-05-2020,6462368.089891736
24-05-2020,6328432.19087048
25-05-2020,6451791.930773995
26-05-2020,6400411.737732557
27-05-2020,6449141.811161689
28-05-2020,6472197.903187376
29-05-2020,6430903.935080195
