Date,Mobility
15-02-2020,16577670.876078034
16-02-2020,16348823.819792671
17-02-2020,17190404.55341051
18-02-2020,16873491.650695294
19-02-2020,16699208.624854617
20-02-2020,16597808.757028036
21-02-2020,15260879.343793869
22-02-2020,16403387.850237355
23-02-2020,16537487.092575284
24-02-2020,17358929.945243116
25-02-2020,16890704.725442637
26-02-2020,16612097.025572715
27-02-2020,16648523.647760544
28-02-2020,16637038.29338284
29-02-2020,16348945.711828366
01-03-2020,16844793.22157025
02-03-2020,17535061.63810282
03-03-2020,17142492.576844975
04-03-2020,16984498.29224212
05-03-2020,16833307.867192544
06-03-2020,15538958.299899794
07-03-2020,16240712.070810072
08-03-2020,17129128.641809806
09-03-2020,17704237.665735114
10-03-2020,12896630.730361916
11-03-2020,15924631.523207117
12-03-2020,16266485.693732455
13-03-2020,16072186.678977465
14-03-2020,15231530.278869137
15-03-2020,16696405.710687647
16-03-2020,17129006.749774113
17-03-2020,16527758.426819343
18-03-2020,16441541.247408515
19-03-2020,16483695.589965982
20-03-2020,15839308.76366736
21-03-2020,14813065.702653212
22-03-2020,10493171.23223081
23-03-2020,13349765.240143904
24-03-2020,11219440.767567258
25-03-2020,10273475.532643303
26-03-2020,10353935.078046061
27-03-2020,10344298.390687376
28-03-2020,10560765.67272396
29-03-2020,10881861.240138046
30-03-2020,10890088.263326392
31-03-2020,10725441.924844395
01-04-2020,10551158.899003716
02-04-2020,10588509.854701057
03-04-2020,10725412.011205956
04-04-2020,10843252.425944496
05-04-2020,11208380.916573506
06-04-2020,10978154.109756242
07-04-2020,11527641.316433301
08-04-2020,11380178.139060207
09-04-2020,11236594.015037723
10-04-2020,11424181.148636693
11-04-2020,11290233.711972894
12-04-2020,11518460.046097007
13-04-2020,11679877.96702808
14-04-2020,11375374.752200084
15-04-2020,11438621.2228555
16-04-2020,10282279.864889732
17-04-2020,10288007.585259365
18-04-2020,10339798.615175515
19-04-2020,10450184.53456109
20-04-2020,10642301.35731036
21-04-2020,10379982.398678267
22-04-2020,10370345.711319583
23-04-2020,10379952.485039828
24-04-2020,10451729.59023185
25-04-2020,10498717.233287878
26-04-2020,10406151.611346163
27-04-2020,10586783.07971773
28-04-2020,10620284.895702897
29-04-2020,10511126.921175094
30-04-2020,10635619.389792778
01-05-2020,10729412.956592262
02-05-2020,10895165.347896338
03-05-2020,10704927.105804527
04-05-2020,11419863.092437401
05-05-2020,11355662.374634033
06-05-2020,11718456.867583193
