Date,Mobility
15-02-2020,25257070.12230694
16-02-2020,25295910.16337429
17-02-2020,25622928.621924445
18-02-2020,25230965.121016897
19-02-2020,24902750.593526114
20-02-2020,25107741.573425934
21-02-2020,22501001.56157874
22-02-2020,25024965.12124486
23-02-2020,25563828.14588704
24-02-2020,26028636.182481516
25-02-2020,25375234.187116634
26-02-2020,24725284.62019048
27-02-2020,25546631.65779877
28-02-2020,25051481.10793681
29-02-2020,23962641.45663781
01-03-2020,25384344.13280695
02-03-2020,25674727.63910261
03-03-2020,25077586.109226845
04-03-2020,24343253.035777077
05-03-2020,24669449.523523405
06-03-2020,23891403.975293417
07-03-2020,25732595.158934273
08-03-2020,26580234.246901017
09-03-2020,25505498.369968224
10-03-2020,17871740.97891441
11-03-2020,24996005.725986406
12-03-2020,26183622.248614118
13-03-2020,25546220.672396865
14-03-2020,24383700.131186966
15-03-2020,25679974.170952287
16-03-2020,25701019.689461056
17-03-2020,24950088.16239333
18-03-2020,24917503.67304788
19-03-2020,25552887.20952068
20-03-2020,24177700.131414928
21-03-2020,23457933.088418514
22-03-2020,17496240.153241668
23-03-2020,22098097.124304835
24-03-2020,17199960.80994077
25-03-2020,16010326.24756861
26-03-2020,16266705.25924468
27-03-2020,15956696.239714393
28-03-2020,16336522.73531494
29-03-2020,17798349.67944241
30-03-2020,16491321.752379129
31-03-2020,16311837.739299035
01-04-2020,16375773.761784201
02-04-2020,16599979.269516738
03-04-2020,16856769.26659472
04-04-2020,16997413.238607462
05-04-2020,18317998.176251877
06-04-2020,16767326.277289832
07-04-2020,17328243.84031301
08-04-2020,17231312.343080487
09-04-2020,17552038.362643637
10-04-2020,17705828.3598356
11-04-2020,17750549.85448804
12-04-2020,19539582.30623407
13-04-2020,17873175.367608696
14-04-2020,17495179.862684194
15-04-2020,17963627.376785807
16-04-2020,16753582.217640292
17-04-2020,16836545.718889777
18-04-2020,17092326.696095534
19-04-2020,18733637.653303098
20-04-2020,17214952.20921618
21-04-2020,17132997.72783893
22-04-2020,17042545.718661815
23-04-2020,17407993.232877407
24-04-2020,17317541.223700296
25-04-2020,17433089.21429522
26-04-2020,19305085.16729073
27-04-2020,17921162.241631463
28-04-2020,17607513.74459404
29-04-2020,17704034.256424654
30-04-2020,18236828.77841334
01-05-2020,18166002.282470856
02-05-2020,18287020.74124897
03-05-2020,19786080.672101248
04-05-2020,19361107.313026205
05-05-2020,19658157.356445674
06-05-2020,19992029.401188046
07-05-2020,20383581.916693676
08-05-2020,20601718.921772715
