Date,Mobility
15-02-2020,13555326.825031675
16-02-2020,13424216.082476921
17-02-2020,13811830.829337114
18-02-2020,13767320.949398251
19-02-2020,13283776.066647545
20-02-2020,13608892.998500519
21-02-2020,12015406.559496429
22-02-2020,13575444.124195023
23-02-2020,13796494.542091575
24-02-2020,13957466.042242737
25-02-2020,13466994.230057035
26-02-2020,13039144.88487015
27-02-2020,13427281.91545818
28-02-2020,13393435.409416446
29-02-2020,13560522.022107922
01-03-2020,13596895.523980875
02-03-2020,13885514.3019693
03-03-2020,13551465.728577944
04-03-2020,12767718.778477615
05-03-2020,13046196.466296742
06-03-2020,11966903.808772992
07-03-2020,13618346.923766732
08-03-2020,13927605.284646332
09-03-2020,14025415.480648637
10-03-2020,10041794.81597862
11-03-2020,12475511.883780098
12-03-2020,13458062.588518653
13-03-2020,13415284.44093854
14-03-2020,12871246.455283998
15-03-2020,13271380.960391667
16-03-2020,13490574.993937876
17-03-2020,13185177.72951201
18-03-2020,12955195.670077074
19-03-2020,13401157.602323914
20-03-2020,12826736.575345132
21-03-2020,12472968.334526673
22-03-2020,9112388.977211222
23-03-2020,11485097.780720277
24-03-2020,8911728.838222653
25-03-2020,8508255.520389082
26-03-2020,8625239.424329214
27-03-2020,8568334.438134473
28-03-2020,8614576.050432084
29-03-2020,9339032.223920254
30-03-2020,8831243.088147072
31-03-2020,8739571.68044653
01-04-2020,8653493.101558466
02-04-2020,8842428.745772034
03-04-2020,8971807.755968042
04-04-2020,9011247.090822257
05-04-2020,9791398.801874254
06-04-2020,9026981.009804035
07-04-2020,9152896.555282548
08-04-2020,9110118.407702435
09-04-2020,9245090.246710924
10-04-2020,9354749.589479826
11-04-2020,9296924.687821016
12-04-2020,10212048.237881504
13-04-2020,9443769.349357553
14-04-2020,9238975.13417061
15-04-2020,9353829.674015759
16-04-2020,8564092.26336671
17-04-2020,8551697.157110833
18-04-2020,8696934.738280214
19-04-2020,9560223.84723061
20-04-2020,8752107.992116207
21-04-2020,8656973.119698169
22-04-2020,8596207.037049694
23-04-2020,8777420.488355797
24-04-2020,8818989.187304996
25-04-2020,8905067.766193056
26-04-2020,9917455.552766569
27-04-2020,9005273.183695747
28-04-2020,8947845.913773172
29-04-2020,8899474.937380577
30-04-2020,8884950.467029713
01-05-2020,8950099.929859754
02-05-2020,9003666.103328593
03-05-2020,9669087.926527038
04-05-2020,9013409.561761655
05-05-2020,9240052.808470689
06-05-2020,9447374.01948885
07-05-2020,9499208.460598944
08-05-2020,9691607.569530008
09-05-2020,9574623.665589876
10-05-2020,9737576.202082979
11-05-2020,9868835.272390781
12-05-2020,9764768.75843436
13-05-2020,9764768.75843436
14-05-2020,9805939.825647322
15-05-2020,9975155.802433781
16-05-2020,9973026.438338798
17-05-2020,9879350.318534866
18-05-2020,10177696.001534143
19-05-2020,10122000.463970318
20-05-2020,10147710.591946144
21-05-2020,10111337.09007319
22-05-2020,10300272.734286757
23-05-2020,10152905.789022388
24-05-2020,10093076.17526019
25-05-2020,10235396.251201358
26-05-2020,10301482.182917671
27-05-2020,10159708.066465784
28-05-2020,10280155.435123412
29-05-2020,10206471.96249123
30-05-2020,10473763.992685392
31-05-2020,10130386.146019418
01-06-2020,10615413.457145683
02-06-2020,10504544.665745866
03-06-2020,10498951.836933384
04-06-2020,10527727.79789047
05-06-2020,10583820.967190532
06-06-2020,10820729.95606046
07-06-2020,10045914.647498509
08-06-2020,10850590.713656865
09-06-2020,10606481.815607302
10-06-2020,10427000.096659949
11-06-2020,10680165.288239487
12-06-2020,10667770.181983609
13-06-2020,10773966.060035015
14-06-2020,10096017.356249854
15-06-2020,10847127.248939367
