Date,Mobility
15-02-2020,13903254.50809929
16-02-2020,13974502.160257053
17-02-2020,13787818.947362117
18-02-2020,13903254.50809929
19-02-2020,13837610.307572842
20-02-2020,13927481.121355347
21-02-2020,12936449.65854588
22-02-2020,13652265.228376517
23-02-2020,14067143.295348577
24-02-2020,13811727.750511078
25-02-2020,14314726.633548131
26-02-2020,13855119.09169427
27-02-2020,14099009.923162036
28-02-2020,13830033.10202872
29-02-2020,13182247.350656234
01-03-2020,14240645.85106807
02-03-2020,14049697.320240427
03-03-2020,14033365.72263559
04-03-2020,13874221.010608127
05-03-2020,13826882.161599321
06-03-2020,13226117.449128542
07-03-2020,14084334.269362908
08-03-2020,14640848.264240999
09-03-2020,13561664.740468014
10-03-2020,10322136.011763085
11-03-2020,13487423.010805937
12-03-2020,13884631.346474547
13-03-2020,13855597.848983385
14-03-2020,13589136.348065268
15-03-2020,14158352.242829688
16-03-2020,14051035.453939036
17-03-2020,13770533.919435987
18-03-2020,13739526.668032018
19-03-2020,14327271.670509376
20-03-2020,13579746.335790358
21-03-2020,13117847.229916595
22-03-2020,9379200.232730003
23-03-2020,10940664.50944911
24-03-2020,10063027.960193794
25-03-2020,9369241.493511112
26-03-2020,9259409.384405257
27-03-2020,9017971.064139415
28-03-2020,9147921.331493698
29-03-2020,9663331.464951565
30-03-2020,9230375.886914097
31-03-2020,9477417.65881126
01-04-2020,9261383.138318064
02-04-2020,9285291.941467024
03-04-2020,9399071.558398487
04-04-2020,9314961.059172383
05-04-2020,9848676.54414789
06-04-2020,9261383.138318064
07-04-2020,9620230.773233885
08-04-2020,9753971.685488695
09-04-2020,9834770.297103388
10-04-2020,9746873.23723369
11-04-2020,9673969.64127022
12-04-2020,10128860.268543841
13-04-2020,9842347.502647512
14-04-2020,9887712.59774351
15-04-2020,9869725.056332964
16-04-2020,8811644.366028229
17-04-2020,8798942.466141904
18-04-2020,8722409.172459923
19-04-2020,9309066.958075551
20-04-2020,9018924.49446071
21-04-2020,9005743.837285269
22-04-2020,8974736.5858813
23-04-2020,9031626.394347034
24-04-2020,9075814.302926442
25-04-2020,8962352.496102076
26-04-2020,9518320.840420837
27-04-2020,8964008.439907782
28-04-2020,8960060.932082172
29-04-2020,8905144.877529245
