Date,Mobility
15-02-2020,19815119.595546857
16-02-2020,20125645.445029758
17-02-2020,20381835.43668166
18-02-2020,20155714.65827476
19-02-2020,19776767.63231286
20-02-2020,20081022.920185056
21-02-2020,17471345.124327604
22-02-2020,19931024.46286517
23-02-2020,20196927.787503373
24-02-2020,20650158.75062656
25-02-2020,19982265.158225708
26-02-2020,19725667.365645394
27-02-2020,19993582.878661875
28-02-2020,19736985.086081557
29-02-2020,19584158.838526558
01-03-2020,20255461.826543506
02-03-2020,20391722.57412052
03-03-2020,20143989.136910178
04-03-2020,19612623.66432169
05-03-2020,20172895.13939322
06-03-2020,18844842.47495903
07-03-2020,20113338.3182842
08-03-2020,21470704.78612985
09-03-2020,20952836.46731268
10-03-2020,14536380.987175483
11-03-2020,19439408.160748493
12-03-2020,20344299.075304497
13-03-2020,20339866.89761951
14-03-2020,19371568.589650467
15-03-2020,20381661.632229093
16-03-2020,20450490.60963651
17-03-2020,20054363.10255615
18-03-2020,19985941.926077154
19-03-2020,20566395.47695482
20-03-2020,19697844.337254528
21-03-2020,19157173.332608156
22-03-2020,14346024.93773902
23-03-2020,18491933.725989863
24-03-2020,14395046.264509212
25-03-2020,13521481.341742955
26-03-2020,13607490.800268829
27-03-2020,13152247.648767354
28-03-2020,13556831.710289268
29-03-2020,14922454.11186012
30-03-2020,13917608.848823315
31-03-2020,13481290.994583234
01-04-2020,13563276.076352542
02-04-2020,13623240.698389983
03-04-2020,13861086.998161463
04-04-2020,13964858.543186776
05-04-2020,15226301.5988039
06-04-2020,14047833.031265475
07-04-2020,14220433.5536982
08-04-2020,14256191.723172935
09-04-2020,14512207.910372272
10-04-2020,14551990.456603572
11-04-2020,14619830.027701592
12-04-2020,15941237.705356155
13-04-2020,14974744.405553346
14-04-2020,14559016.42804782
15-04-2020,14798874.916197589
16-04-2020,14207718.626024222
17-04-2020,14259226.69362011
18-04-2020,14336953.40215699
19-04-2020,15726608.451837989
20-04-2020,14801909.886644764
21-04-2020,14716482.033499869
22-04-2020,14582233.474301135
23-04-2020,14918396.359344056
24-04-2020,15034301.22666237
25-04-2020,15102140.797760386
26-04-2020,16561647.606917689
27-04-2020,15392658.375889713
28-04-2020,15279173.4978781
29-04-2020,15080528.138956942
30-04-2020,15392658.375889713
01-05-2020,15677139.388884181
02-05-2020,15650686.751467336
03-05-2020,16707621.687481005
04-05-2020,15605041.44455374
05-05-2020,15485112.200478857
06-05-2020,15713071.362811478
07-05-2020,16051246.43623268
08-05-2020,16054689.207608273
09-05-2020,16012486.67207027
10-05-2020,16965242.262130212
11-05-2020,16791993.382797513
12-05-2020,16796425.560482502
13-05-2020,16914342.616179097
14-05-2020,17250505.50122202
15-05-2020,17448569.254762195
16-05-2020,17396071.78085692
17-05-2020,17432210.93499627
18-05-2020,18057661.435887564
19-05-2020,17713623.601784065
20-05-2020,17751393.95963709
21-05-2020,17931287.825749412
22-05-2020,17971070.371980716
23-05-2020,17978945.32104129
24-05-2020,17694671.488258876
25-05-2020,17824073.509348508
