Date,Mobility
15-02-2020,15366828.534852456
16-02-2020,15427035.758550799
17-02-2020,15690625.205661248
18-02-2020,15743387.591737706
19-02-2020,15205222.345925488
20-02-2020,15502585.072528243
21-02-2020,13953369.434434466
22-02-2020,15558790.918730164
23-02-2020,15575894.302447857
24-02-2020,16151657.02465311
25-02-2020,15667838.277760262
26-02-2020,15150370.680802979
27-02-2020,15205045.165329805
28-02-2020,15254036.105673337
29-02-2020,15272998.83667359
01-03-2020,15398919.647657886
02-03-2020,15869485.583317686
03-03-2020,15609720.333107973
04-03-2020,15353903.709226865
05-03-2020,15423592.298425334
06-03-2020,14573201.026350504
07-03-2020,15442351.473245993
08-03-2020,16054003.129573507
09-03-2020,15859747.910470162
10-03-2020,11323723.873375868
11-03-2020,14909541.786009612
12-03-2020,15434605.025600554
13-03-2020,15617263.224573823
14-03-2020,14469154.864704872
15-03-2020,15643493.612600274
16-03-2020,15703700.836298617
17-03-2020,15466518.9578103
18-03-2020,14996130.20274618
19-03-2020,15479771.76904335
20-03-2020,15122175.44315835
21-03-2020,14489826.137975903
22-03-2020,10842880.308507485
23-03-2020,13727403.839300958
24-03-2020,10674855.477430588
25-03-2020,10005033.125282971
26-03-2020,9990019.02061133
27-03-2020,10014638.920210969
28-03-2020,10272367.64254244
29-03-2020,11215615.168491997
30-03-2020,10345703.248045962
31-03-2020,10387098.545755832
01-04-2020,10142498.205229538
02-04-2020,10332574.866240785
03-04-2020,10571642.467595562
04-04-2020,10598050.036217695
05-04-2020,11597706.964548765
06-04-2020,10494384.61134734
07-04-2020,10573403.761034153
08-04-2020,10390896.367072664
09-04-2020,10637533.235477198
10-04-2020,10791898.142961869
11-04-2020,10724121.65221377
12-04-2020,11900753.235334812
13-04-2020,10869031.56978222
14-04-2020,10703273.198347056
15-04-2020,10884045.674453862
16-04-2020,9995932.496558119
17-04-2020,10026111.510913178
18-04-2020,10176704.972664922
19-04-2020,11355222.278652424
20-04-2020,10244357.03398515
21-04-2020,10255573.317339959
22-04-2020,10108777.676905045
23-04-2020,10242444.93553478
24-04-2020,10287638.054561483
25-04-2020,10436319.417862859
26-04-2020,11609303.984678846
27-04-2020,10626422.45445801
28-04-2020,10468259.725656508
29-04-2020,10453245.620984867
30-04-2020,10494640.918694738
01-05-2020,10571898.774942962
02-05-2020,10639701.641274966
03-05-2020,11737314.074709194
04-05-2020,10872961.26901858
05-05-2020,11110116.771922989
06-05-2020,11305876.97711753
07-05-2020,11281381.506945763
08-05-2020,11462153.983052567
09-05-2020,11351070.096144227
10-05-2020,11325069.639881272
11-05-2020,11787659.196132138
12-05-2020,11531691.767239256
13-05-2020,11450786.894685978
14-05-2020,11543058.855605846
15-05-2020,11674840.391369116
16-05-2020,11607063.90062102
17-05-2020,11699565.793304376
18-05-2020,12075566.93281867
19-05-2020,11804585.399254149
20-05-2020,11829054.493842008
21-05-2020,11815952.487620736
22-05-2020,12015510.514132109
23-05-2020,11874247.61286871
24-05-2020,11931037.752025492
25-05-2020,11911667.908666065
26-05-2020,12083162.575452333
27-05-2020,12045538.72347539
28-05-2020,12055020.088975513
29-05-2020,12141608.505712084
30-05-2020,12358092.735345466
31-05-2020,11902921.641132578
01-06-2020,12679800.127108207
02-06-2020,12301532.527952177
03-06-2020,12326027.998123944
04-06-2020,12412616.414860513
05-06-2020,12282720.601963704
06-06-2020,12589591.069650488
07-06-2020,11821865.963567523
08-06-2020,12824710.044676656
09-06-2020,12425744.796665693
10-06-2020,12361739.75165052
11-06-2020,12676002.305791376
12-06-2020,12700497.775963143
13-06-2020,12647709.014302779
14-06-2020,12211349.846078362
15-06-2020,12869725.983107675
16-06-2020,12611872.831348332
17-06-2020,12408667.788531907
18-06-2020,12628923.46389821
19-06-2020,12738095.25235618
20-06-2020,12864193.243936159
21-06-2020,12136128.51770838
22-06-2020,13204686.186103469
23-06-2020,12939237.39171046
24-06-2020,12653241.753474295
25-06-2020,12722930.342672763
26-06-2020,12770009.184565926
27-06-2020,12593034.529775953
28-06-2020,11930709.766418032
29-06-2020,12897842.09400059
30-06-2020,12687067.784134407
01-07-2020,12529055.860344684
02-07-2020,12642025.470119486
03-07-2020,12754995.079894286
04-07-2020,12897992.899012368
05-07-2020,12068174.846364599
06-07-2020,13031509.352630325
07-07-2020,12709651.155855807
08-07-2020,12414324.957131295
09-07-2020,12627011.365447843
10-07-2020,12604427.993726447
11-07-2020,12282543.421368022
12-07-2020,11772697.842628308
13-07-2020,12984430.510737162
14-07-2020,12692751.328317702
15-07-2020,12882801.613745043
16-07-2020,13097373.744928055
17-07-2020,13121869.21509982
18-07-2020,13349543.352504106
19-07-2020,12687218.589146186
20-07-2020,13362671.734309284
21-07-2020,12282517.045784116
22-07-2020,12781199.092336832
23-07-2020,12905384.985466443
24-07-2020,13157731.773638174
25-07-2020,13042850.065413008
26-07-2020,12555614.233978596
27-07-2020,13390965.025797881
28-07-2020,13178278.617481332
29-07-2020,12952490.202943511
30-07-2020,12380472.550887277
31-07-2020,13217735.44115693
01-08-2020,13215849.718290467
02-08-2020,12956314.399844246
03-08-2020,12187854.195794644
04-08-2020,13053941.919339946
05-08-2020,12775541.923737442
06-08-2020,12954402.301393878
07-08-2020,12977012.048699182
08-08-2020,12926109.00990528
09-08-2020,12685536.422459312
10-08-2020,13488796.10147317
11-08-2020,13151923.800027007
12-08-2020,12212677.651573872
13-08-2020,12997709.697554117
14-08-2020,13146391.060855493
15-08-2020,12781199.092336832
16-08-2020,12621531.377444139
17-08-2020,13451198.625080131
18-08-2020,13138821.793805737
19-08-2020,12689130.687596554
20-08-2020,13108793.584462455
21-08-2020,12969567.211077297
22-08-2020,11341437.925632326
23-08-2020,11810321.694605254
24-08-2020,13788044.550942384
25-08-2020,13430474.600641288
26-08-2020,12993911.876237284
27-08-2020,13022205.167725883
28-08-2020,13300755.968340164
29-08-2020,12905588.54164603
30-08-2020,14163249.426748222
31-08-2020,13127605.510450926
01-09-2020,13157607.344210302
02-09-2020,12916804.82500084
03-09-2020,13056155.627813868
04-09-2020,13278297.026046636
05-09-2020,12979048.576577423
06-09-2020,13161733.151134595
07-09-2020,13518948.740244323
08-09-2020,13304376.60906131
09-09-2020,13063574.089851847
10-09-2020,13039078.61968008
11-09-2020,13148250.408138052
12-09-2020,13080447.541806048
13-09-2020,13122072.771279411
14-09-2020,13712823.222572401
15-09-2020,13607422.879847357
16-09-2020,13210343.354702856
17-09-2020,13575482.572053706
18-09-2020,13812638.074958118
19-09-2020,14025324.483274665
20-09-2020,13795941.803599602
21-09-2020,14232150.16681224
22-09-2020,13818170.814129634
23-09-2020,13315664.570676183
24-09-2020,13746898.112088257
25-09-2020,13594569.732481828
26-09-2020,13848474.257912567
27-09-2020,13856273.456725817
28-09-2020,14177777.29230897
29-09-2020,13959407.339809125
30-09-2020,13215849.718290467
01-10-2020,13074613.192610973
02-10-2020,12790122.540466
03-10-2020,13558254.758908143
04-10-2020,13435980.9642289
05-10-2020,13866682.963853927
06-10-2020,13682289.847025974
07-10-2020,13469780.619305108
