Date,Mobility
15-02-2020,22862127.108462878
16-02-2020,22951048.235656276
17-02-2020,23362239.203998767
18-02-2020,23556681.381384205
19-02-2020,22899960.034879707
20-02-2020,22851295.785126537
21-02-2020,19933408.503259875
22-02-2020,22526816.814581286
23-02-2020,23080011.41866267
24-02-2020,23510441.08265444
25-02-2020,23637409.957891904
26-02-2020,22756606.05827084
27-02-2020,22688917.93449564
28-02-2020,22527675.603107475
29-02-2020,22334368.944964778
01-03-2020,23080011.41866267
02-03-2020,23402496.081439
03-03-2020,23343215.329976734
04-03-2020,22662837.029030643
05-03-2020,22872528.788544737
06-03-2020,21041300.466847792
07-03-2020,23029138.03951334
08-03-2020,23522193.10360627
09-03-2020,23153253.818455692
10-03-2020,16463400.227465246
11-03-2020,22088409.42153106
12-03-2020,22709292.149387646
13-03-2020,22628563.572879944
14-03-2020,21032463.94926314
15-03-2020,23024504.959093776
16-03-2020,23202562.035107814
17-03-2020,23073384.030474182
18-03-2020,22481926.856721487
19-03-2020,22541207.608183756
20-03-2020,21800689.767249204
21-03-2020,20646280.27623222
22-03-2020,14402964.221905632
23-03-2020,17385748.938324448
24-03-2020,15173184.845643379
25-03-2020,13360121.609442279
26-03-2020,13495283.035365446
27-03-2020,13259510.370386353
28-03-2020,13499916.11578501
29-03-2020,14919676.240440158
30-03-2020,13995395.130901339
31-03-2020,14023685.1657625
01-04-2020,13693007.95230047
02-04-2020,13822185.956934104
03-04-2020,13997604.260297503
04-04-2020,14023470.344135262
05-04-2020,15491894.718543582
06-04-2020,14025035.506632473
07-04-2020,14631742.262513828
08-04-2020,13971738.17645974
09-04-2020,14072626.146232214
10-04-2020,14212420.652574945
11-04-2020,14187413.357263375
12-04-2020,15607173.481918523
13-04-2020,14596395.196209703
14-04-2020,14450617.268577438
15-04-2020,14734839.36168246
16-04-2020,13614488.505188933
17-04-2020,13590831.550747337
18-04-2020,13775516.01494986
19-04-2020,15268947.68466975
20-04-2020,14129850.182853488
21-04-2020,14113250.259854855
22-04-2020,14000672.178219857
23-04-2020,14036295.975240523
24-04-2020,14171457.401163692
25-04-2020,13977015.223778257
26-04-2020,15432399.145454077
27-04-2020,14388206.192120753
28-04-2020,14411863.146562349
29-04-2020,14164123.639004186
30-04-2020,14274277.769615784
01-05-2020,14309901.56663645
02-05-2020,14424688.777667614
03-05-2020,15875439.618923867
04-05-2020,15923674.72340532
05-05-2020,16171414.230963483
06-05-2020,16152390.35694145
07-05-2020,16013946.191468691
08-05-2020,16238887.533111447
09-05-2020,16321825.239015315
10-05-2020,17299680.40944341
11-05-2020,16811320.832842108
12-05-2020,16705799.782650072
13-05-2020,16716416.284359172
14-05-2020,16686775.908628039
15-05-2020,16802913.46052917
16-05-2020,16936724.545582365
17-05-2020,18442123.057881325
18-05-2020,17399003.71470143
19-05-2020,17393020.293411892
20-05-2020,17310082.587508027
21-05-2020,17415603.637700062
22-05-2020,17436836.64111826
23-05-2020,17519774.347022124
24-05-2020,18554701.139516324
25-05-2020,17029634.786296375
26-05-2020,17731890.05755962
27-05-2020,17648952.351655755
28-05-2020,17689209.229095988
29-05-2020,17676168.77636349
30-05-2020,17914150.570738748
31-05-2020,18846256.994780857
01-06-2020,18043543.396999612
02-06-2020,18266275.60924621
03-06-2020,18029152.603397146
04-06-2020,18115649.779567145
05-06-2020,17911941.44134258
