Date,Mobility
15-02-2020,14034990.039030124
16-02-2020,13993899.189803194
17-02-2020,14239327.85316216
18-02-2020,14065321.908076916
19-02-2020,13895035.860801572
20-02-2020,13825387.968844147
21-02-2020,12780606.468132181
22-02-2020,13665202.507435245
23-02-2020,13980737.100440545
24-02-2020,14394676.984758556
25-02-2020,14216035.066485595
26-02-2020,13881071.480869435
27-02-2020,13829880.045776067
28-02-2020,14026320.026599392
29-02-2020,13869998.359256191
01-03-2020,14233518.987602849
02-03-2020,14372700.986709382
03-03-2020,14342827.155351495
04-03-2020,14081689.397191567
05-03-2020,14106412.757303843
06-03-2020,12990927.155526798
07-03-2020,13797603.105235664
08-03-2020,14175088.113514466
09-03-2020,13955669.487447686
10-03-2020,10340173.32812196
11-03-2020,13087557.62052322
12-03-2020,13423179.600453073
13-03-2020,13348381.237250032
14-03-2020,12736684.583481306
15-03-2020,13791994.596301146
16-03-2020,13737597.761455774
17-03-2020,13330238.921819083
18-03-2020,13163472.41572886
19-03-2020,13230717.198503768
20-03-2020,12625287.44798326
21-03-2020,11848799.47106539
22-03-2020,8973911.133571167
23-03-2020,10953330.66677387
24-03-2020,9198878.045677515
25-03-2020,8462622.167048091
26-03-2020,8682669.07598109
27-03-2020,8536906.032193234
28-03-2020,8783307.231299005
29-03-2020,9406765.512442144
30-03-2020,8923261.409527551
31-03-2020,8806914.15940868
01-04-2020,8703214.500594554
02-04-2020,8873500.547869895
03-04-2020,8959201.787508866
04-04-2020,9030166.468093682
05-04-2020,9446425.78823336
06-04-2020,9056634.543074775
07-04-2020,9440700.5960349
08-04-2020,9339089.90497018
09-04-2020,9439069.665974401
10-04-2020,9465223.599522386
11-04-2020,9382269.721946513
12-04-2020,9843139.432498235
13-04-2020,9493008.463130867
14-04-2020,9261086.142015135
15-04-2020,9417093.667925227
16-04-2020,8736293.731704446
17-04-2020,8860338.458507245
18-04-2020,8927783.597906945
19-04-2020,9706591.010646481
20-04-2020,9008848.864358202
21-04-2020,9023127.38572345
22-04-2020,8871297.795312168
23-04-2020,8934364.64258827
24-04-2020,9108170.231048727
25-04-2020,9143652.571341135
26-04-2020,9761960.38123866
27-04-2020,9195502.400748195
28-04-2020,9230326.34672691
29-04-2020,9160020.060455788
30-04-2020,9101131.148678496
01-05-2020,9219567.366546774
02-05-2020,9347990.385473171
03-05-2020,10095493.39341911
04-05-2020,9980546.605288472
05-05-2020,9804451.692453824
06-05-2020,9933646.890502237
07-05-2020,9807971.233638939
08-05-2020,10056261.043869324
09-05-2020,10217419.041025031
10-05-2020,9980576.716735946
11-05-2020,10470859.322501032
12-05-2020,10172808.650612988
13-05-2020,10152263.225999523
14-05-2020,10119528.247770214
15-05-2020,10419009.49309397
16-05-2020,10421756.85515707
17-05-2020,10474609.331758408
18-05-2020,10668930.233384855
19-05-2020,10504252.695044033
20-05-2020,10526228.693093209
21-05-2020,10401211.430543605
22-05-2020,10608410.391547065
23-05-2020,10399122.4627942
24-05-2020,10552613.094713455
25-05-2020,10271671.979614606
26-05-2020,10730566.507225247
27-05-2020,10697173.134682244
28-05-2020,10645981.699588876
29-05-2020,10914158.540119033
30-05-2020,11022036.134431966
31-05-2020,10632705.825417904
01-06-2020,11152862.262540877
02-06-2020,11006641.181064118
03-06-2020,10834266.166039372
04-06-2020,10788683.23988052
05-06-2020,10843394.216159005
06-06-2020,11051909.965789855
07-06-2020,10510091.672050817
08-06-2020,11086275.874079661
09-06-2020,10808770.626805082
10-06-2020,10771199.318763267
11-06-2020,10888204.963195836
12-06-2020,11119468.889997875
13-06-2020,11148684.327042067
14-06-2020,10854383.664411401
15-06-2020,11265231.93378573
16-06-2020,11104073.936630026
17-06-2020,10994765.76888138
18-06-2020,10869748.506331777
19-06-2020,11111771.41331395
20-06-2020,9680751.218531607
21-06-2020,9760529.807802947
22-06-2020,11192836.679765206
23-06-2020,11138897.882608738
24-06-2020,10970700.803082801
25-06-2020,11030248.10917379
26-06-2020,11143075.818107547
27-06-2020,11087706.44751537
28-06-2020,10620372.375546265
29-06-2020,11259623.424851213
30-06-2020,11229749.593493324
01-07-2020,11065072.055152502
02-07-2020,11109682.445564544
03-07-2020,11228118.663432825
04-07-2020,11413341.626387108
05-07-2020,10757265.050278602
06-07-2020,11355425.250356622
07-07-2020,11218332.218999494
08-07-2020,10946435.480659435
09-07-2020,11109682.445564544
10-07-2020,11206142.665383648
11-07-2020,11131658.44361372
12-07-2020,10564344.610640392
13-07-2020,11429251.077812858
14-07-2020,11231180.166929035
