Date,Mobility
15-02-2020,13329220.24435061
16-02-2020,13575220.868715864
17-02-2020,13321578.863236194
18-02-2020,13573158.61757721
19-02-2020,13386793.150317138
20-02-2020,13684308.38622363
21-02-2020,12611321.215644937
22-02-2020,13149754.24474033
23-02-2020,13285481.303948216
24-02-2020,13617575.241948893
25-02-2020,13663954.857699346
26-02-2020,13212491.34572843
27-02-2020,13245586.220893366
28-02-2020,13337638.569194198
29-02-2020,12396715.224080952
01-03-2020,13095698.217610912
02-03-2020,13123955.87626471
03-03-2020,12713970.534037774
04-03-2020,12468449.074122043
05-03-2020,12341818.023727031
06-03-2020,12403713.951490626
07-03-2020,12927752.48672714
08-03-2020,13761621.366240485
09-03-2020,12640899.211972764
10-03-2020,9352037.62101892
11-03-2020,12927553.967207374
12-03-2020,13223006.951975215
13-03-2020,13086537.979302704
14-03-2020,12436674.536631133
15-03-2020,12882593.948890833
16-03-2020,12514186.036167756
17-03-2020,12682873.680516152
18-03-2020,12695451.53790159
19-03-2020,13051281.593239231
20-03-2020,12433572.592748214
21-03-2020,12067904.615133073
22-03-2020,9442839.692174817
23-03-2020,11348007.564784084
24-03-2020,9316816.265219996
25-03-2020,9061936.047476294
26-03-2020,9068934.77488597
27-03-2020,9126408.421092613
28-03-2020,9104191.160949443
29-03-2020,9978714.171332145
30-03-2020,9180084.543532386
31-03-2020,9201244.215016628
01-04-2020,9154087.655537006
02-04-2020,9201822.639226034
03-04-2020,9323552.243614573
04-04-2020,9275916.519685425
05-04-2020,10043548.553723447
06-04-2020,9031037.713474438
07-04-2020,9242821.644520486
08-04-2020,9166087.088713037
09-04-2020,9386867.768812079
10-04-2020,9357289.77248425
11-04-2020,9227340.362771891
12-04-2020,10172177.625761775
13-04-2020,9341130.806766368
14-04-2020,9443184.566599911
15-04-2020,9570493.300964212
16-04-2020,8909506.628605664
17-04-2020,9026136.267467963
18-04-2020,8967920.707796695
19-04-2020,9849442.445589073
20-04-2020,9061392.653531436
21-04-2020,9254178.423991777
22-04-2020,8966501.110362783
23-04-2020,9252016.913093245
24-04-2020,9280753.736196566
25-04-2020,9076231.28157529
26-04-2020,10168795.036949094
27-04-2020,9307591.797416452
28-04-2020,9350489.564594341
29-04-2020,9287174.039396834
30-04-2020,9360327.486871839
01-05-2020,9488956.558910169
02-05-2020,9390004.742959548
03-05-2020,10154055.668665122
04-05-2020,9468158.89620091
05-05-2020,10054671.783410424
06-05-2020,10169981.084598694
07-05-2020,10577127.23195781
08-05-2020,10378762.331521705
09-05-2020,10302868.948938759
10-05-2020,10482568.498333354
11-05-2020,10154400.543090217
12-05-2020,10458236.822437096
13-05-2020,10285290.385786965
14-05-2020,10841483.363204028
15-05-2020,10778167.838006523
16-05-2020,10752270.209771022
17-05-2020,10732927.174760222
18-05-2020,10869741.021857826
19-05-2020,11046268.566840403
20-05-2020,10931636.949621422
21-05-2020,11234731.31550368
22-05-2020,10847161.752939675
23-05-2020,10834583.895554237
24-05-2020,10832819.42369523
25-05-2020,10826066.310950767
26-05-2020,11257310.58442183
27-05-2020,11000630.864554575
28-05-2020,11284727.069851125
29-05-2020,10961892.629918538
30-05-2020,11122459.728702996
31-05-2020,10767605.13661429
01-06-2020,11201934.219618386
02-06-2020,11546506.755244618
03-06-2020,11304566.403661335
04-06-2020,11538766.11437032
05-06-2020,11627979.267803326
06-06-2020,11606340.43186956
07-06-2020,10773926.180054674
08-06-2020,11906595.602883995
09-06-2020,11631659.635895655
10-06-2020,11619660.202719621
11-06-2020,11676654.684476743
12-06-2020,11805283.756515075
13-06-2020,11599341.704459887
14-06-2020,10916073.542462831
15-06-2020,11842701.65347708
16-06-2020,11680235.792809188
17-06-2020,11619660.202719621
18-06-2020,11483290.489806993
19-06-2020,11613339.159279237
20-06-2020,11341341.646918602
21-06-2020,10602977.765047863
22-06-2020,11770967.803435989
23-06-2020,11590923.379616302
24-06-2020,11484032.403271617
25-06-2020,11541026.885028737
26-06-2020,11546606.0150045
27-06-2020,11236612.181472452
28-06-2020,10689614.472628145
29-06-2020,11491872.303905796
30-06-2020,11666238.337989839
01-07-2020,11517769.932141297
02-07-2020,11635918.42819739
03-07-2020,11789124.79079719
04-07-2020,11656336.186217008
05-07-2020,10987708.132744042
06-07-2020,11877858.779780671
07-07-2020,11627500.103353804
08-07-2020,11361560.885418456
09-07-2020,11548025.612438412
10-07-2020,11576762.435541734
11-07-2020,11370820.383486547
12-07-2020,10819663.142100386
13-07-2020,11753389.240284193
14-07-2020,11574764.413898416
15-07-2020,11391138.881746283
16-07-2020,11619759.462479506
17-07-2020,11695652.84506245
18-07-2020,11561444.643048355
19-07-2020,10816823.947232563
20-07-2020,11218192.445096152
21-07-2020,11554346.655878799
22-07-2020,11417877.683206286
23-07-2020,11285667.50283551
24-07-2020,11430554.800351609
25-07-2020,11177456.188816797
26-07-2020,10482831.247348452
27-07-2020,11444815.004186057
28-07-2020,11409558.618122583
29-07-2020,11173197.396515064
30-07-2020,11400398.379814375
31-07-2020,11416458.085772377
01-08-2020,11441876.54955835
