Date,Mobility
15-02-2020,17789758.62411679
16-02-2020,17778074.530345216
17-02-2020,17889115.370105095
18-02-2020,18175501.514298446
19-02-2020,17766300.7828699
20-02-2020,17725385.48020443
21-02-2020,15749385.220299704
22-02-2020,17760469.223216604
23-02-2020,17988403.436854634
24-02-2020,18304158.148419425
25-02-2020,18263253.332986437
26-02-2020,17678717.784356907
27-02-2020,17883273.32321931
28-02-2020,17766379.94934116
29-02-2020,16877773.782918416
01-03-2020,18064381.50806731
02-03-2020,18029387.41875888
03-03-2020,18146349.471875798
04-03-2020,17403936.56746388
05-03-2020,17842278.85408258
06-03-2020,16515272.209034853
07-03-2020,17731238.0143227
08-03-2020,18298157.76859113
09-03-2020,17456303.19587579
10-03-2020,12493119.421822168
11-03-2020,16936188.495932423
12-03-2020,17637733.802452665
13-03-2020,17672796.570999872
14-03-2020,16901104.752920248
15-03-2020,17795463.312525034
16-03-2020,17918277.899760228
17-03-2020,17766321.757334877
18-03-2020,17403809.696218826
19-03-2020,17637665.1232139
20-03-2020,16760695.34578893
21-03-2020,16012450.881723708
22-03-2020,10844806.978355283
23-03-2020,12393720.726903921
24-03-2020,11370716.020410638
25-03-2020,10435156.953952814
26-03-2020,10581271.049492382
27-03-2020,10505076.453330912
28-03-2020,10587113.096378168
29-03-2020,11142877.216320205
30-03-2020,10926098.637008565
31-03-2020,10867794.55216327
01-04-2020,10663091.167590845
02-04-2020,10809205.263130415
03-04-2020,10961092.726316998
04-04-2020,10867646.706453247
05-04-2020,11417637.458748264
06-04-2020,11066370.685662346
07-04-2020,11621822.871107994
08-04-2020,11545628.274946522
09-04-2020,11691673.691247322
10-04-2020,11644916.341696061
11-04-2020,11481265.61826665
12-04-2020,12183212.512987023
13-04-2020,11843629.833672676
14-04-2020,11697732.2630819
15-04-2020,11908061.169591319
16-04-2020,11189095.619193798
17-04-2020,11218247.661616446
18-04-2020,11130643.68863848
19-04-2020,11926036.603222603
20-04-2020,11487234.536397489
21-04-2020,11545823.825430345
22-04-2020,11387877.790409181
23-04-2020,11463855.861621859
24-04-2020,11539765.253595768
25-04-2020,11545607.300481552
26-04-2020,12206570.213297684
27-04-2020,11709326.703149734
28-04-2020,11750310.685053978
29-04-2020,11615880.683285983
30-04-2020,11738616.10404992
01-05-2020,11808683.44913804
02-05-2020,11820504.901387153
03-05-2020,12335216.360186176
04-05-2020,12054360.328382222
05-05-2020,12638954.069018032
06-05-2020,12790910.211443387
07-05-2020,12744152.861892127
08-05-2020,13118201.171069724
09-05-2020,13001376.476430342
10-05-2020,12440415.153060269
11-05-2020,13381345.998964982
12-05-2020,13445708.655644856
13-05-2020,13328883.961005474
14-05-2020,13434082.753879566
15-05-2020,13603575.524194766
16-05-2020,13638706.971980736
17-05-2020,13142039.626051767
18-05-2020,13983613.725968173
19-05-2020,14141491.081750566
20-05-2020,14030439.754758202
21-05-2020,14164790.59005494
22-05-2020,14264147.336043248
23-05-2020,14141480.594518082
24-05-2020,13557071.917133607
25-05-2020,13907646.141987981
26-05-2020,14363720.60698035
27-05-2020,14351957.346737523
28-05-2020,14480534.814387245
29-05-2020,14480534.814387245
30-05-2020,14743531.79657248
31-05-2020,14463035.404038716
01-06-2020,14924935.672840528
02-06-2020,14749600.855639543
03-06-2020,14755442.90252533
04-06-2020,14720300.967506874
05-06-2020,14784594.94494798
06-06-2020,14825568.439619737
07-06-2020,14340447.828984803
08-06-2020,15112033.75028434
09-06-2020,15030282.311424647
10-06-2020,15112033.75028434
11-06-2020,15164633.146721387
12-06-2020,15234769.171048276
13-06-2020,15141254.471945755
14-06-2020,14562687.84144707
15-06-2020,15258295.691533932
16-06-2020,15351810.390636453
17-06-2020,15123797.010527167
18-06-2020,14942609.659207912
19-06-2020,15141254.471945755
20-06-2020,15141391.830423294
21-06-2020,14281937.706423199
22-06-2020,15229074.969872516
23-06-2020,15369415.697765063
24-06-2020,15188228.346445808
25-06-2020,15164849.67167018
26-06-2020,15240759.063644087
27-06-2020,14977751.594226368
28-06-2020,14463410.261930015
29-06-2020,15118171.488590173
30-06-2020,15614965.705764193
01-07-2020,15351810.390636453
02-07-2020,15363494.484408027
03-07-2020,15439403.876381932
04-07-2020,15538829.301609008
05-07-2020,14451863.52663598
06-07-2020,15334421.60845663
07-07-2020,15527293.053547459
08-07-2020,15264137.738419717
09-07-2020,15363494.484408027
10-07-2020,15386873.159183655
11-07-2020,14831568.81944803
12-07-2020,14586145.682693953
13-07-2020,15609044.492407154
14-07-2020,15533135.100433245
15-07-2020,15497993.165414788
16-07-2020,15550592.561851835
17-07-2020,15579744.604274483
18-07-2020,15731700.746699838
19-07-2020,14977661.940522628
20-07-2020,15924651.358261919
21-07-2020,15375189.065412082
22-07-2020,15527145.207837436
23-07-2020,15626501.953825744
24-07-2020,15784231.463898115
25-07-2020,15731632.067461068
26-07-2020,15077018.686510935
27-07-2020,15831067.979920631
28-07-2020,15848673.287049241
29-07-2020,15363494.484408027
30-07-2020,15375041.219702058
31-07-2020,15918740.632137366
01-08-2020,15790163.164487641
02-08-2020,16415719.912562722
03-08-2020,14393289.45622424
04-08-2020,15562434.988565916
05-08-2020,14983662.320350923
06-08-2020,15088861.113225017
07-08-2020,15135687.142015047
08-08-2020,15036261.71678797
09-08-2020,14901810.740555005
10-08-2020,15597487.269880634
11-08-2020,15609181.850884693
12-08-2020,14907557.377893193
13-08-2020,14340468.803449774
14-08-2020,15632481.359189067
15-08-2020,14743779.78321873
16-08-2020,15065530.143223185
17-08-2020,15387079.196899962
18-08-2020,15340321.847348701
19-08-2020,15042103.763673756
20-08-2020,15521430.032196702
21-08-2020,15515587.985310918
22-08-2020,13960647.126625156
23-08-2020,14410869.057499254
24-08-2020,15977388.113176502
25-08-2020,15825500.64998992
26-08-2020,15556571.967215162
27-08-2020,15539035.339325316
28-08-2020,15585724.009637808
29-08-2020,15293485.331326187
30-08-2020,16234569.77878478
31-08-2020,15480593.896002483
01-09-2020,15638402.57254611
02-09-2020,15439609.914098239
03-09-2020,15357710.629528522
04-09-2020,15503756.04582932
05-09-2020,15351789.416171482
06-09-2020,15112218.813535675
07-09-2020,15866268.106945371
08-09-2020,15854584.013173796
09-09-2020,15655860.0339647
10-09-2020,15556503.287976392
11-09-2020,15702548.704277191
12-09-2020,15468761.956520887
13-09-2020,15147360.748554135
14-09-2020,16181874.972800136
15-09-2020,16298768.34667829
16-09-2020,16041534.244907584
17-09-2020,15907035.56390082
18-09-2020,15977171.588227712
19-09-2020,16018076.403660703
20-09-2020,15749205.912892224
21-09-2020,16468192.437754717
22-09-2020,16462350.39086893
23-09-2020,16093927.603628326
24-09-2020,16164053.140722733
25-09-2020,16076243.130028458
26-09-2020,16152289.880479904
27-09-2020,15854267.34728878
28-09-2020,16707604.707448015
29-09-2020,16567480.504504256
30-09-2020,16152585.571899952
01-10-2020,15796348.607567273
02-10-2020,15538871.25053895
03-10-2020,15901478.721202597
04-10-2020,15574235.466350056
05-10-2020,16357505.481421167
06-10-2020,16328284.75975975
07-10-2020,16351515.588825356
08-10-2020,16439109.074570836
09-10-2020,16637685.208069915
10-10-2020,16567549.183743024
11-10-2020,16748842.43184236
12-10-2020,17082017.387284428
13-10-2020,17093711.968288485
14-10-2020,17134548.104482707
15-10-2020,17070254.1270416
16-10-2020,17280593.520783506
17-10-2020,16824635.4398037
18-10-2020,17227952.175416518
19-10-2020,17192920.86856677
20-10-2020,17298198.827912115
21-10-2020,17017586.051365785
22-10-2020,17058638.712508798
23-10-2020,17122932.6899499
24-10-2020,16830704.498870768
25-10-2020,17421140.28639236
26-10-2020,17485444.75106595
27-10-2020,17403693.312206257
28-10-2020,17041181.251090206
29-10-2020,17029486.67008615
30-10-2020,16924219.19797329
31-10-2020,16602759.79800025
01-11-2020,17631448.218436807
02-11-2020,17502902.212484542
03-11-2020,17958791.614225574
04-11-2020,16830567.140393227
05-11-2020,16924208.7107408
06-11-2020,16976739.42793908
07-11-2020,17245657.623481356
08-11-2020,17859382.43207484
09-11-2020,17526280.887260173
10-11-2020,17725073.54570804
11-11-2020,17660710.88902817
12-11-2020,18315382.461984582
13-11-2020,18578331.73939602
14-11-2020,15935996.787228277
15-11-2020,15988966.310167994
16-11-2020,16462561.159973865
17-11-2020,17438845.7344572
18-11-2020,17263352.584313706
19-11-2020,17368482.697949033
20-11-2020,17368414.018710263
21-11-2020,17380166.791720606
22-11-2020,17748499.925257467
23-11-2020,17783525.47626336
24-11-2020,17637421.867956277
25-11-2020,16895156.809254378
26-11-2020,17210684.50863789
27-11-2020,16696284.984335255
28-11-2020,16906682.570083443
29-11-2020,17409435.218155816
30-11-2020,16965155.475103732
01-12-2020,17345251.868883424
02-12-2020,17479454.858470142
03-12-2020,17555432.92968282
04-12-2020,17461849.55134153
05-12-2020,17590495.698230024
06-12-2020,17859472.08577858
07-12-2020,17602417.291415356
08-12-2020,16672837.630320856
09-12-2020,17444539.935632963
10-12-2020,17502912.69971703
11-12-2020,17339114.130577594
12-12-2020,17157778.933548313
13-12-2020,17695456.991690353
14-12-2020,17800687.246261902
15-12-2020,18092994.603812292
16-12-2020,17777308.571486272
17-12-2020,17672030.612140924
18-12-2020,17718787.961692184
19-12-2020,17835670.84833785
20-12-2020,18116341.816890467
21-12-2020,18098757.484226823
22-12-2020,17894201.945364423
23-12-2020,17882507.364360366
24-12-2020,17999469.417477287
25-12-2020,17724582.303804174
26-12-2020,17373949.886943515
27-12-2020,17917549.158442598
28-12-2020,18215650.858104978
29-12-2020,18011163.998481344
30-12-2020,17578515.913038403
31-12-2020,18139672.786892295
