Date,Mobility
15-02-2020,15504223.197592583
16-02-2020,15523152.506744197
17-02-2020,15711849.36282637
18-02-2020,15756234.426563086
19-02-2020,15367060.981972028
20-02-2020,15644527.965527635
21-02-2020,14162087.37008614
22-02-2020,15334455.650662027
23-02-2020,15522720.270696245
24-02-2020,15889821.85382119
25-02-2020,15699026.037912088
26-02-2020,15341414.332143463
27-02-2020,15607724.71456377
28-02-2020,15559332.62641665
29-02-2020,14752998.78677455
01-03-2020,16077233.776611304
02-03-2020,15960285.803434422
03-03-2020,15828606.440759787
04-03-2020,15050259.551577672
05-03-2020,15279334.446986161
06-03-2020,14853548.6466747
07-03-2020,15561863.82229153
08-03-2020,16009912.379312573
09-03-2020,14588928.537736963
10-03-2020,10704990.349546291
11-03-2020,14545816.63244051
12-03-2020,15539982.856068878
13-03-2020,15573211.318670297
14-03-2020,14909102.08639851
15-03-2020,15388089.250950575
16-03-2020,15279346.221837956
17-03-2020,15177320.53340229
18-03-2020,14888696.948711378
19-03-2020,15553861.548322525
20-03-2020,14772563.002069373
21-03-2020,13987066.536162358
22-03-2020,10181582.796702128
23-03-2020,11224355.553424668
24-03-2020,10272043.197658133
25-03-2020,9316346.948772611
26-03-2020,9303091.387810377
27-03-2020,9260996.179144057
28-03-2020,9417940.401160328
29-03-2020,10339341.045253279
30-03-2020,9683207.191093065
31-03-2020,9649355.597200237
01-04-2020,9423423.25410625
02-04-2020,9514292.341406615
03-04-2020,9775552.106928952
04-04-2020,9672903.287201872
05-04-2020,10659094.132718671
06-04-2020,9679632.402730616
07-04-2020,10058934.179478427
08-04-2020,9838675.584573822
09-04-2020,10014740.010985173
10-04-2020,10066897.782738205
11-04-2020,10003583.409849873
12-04-2020,10970844.946215058
13-04-2020,10263176.451593228
14-04-2020,10059557.310769841
15-04-2020,10173783.19282838
16-04-2020,9407636.497269135
17-04-2020,9483774.19507175
18-04-2020,9424034.610545866
19-04-2020,10454610.519799383
20-04-2020,9602007.101540688
21-04-2020,9529444.192100523
22-04-2020,9446347.812816469
23-04-2020,9540791.688479288
24-04-2020,9654164.87329372
25-04-2020,9461270.097557683
26-04-2020,10504669.331725484
27-04-2020,9692876.188841054
28-04-2020,9620313.279400889
29-04-2020,9561196.826166421
30-04-2020,9709083.406874323
01-05-2020,9761241.178627357
02-05-2020,9745886.657838192
03-05-2020,10696940.976170106
04-05-2020,10640367.493662313
05-05-2020,10572002.503876012
06-05-2020,10636792.705299862
07-05-2020,10742393.18209798
08-05-2020,10946012.322921367
09-05-2020,10834738.097933866
10-05-2020,10924349.147799613
11-05-2020,11086749.326904371
12-05-2020,11047847.116113575
13-05-2020,10864200.87692937
14-05-2020,11140192.031949459
15-05-2020,11236734.867439209
16-05-2020,11130511.259349676
17-05-2020,11089066.0778322
18-05-2020,11395778.049282413
19-05-2020,11406934.650417713
20-05-2020,11338569.660631413
21-05-2020,11662520.667750672
22-05-2020,11818179.956474885
23-05-2020,11642115.530063536
24-05-2020,11441004.035411442
25-05-2020,11550825.981567014
26-05-2020,11858799.336605692
27-05-2020,11738467.470309822
28-05-2020,11810407.248458574
29-05-2020,11740134.194088802
30-05-2020,12008352.641092576
31-05-2020,11444578.823773893
01-06-2020,12305181.169847751
02-06-2020,11884255.091190793
03-06-2020,11841968.987281008
04-06-2020,11937888.691479344
05-06-2020,11870146.832984457
06-06-2020,12023084.03059033
07-06-2020,11631799.851320546
08-06-2020,12279102.283971233
09-06-2020,12010260.705676045
10-06-2020,11860275.16514121
11-06-2020,12280578.112506753
12-06-2020,12475571.84806972
13-06-2020,12345991.445222018
14-06-2020,11742883.181064583
15-06-2020,12477479.91265319
16-06-2020,12288159.925279602
17-06-2020,12038247.65613603
18-06-2020,12158147.286383951
19-06-2020,12327062.136070402
20-06-2020,12222937.487807803
21-06-2020,11628225.062958095
22-06-2020,12620315.876463125
23-06-2020,12319721.66410204
24-06-2020,12281010.348554704
25-06-2020,12393760.402077723
26-06-2020,12478955.741188707
27-06-2020,12390185.613715272
28-06-2020,11741216.457285602
29-06-2020,12293642.778225524
30-06-2020,12527347.829335826
01-07-2020,12360531.939476306
02-07-2020,12478955.741188707
03-07-2020,12571923.788316006
04-07-2020,12757045.856035726
05-07-2020,12082620.945020955
06-07-2020,12822268.293507528
07-07-2020,12527347.829335826
08-07-2020,12286684.096744085
09-07-2020,12438145.46581444
10-07-2020,12445918.173830755
11-07-2020,12418363.45941872
12-07-2020,12001000.39427242
13-07-2020,12679432.329697592
14-07-2020,12425322.14090016
15-07-2020,12407015.963039957
16-07-2020,12564151.080299692
17-07-2020,12631040.241550473
18-07-2020,12751372.107846346
19-07-2020,11912230.266798984
20-07-2020,12559100.463401724
21-07-2020,12345800.549978554
22-07-2020,12223992.855147166
23-07-2020,12555525.675039273
24-07-2020,12716235.580661459
25-07-2020,12705511.21557411
26-07-2020,12226932.73736641
27-07-2020,12922195.022116262
28-07-2020,12794090.447804082
29-07-2020,12649778.655458627
30-07-2020,12706987.044109628
31-07-2020,12939648.50273236
01-08-2020,13083960.295077816
02-08-2020,13455045.35290957
03-08-2020,11636504.002286972
04-08-2020,12443437.423516896
05-08-2020,12393569.50683426
06-08-2020,12697115.376266384
07-08-2020,12785885.503739819
08-08-2020,12678809.198406182
09-08-2020,12311504.945185982
10-08-2020,12851107.941211618
11-08-2020,12806722.877474902
12-08-2020,12305002.049456082
13-08-2020,12393137.27078631
14-08-2020,13051152.293672554
15-08-2020,11159362.68190556
16-08-2020,12287525.019136395
17-08-2020,13117850.559679875
18-08-2020,12937779.108858123
19-08-2020,12611920.0371554
20-08-2020,12926622.507722821
21-08-2020,13221542.971894525
22-08-2020,11394964.022747539
23-08-2020,12117134.340914426
24-08-2020,13579586.913711097
25-08-2020,13229124.784667375
26-08-2020,12956708.41800974
27-08-2020,13117418.323631926
28-08-2020,13367953.724066911
29-08-2020,12833845.355838986
30-08-2020,14260082.484407818
31-08-2020,13045478.545483174
01-09-2020,13080615.072668059
02-09-2020,12915898.14263547
03-09-2020,12976681.319648921
04-09-2020,13232890.468273288
05-09-2020,12921139.654776903
06-09-2020,13053239.478647692
07-09-2020,13272034.019868575
08-09-2020,13184739.720930658
09-09-2020,12830702.803524485
10-09-2020,13004668.270108905
11-09-2020,13220067.143359005
12-09-2020,12964481.126026051
13-09-2020,12938390.46529774
14-09-2020,13486809.761827262
15-09-2020,13319993.871967742
16-09-2020,13090486.740511304
17-09-2020,13220067.143359005
18-09-2020,13589026.345506392
19-09-2020,13379301.220445674
20-09-2020,13351734.731181845
21-09-2020,13733770.373899795
22-09-2020,13277707.768057957
23-09-2020,13026942.801670277
24-09-2020,13384974.968635056
25-09-2020,13463211.6262646
26-09-2020,13427884.203836255
27-09-2020,13301866.814499209
28-09-2020,13752267.447003461
29-09-2020,13453772.194469307
30-09-2020,13168532.502897387
01-10-2020,13060209.934980923
02-10-2020,12886026.677295607
03-10-2020,13225549.996304924
04-10-2020,13134669.134152764
05-10-2020,13625880.042031283
06-10-2020,13459064.152171765
07-10-2020,13383117.349612612
08-10-2020,13610716.416485582
09-10-2020,13870500.3534724
10-10-2020,13576203.02059211
11-10-2020,13590922.635238066
12-10-2020,14061728.405429455
13-10-2020,13874507.377882801
14-10-2020,13687286.350336146
15-10-2020,14057721.381019054
16-10-2020,14430687.60757684
17-10-2020,13813482.860064862
18-10-2020,13890893.71630774
19-10-2020,14111787.217355551
20-10-2020,13898487.303932386
21-10-2020,13815390.92464833
22-10-2020,14063204.233964972
23-10-2020,14208139.157601839
24-10-2020,13602091.011225164
25-10-2020,14048893.305663375
26-10-2020,14274837.423609162
27-10-2020,14091191.18442496
28-10-2020,13835605.167092001
29-10-2020,14083609.371652108
30-10-2020,14125042.778317785
31-10-2020,13580210.04500251
01-11-2020,14317302.647910614
02-11-2020,14341726.584859943
03-11-2020,14556934.56286658
04-11-2020,13549703.67351944
05-11-2020,13987257.43140582
06-11-2020,14176577.418779405
07-11-2020,14118936.794080453
08-11-2020,14600443.379655601
09-11-2020,14350975.121411774
10-11-2020,14484562.548669877
11-11-2020,14457007.834257843
12-11-2020,15217048.545579758
13-11-2020,15348307.447058234
14-11-2020,13267388.74316112
15-11-2020,13164525.478486987
16-11-2020,13954472.979704147
17-11-2020,14238034.172645293
18-11-2020,14045330.29215272
19-11-2020,14263680.822473858
20-11-2020,14495910.045048643
21-11-2020,14269354.57066324
22-11-2020,14219283.983885346
23-11-2020,14620248.935754912
24-11-2020,14232983.555747323
25-11-2020,13708555.96011918
26-11-2020,13913650.929478087
27-11-2020,14053103.000169033
28-11-2020,14034173.691017417
29-11-2020,14158068.570823943
30-11-2020,13795429.797860943
01-12-2020,14132433.695847172
02-12-2020,14310597.082085457
03-12-2020,14705012.038817948
