Date,Mobility
15-02-2020,19498394.132051636
16-02-2020,19355934.313001696
17-02-2020,20082816.31651689
18-02-2020,19700657.96310581
19-02-2020,19244107.508141663
20-02-2020,19585430.31368725
21-02-2020,17937655.818528652
22-02-2020,19648635.17025001
23-02-2020,19813464.297997214
24-02-2020,20463517.834835723
25-02-2020,19723504.576863952
26-02-2020,19445391.80916446
27-02-2020,19640853.951101575
28-02-2020,19963218.16182157
29-02-2020,19863543.08138674
01-03-2020,20037610.263374634
02-03-2020,20496094.85849191
03-03-2020,19897084.584477827
04-03-2020,19377816.44732494
05-03-2020,19275720.052362952
06-03-2020,18410271.430013694
07-03-2020,20039067.098466888
08-03-2020,20308428.986299705
09-03-2020,20563187.733987223
10-03-2020,14926529.422624178
11-03-2020,18448178.257098205
12-03-2020,19704058.80766434
13-03-2020,19865487.090853013
14-03-2020,19190135.524536252
15-03-2020,19856736.210986346
16-03-2020,20241315.878924582
17-03-2020,19413301.959882293
18-03-2020,19216875.338510282
19-03-2020,19827560.03188869
20-03-2020,19219798.878007933
21-03-2020,18672811.396849643
22-03-2020,13069237.515396623
23-03-2020,17787409.59904694
24-03-2020,12689008.120855333
25-03-2020,11859537.366720794
26-03-2020,11975257.371796709
27-03-2020,12196489.666989617
28-03-2020,12293241.207926799
29-03-2020,13235523.478236081
30-03-2020,12485287.454708908
31-03-2020,12204261.016824909
01-04-2020,11915940.534166496
02-04-2020,12166826.313517937
03-04-2020,12624356.29851346
04-04-2020,12652552.947579741
05-04-2020,13618661.361678543
06-04-2020,12794520.410972329
07-04-2020,13256908.075618632
08-04-2020,13192733.558337636
09-04-2020,12844609.063674992
10-04-2020,13885104.398043515
11-04-2020,13054166.939503578
12-04-2020,14054309.212350821
13-04-2020,14249751.122408124
14-04-2020,13447020.182247607
15-04-2020,13856897.879664095
16-04-2020,12467790.876258908
17-04-2020,12773622.987963798
18-04-2020,12814950.891486652
19-04-2020,13812179.494149385
20-04-2020,13062420.775683088
21-04-2020,12876689.043644018
22-04-2020,12863080.484126562
23-04-2020,12877668.573675392
24-04-2020,13150923.6617241
25-04-2020,13043954.53651485
26-04-2020,14024651.040162481
27-04-2020,13337132.698824048
28-04-2020,13209260.969322935
29-04-2020,13170369.43092371
30-04-2020,13231143.103646178
01-05-2020,13394515.396301126
