Date,Mobility
15-02-2020,31769735.195597917
16-02-2020,31635830.79415659
17-02-2020,31553626.149089966
18-02-2020,31449675.395019617
19-02-2020,31570592.467145413
20-02-2020,32238827.061519794
21-02-2020,29929991.943928976
22-02-2020,31414941.956700362
23-02-2020,31023274.94489682
24-02-2020,31427929.28601589
25-02-2020,30026221.77025594
26-02-2020,30946099.65166589
27-02-2020,31536108.589713562
28-02-2020,31503765.046868447
29-02-2020,31786701.513653353
01-03-2020,31728632.873064604
02-03-2020,31376479.090528592
03-03-2020,31155590.253072366
04-03-2020,31482018.937864725
05-03-2020,32247835.4020954
06-03-2020,31380458.07926851
07-03-2020,31782722.524913434
08-03-2020,33524397.29610223
09-03-2020,32751725.337033644
10-03-2020,24014814.507945135
11-03-2020,29325406.58329999
12-03-2020,31539299.28739607
13-03-2020,31502175.953602675
14-03-2020,28971099.9550263
15-03-2020,31611694.789678726
16-03-2020,31962259.47894895
17-03-2020,31838952.51134901
18-03-2020,31942903.265419368
19-03-2020,32193496.18935916
20-03-2020,31670314.67158844
21-03-2020,30718342.80822079
22-03-2020,22093340.710682478
23-03-2020,27256804.005544037
24-03-2020,24527386.080723524
25-03-2020,22574132.493087668
26-03-2020,22450825.52548773
27-03-2020,22117778.39559391
28-03-2020,22498296.732235104
29-03-2020,23224048.72587728
30-03-2020,23071339.352227334
31-03-2020,23023868.145479966
01-04-2020,22777254.21028009
02-04-2020,22580501.37730173
03-04-2020,23233358.746886443
04-04-2020,23496939.000141762
05-04-2020,23937364.631524898
06-04-2020,23270232.519792438
07-04-2020,24728419.582875367
08-04-2020,24468818.318359967
09-04-2020,24598494.170173965
10-04-2020,24122783.85915062
11-04-2020,24180852.499739375
12-04-2020,24887248.27985197
13-04-2020,24591875.725072503
14-04-2020,24163886.18168393
15-04-2020,24738767.455829345
16-04-2020,22809348.192237798
17-04-2020,22964749.14179544
18-04-2020,23066310.00039165
19-04-2020,23303613.91458236
20-04-2020,22945392.92826586
21-04-2020,22897921.721518483
22-04-2020,23018838.793644276
23-04-2020,22930265.264363594
24-04-2020,23066310.00039165
25-04-2020,22943003.032791715
26-04-2020,23342326.341641534
27-04-2020,22759237.52912888
28-04-2020,23066310.00039165
29-04-2020,23051182.336489387
30-04-2020,23317152.48521885
01-05-2020,22876175.612514753
02-05-2020,23745142.02860742
03-05-2020,23963089.729268547
04-05-2020,23652589.51058681
05-05-2020,23959661.98184959
06-05-2020,23909800.879628066
07-05-2020,24000764.3043829
08-05-2020,24346549.202704843
09-05-2020,24119291.481034555
10-05-2020,24302505.743376426
11-05-2020,24558679.26047287
12-05-2020,24121681.376508694
13-05-2020,24448359.622188453
14-05-2020,24679596.332598664
15-05-2020,24958553.81064365
16-05-2020,25085839.76698351
17-05-2020,25373004.783395734
18-05-2020,25458150.565257464
19-05-2020,25793587.590625428
20-05-2020,24999406.572289564
21-05-2020,26693058.895410016
22-05-2020,26057167.843880743
23-05-2020,26158728.702476956
24-05-2020,26791678.617211126
25-05-2020,25234083.541269675
26-05-2020,26353892.44218954
27-05-2020,26392604.86924871
28-05-2020,27019737.141089782
