Date,Mobility
15-02-2020,22837340.42471012
16-02-2020,22550654.87513926
17-02-2020,22638682.039065935
18-02-2020,22887958.369173627
19-02-2020,22864857.333201397
20-02-2020,24031814.522038992
21-02-2020,23855425.64924552
22-02-2020,23405732.063580383
23-02-2020,22697366.81501705
24-02-2020,22374600.54728591
25-02-2020,20722327.140247487
26-02-2020,22360828.23453317
27-02-2020,23300845.215684816
28-02-2020,23565691.62101532
29-02-2020,23015985.14559823
01-03-2020,22978843.861504164
02-03-2020,22872628.51230569
03-03-2020,22884575.345574155
04-03-2020,22798373.66113177
05-03-2020,24063747.303049315
06-03-2020,24083465.315422077
07-03-2020,24232002.734784145
08-03-2020,24653950.369145717
09-03-2020,21510357.068866562
10-03-2020,15746459.493724672
11-03-2020,20173586.904178955
12-03-2020,22951823.93119427
13-03-2020,22991555.608323112
14-03-2020,19399290.395755813
15-03-2020,23393020.316761438
16-03-2020,23127113.345497135
17-03-2020,22818884.30406923
18-03-2020,22623876.877393607
19-03-2020,22866414.87731658
20-03-2020,22491702.163819045
21-03-2020,21120140.88971725
22-03-2020,15389465.704331772
23-03-2020,18382925.148576856
24-03-2020,16260112.967995703
25-03-2020,15221439.315409226
26-03-2020,15541615.190105598
27-03-2020,15118606.989810226
28-03-2020,15336218.474276694
29-03-2020,15793520.805804864
30-03-2020,15371534.278886482
31-03-2020,15506299.385495806
01-04-2020,15407882.932415854
02-04-2020,15248191.31035002
03-04-2020,15660810.221492112
04-04-2020,15847521.773867834
05-04-2020,16063843.649588212
06-04-2020,15331802.601757644
07-04-2020,15716111.97384376
08-04-2020,15667816.487045921
09-04-2020,16023308.166352082
10-04-2020,15654568.869488778
11-04-2020,15706515.31525518
12-04-2020,16201723.844427908
13-04-2020,15807522.161369897
14-04-2020,15776354.29391006
15-04-2020,16228972.817550085
16-04-2020,15815588.992857514
17-04-2020,15603950.925025277
18-04-2020,15511775.823948655
19-04-2020,15640070.535742361
20-04-2020,15128499.30078212
21-04-2020,15166405.498426676
22-04-2020,15128499.30078212
23-04-2020,15566044.727380725
24-04-2020,15486581.373123044
25-04-2020,15379601.110374095
26-04-2020,15304056.650454085
27-04-2020,15310527.0452697
28-04-2020,15388164.920043092
29-04-2020,15482433.435973099
30-04-2020,15764703.113024913
01-05-2020,15157841.688757677
02-05-2020,15136298.196900634
03-05-2020,15939735.767501269
04-05-2020,15574876.472418819
05-05-2020,15617198.542582419
06-05-2020,15676151.253902633
07-05-2020,15843373.836717885
08-05-2020,15946206.162316885
09-05-2020,15927253.063494606
10-05-2020,15983883.317149155
11-05-2020,15985937.839445721
12-05-2020,15871158.680578256
13-05-2020,15925695.51937942
14-05-2020,16511778.365340097
15-05-2020,16539295.273831373
16-05-2020,16497241.139036866
17-05-2020,16640073.077133803
18-05-2020,16415952.305294907
19-05-2020,16644717.992465137
20-05-2020,16245871.394075794
21-05-2020,15991911.256079955
22-05-2020,16663939.02665651
23-05-2020,16730422.698726144
24-05-2020,16952717.991080754
25-05-2020,16030850.30264409
26-05-2020,16496448.508472163
27-05-2020,16697697.287151115
28-05-2020,17317538.393606395
29-05-2020,17351028.718731903
30-05-2020,17250289.80798628
31-05-2020,17363779.35810766
01-06-2020,17202759.23473893
02-06-2020,17730922.218298968
03-06-2020,17854533.12220453
04-06-2020,18256762.744193338
05-06-2020,18093688.09852804
06-06-2020,18252614.80704339
07-06-2020,18244318.932743493
08-06-2020,17921781.707824644
09-06-2020,17940734.80664692
10-06-2020,17965929.257472526
11-06-2020,18717677.14213327
12-06-2020,18430991.592562404
13-06-2020,17879459.63766104
14-06-2020,18258856.15904672
15-06-2020,17519552.08583583
16-06-2020,18054721.334949683
17-06-2020,17974493.067141525
18-06-2020,18510454.946820084
19-06-2020,18034735.387207825
20-06-2020,18540065.270164736
21-06-2020,17627592.91451858
22-06-2020,17814533.509706594
23-06-2020,18333340.05303293
24-06-2020,18237017.01480636
25-06-2020,17860506.53883876
26-06-2020,18542387.7278304
27-06-2020,18400091.660471663
28-06-2020,18490212.239251714
29-06-2020,18389702.371318385
30-06-2020,18431756.50611289
01-07-2020,18429434.04844722
02-07-2020,18952416.245937727
03-07-2020,18680535.858039193
04-07-2020,18755851.27514692
05-07-2020,18634333.78609474
06-07-2020,18040708.803842057
07-07-2020,18573287.659921147
08-07-2020,18501891.137151085
09-07-2020,18060722.46859814
10-07-2020,17897379.88756374
11-07-2020,18264293.70494276
12-07-2020,18319098.479113024
13-07-2020,18143541.12944106
14-07-2020,18080440.480970897
15-07-2020,18631207.52232178
16-07-2020,18951383.39701815
17-07-2020,18777919.46219957
18-07-2020,18936846.17071492
19-07-2020,17857151.232253514
20-07-2020,17941259.50184253
21-07-2020,17954239.18403057
22-07-2020,18551744.168064103
23-07-2020,18016306.983581156
24-07-2020,18289220.22039927
25-07-2020,18450737.321949385
26-07-2020,17977111.177190512
27-07-2020,18203783.44950736
28-07-2020,18100951.123908356
29-07-2020,18512012.490935266
30-07-2020,18515395.514534734
31-07-2020,18289220.22039927
01-08-2020,17887755.51196094
02-08-2020,18503716.616635367
03-08-2020,16667026.39787266
04-08-2020,17262733.61943613
05-08-2020,17722358.40862997
06-08-2020,18090064.856573693
07-08-2020,18394910.874402132
08-08-2020,18474374.228659812
09-08-2020,18304829.18817889
10-08-2020,18634065.85072564
11-08-2020,18579529.011924475
12-08-2020,18074467.064336665
13-08-2020,19224564.569205362
14-08-2020,19128738.509160176
15-08-2020,18441380.881715685
16-08-2020,18731985.325624213
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,19728325.7325045
12-09-2020,19647036.898762535
13-09-2020,19544740.443901733
14-09-2020,19925923.552214883
15-09-2020,20049266.52075135
16-09-2020,19428660.50074559
17-09-2020,19281680.625498705
18-09-2020,20467858.848527674
19-09-2020,20541348.78615112
20-09-2020,19960474.443274196
21-09-2020,19939427.929598536
22-09-2020,20023039.221006166
23-09-2020,20375147.876712855
24-09-2020,21057056.782718714
25-09-2020,20786733.93893537
26-09-2020,20677928.196702138
27-09-2020,20485779.098430373
28-09-2020,20749592.654841296
29-09-2020,21053405.823750153
30-09-2020,20264784.59036444
01-10-2020,19514862.18518798
02-10-2020,19056767.223095108
03-10-2020,19238565.9247704
04-10-2020,19543411.94259884
05-10-2020,19509385.746735133
06-10-2020,20112864.147402897
07-10-2020,19546794.966198303
08-10-2020,21191029.258763343
09-10-2020,21373057.00325092
10-10-2020,20867995.055663105
11-10-2020,21054706.60803883
12-10-2020,21155445.518784452
13-10-2020,21478211.786515582
14-10-2020,21658681.986887984
15-10-2020,22940418.334593043
16-10-2020,23003251.047694106
17-10-2020,21833703.465821747
18-10-2020,22148173.85925298
19-10-2020,22361866.44938179
20-10-2020,22814981.951203197
21-10-2020,22939357.768659245
22-10-2020,23436620.82012854
23-10-2020,23071236.829850484
24-10-2020,21005551.88110526
25-10-2020,17897056.5181662
26-10-2020,18320025.82590476
27-10-2020,19783560.875285115
28-10-2020,20748772.30726237
29-10-2020,22023770.324782714
30-10-2020,21217217.665951714
31-10-2020,22044548.90308928
01-11-2020,21623366.18227819
02-11-2020,21686198.895379256
03-11-2020,22174630.201810457
04-11-2020,21979622.77513483
05-11-2020,22628806.26956567
06-11-2020,22427557.490886718
07-11-2020,22364724.777785648
08-11-2020,22030011.67678605
09-11-2020,22132308.131646853
10-11-2020,22245261.81103004
11-11-2020,22581275.696318317
12-11-2020,24307563.73617579
13-11-2020,23565937.20529924
14-11-2020,20516880.356319185
15-11-2020,20190502.02217629
16-11-2020,21425204.774815388
17-11-2020,22244469.180465337
18-11-2020,21142438.119582187
19-11-2020,20954169.02309127
20-11-2020,19122687.307412323
21-11-2020,18946376.219732467
22-11-2020,20875241.539571796
23-11-2020,21706184.843121108
24-11-2020,22495838.92542641
25-11-2020,21976239.751535363
26-11-2020,22401073.43131502
27-11-2020,22249945.61891818
28-11-2020,22566738.470015086
29-11-2020,22418468.98602211
30-11-2020,22322871.96878921
01-12-2020,22473502.803004667
02-12-2020,22339005.631764434
03-12-2020,22775786.144812554
04-12-2020,22627248.725450482
05-12-2020,22445220.980962906
06-12-2020,22364200.082590047
07-12-2020,21926386.720622346
08-12-2020,21896011.483727206
09-12-2020,22384710.725527506
10-12-2020,23345238.349616617
11-12-2020,23421050.74490573
12-12-2020,22637370.079234667
13-12-2020,22590900.071921114
14-12-2020,22752149.23810213
15-12-2020,22816807.43068748
16-12-2020,22720216.45709181
17-12-2020,23444447.433261275
18-12-2020,23272541.04255788
19-12-2020,23258003.81625465
20-12-2020,23254620.79265518
21-12-2020,23128419.495714854
22-12-2020,23048956.14145718
23-12-2020,22956781.040380552
24-12-2020,23787992.279298972
25-12-2020,24202370.060354315
26-12-2020,23675535.578097172
27-12-2020,23208915.698892113
28-12-2020,23357185.182885084
29-12-2020,23587508.4141705
30-12-2020,23679951.450616222
31-12-2020,25955945.96589078
