Date,Mobility
15-02-2020,42012168.170766376
16-02-2020,41356609.98707805
17-02-2020,41547453.34987648
18-02-2020,41385730.448618345
19-02-2020,41735829.00455673
20-02-2020,42465748.704882294
21-02-2020,39388018.96425706
22-02-2020,41015178.009795435
23-02-2020,41421651.90760473
24-02-2020,41900019.61393306
25-02-2020,39939493.042859375
26-02-2020,41527050.35753822
27-02-2020,41807722.81307577
28-02-2020,42245784.88054356
29-02-2020,42250118.16987144
01-03-2020,41947126.250239685
02-03-2020,41691240.96691456
03-03-2020,41834977.69340637
04-03-2020,41455156.54901919
05-03-2020,42807180.6821649
06-03-2020,41648467.619935825
07-03-2020,42120034.32881807
08-03-2020,43712476.16918704
09-03-2020,41488601.98994942
10-03-2020,28913749.912251953
11-03-2020,36307270.279151395
12-03-2020,41161484.22549797
13-03-2020,41276100.49044947
14-03-2020,38125221.79694195
15-03-2020,41439638.082371056
16-03-2020,42219132.12712145
17-03-2020,41819459.22675824
18-03-2020,41841778.69085246
19-03-2020,41579041.51953497
20-03-2020,41372679.6900884
21-03-2020,39872534.650576726
22-03-2020,28517104.266307127
23-03-2020,33752394.50140412
24-03-2020,30469566.38563352
25-03-2020,28511507.52267802
26-03-2020,28385706.080406275
27-03-2020,28172543.25351362
28-03-2020,28612470.9021911
29-03-2020,29909383.147767123
30-03-2020,28852888.60941437
31-03-2020,29198653.87602486
01-04-2020,29252561.509777576
02-04-2020,28715952.88036864
03-04-2020,29418617.700363602
04-04-2020,29858545.34904109
05-04-2020,30933026.06216018
06-04-2020,29259362.507223655
07-04-2020,30928031.445439562
08-04-2020,30658493.276676003
09-04-2020,30934832.44288565
10-04-2020,30512840.07842822
11-04-2020,30571081.00150883
12-04-2020,31890312.711179063
13-04-2020,30840619.170272395
14-04-2020,30506039.08098214
15-04-2020,31177115.731318608
16-04-2020,29807105.42340657
17-04-2020,29874615.05205146
18-04-2020,29789119.248640247
19-04-2020,30059920.87170502
20-04-2020,29445821.690147944
21-04-2020,29600743.59396
22-04-2020,29454539.159349993
23-04-2020,29652183.519594517
24-04-2020,29896934.516145673
25-04-2020,29825040.707626633
26-04-2020,30686358.593853053
27-04-2020,30018351.778543267
28-04-2020,29957643.14734447
29-04-2020,30217912.610543758
30-04-2020,30377167.803683702
01-05-2020,29730878.32555964
02-05-2020,30841882.6245736
03-05-2020,31597852.951412793
04-05-2020,30862336.50745812
05-05-2020,30992471.23905776
06-05-2020,31205634.065950416
07-05-2020,30657891.149767507
08-05-2020,31726724.228711225
09-05-2020,31050712.162138373
10-05-2020,31483236.68646128
11-05-2020,31450385.062501572
12-05-2020,31212435.06339651
13-05-2020,31526612.160348505
14-05-2020,32070021.787203528
15-05-2020,32429389.048706193
16-05-2020,32379814.704281375
17-05-2020,33106664.56958026
18-05-2020,32692126.22002367
19-05-2020,33091799.120386884
20-05-2020,31508625.985582184
21-05-2020,33682315.38354853
22-05-2020,33635208.7472419
23-05-2020,33394791.04001864
24-05-2020,34150761.36685783
25-05-2020,32009915.282913223
26-05-2020,33437564.386997376
27-05-2020,33596819.58013732
28-05-2020,34593809.74110826
29-05-2020,34445688.83474229
30-05-2020,34479142.58561049
31-05-2020,34507660.9202423
01-06-2020,33978506.3057342
02-06-2020,34863347.909871824
03-06-2020,35130418.370517194
04-06-2020,35429077.00082107
05-06-2020,35997273.7998885
06-06-2020,35947699.45546368
07-06-2020,36407478.8601172
08-06-2020,36123075.242160246
09-06-2020,35831217.60930246
10-06-2020,36199302.34000718
11-06-2020,36958342.50187305
12-06-2020,36446521.04467652
13-06-2020,35802097.147762164
14-06-2020,36748910.837399796
15-06-2020,35712268.05502306
16-06-2020,36812740.19417153
17-06-2020,36450905.22455068
18-06-2020,37648007.45388434
19-06-2020,37571780.35603741
20-06-2020,37731035.549177356
21-06-2020,37128731.981786974
22-06-2020,38344473.40334171
23-06-2020,38063800.947804175
24-06-2020,38090453.70122628
25-06-2020,37827716.529908806
26-06-2020,38144361.33497899
27-06-2020,37906411.33587393
28-06-2020,38150560.205516584
29-06-2020,38115240.87343869
30-06-2020,37926865.21875844
01-07-2020,37820915.532462716
02-07-2020,38342005.695223525
03-07-2020,38211870.963623874
04-07-2020,38490075.71104323
05-07-2020,38622076.02385258
06-07-2020,37118199.82192149
07-07-2020,38205069.9661778
08-07-2020,37908276.91708363
09-07-2020,37169639.74755601
10-07-2020,37953467.08163429
11-07-2020,37690729.91031681
12-07-2020,38251523.58502967
13-07-2020,36909370.28435672
14-07-2020,37416858.45222535
15-07-2020,37598433.10945953
16-07-2020,38227338.53972574
17-07-2020,38234139.53717183
18-07-2020,38483223.82305088
19-07-2020,37999920.70048616
20-07-2020,38151111.44187882
21-07-2020,36704874.03611985
22-07-2020,38173430.90597303
23-07-2020,36673285.86646136
24-07-2020,36931638.85790468
25-07-2020,36763114.95920046
26-07-2020,36899448.56133769
27-07-2020,36567938.307074115
28-07-2020,36246960.21267603
29-07-2020,36468840.50877074
30-07-2020,37158454.570235774
31-07-2020,37266269.837741196
01-08-2020,35400558.66618925
02-08-2020,38390927.02219358
03-08-2020,34859667.637998685
04-08-2020,35833685.317420654
05-08-2020,34851611.496189356
06-08-2020,35934097.460571505
07-08-2020,36708656.08908551
08-08-2020,36585322.35493196
09-08-2020,37287385.048018426
10-08-2020,37494951.13128199
11-08-2020,37034569.59971998
12-08-2020,35976870.80755025
13-08-2020,37330760.52190566
14-08-2020,37762021.59192736
15-08-2020,35326248.04009829
16-08-2020,37833262.38299165
17-08-2020,37494951.13128199
18-08-2020,36318302.78483285
19-08-2020,37481349.13638982
20-08-2020,36293464.72207417
21-08-2020,36248825.79388574
22-08-2020,36293464.72207417
23-08-2020,37372880.851429634
24-08-2020,37714914.955620736
25-08-2020,38146176.02564243
26-08-2020,37582312.51590289
27-08-2020,37182639.61553969
28-08-2020,38359338.8525351
29-08-2020,37441043.497529276
30-08-2020,37451575.65739476
31-08-2020,38009240.296596706
01-09-2020,37447844.49497536
02-09-2020,38377325.027301416
03-09-2020,38444834.6559463
04-09-2020,38613358.55465052
05-09-2020,39477746.275903635
06-09-2020,38343218.25897847
07-09-2020,36749512.964308284
08-09-2020,38494409.00037112
09-09-2020,37916943.495739415
10-09-2020,38379792.73541961
11-09-2020,37304107.76848355
12-09-2020,38253991.29314786
13-09-2020,38738557.87001378
14-09-2020,38822188.09221529
15-09-2020,39199541.52848428
16-09-2020,39300555.798543625
17-09-2020,36985597.38220365
18-09-2020,38130657.5589943
19-09-2020,39859433.00150052
20-09-2020,39587427.12461876
21-09-2020,38907683.8956265
22-09-2020,38999980.69648379
23-09-2020,39507468.86435243
24-09-2020,39934345.75449997
25-09-2020,39027184.68626813
26-09-2020,40560783.476648
27-09-2020,40587436.23007012
28-09-2020,40174763.46172323
29-09-2020,39952331.929266304
30-09-2020,38252125.711938165
01-10-2020,37012301.02617203
02-10-2020,35955857.37836554
03-10-2020,37901475.919637546
04-10-2020,37510520.48847638
05-10-2020,37374186.88633914
06-10-2020,38130759.340086825
07-10-2020,38027277.36190929
08-10-2020,39426357.24081537
09-10-2020,39386051.60195483
10-10-2020,39691511.22970478
11-10-2020,40362587.88004126
12-10-2020,39812979.38264864
13-10-2020,40381176.18171607
14-10-2020,40374375.18426998
