Date,Mobility
15-02-2020,27234050.943702888
16-02-2020,27100526.85809073
17-02-2020,26662195.757342014
18-02-2020,26882419.001103412
19-02-2020,26773464.97540895
20-02-2020,27213711.657333337
21-02-2020,26130414.607265845
22-02-2020,26427974.267874092
23-02-2020,27165176.073952332
24-02-2020,26793604.4561801
25-02-2020,25547281.098426916
26-02-2020,26347016.73359268
27-02-2020,26939011.400724716
28-02-2020,27116640.490571328
29-02-2020,27290643.343324196
01-03-2020,27199313.80043001
02-03-2020,26649913.287212763
03-03-2020,26464027.575527444
04-03-2020,26017839.464136828
05-03-2020,26855938.47966923
06-03-2020,26449829.524222516
07-03-2020,25989243.555928573
08-03-2020,27249365.35378988
09-03-2020,25020442.34982496
10-03-2020,17168615.393161144
11-03-2020,21039199.09051638
12-03-2020,24564491.88593517
13-03-2020,24722381.106207434
14-03-2020,20537217.80189807
15-03-2020,26146932.97060244
16-03-2020,26670052.767983913
17-03-2020,26599262.317057684
18-03-2020,26585264.071351156
19-03-2020,25979271.158512603
20-03-2020,26554952.38756563
21-03-2020,24498726.3112915
22-03-2020,17992204.34065935
23-03-2020,21565028.571807936
24-03-2020,18876323.941601876
25-03-2020,17868647.532803968
26-03-2020,17725156.169435028
27-03-2020,17908926.494346272
28-03-2020,18137406.359946366
29-03-2020,18869071.467414383
30-03-2020,18468699.016176295
31-03-2020,18131265.12488174
01-04-2020,18014054.47734858
02-04-2020,17668563.769813728
03-04-2020,17985858.180337127
04-04-2020,18208196.8108726
05-04-2020,18966142.63417639
06-04-2020,18418247.851619616
07-04-2020,18632130.054717988
08-04-2020,18618131.80901146
09-04-2020,18603933.757706534
10-04-2020,18504947.009768855
11-04-2020,18692948.108228244
12-04-2020,19650977.694522277
13-04-2020,19030381.999522798
14-04-2020,18664552.00561839
15-04-2020,19189986.995372336
16-04-2020,17870762.919578042
17-04-2020,18180000.513861146
18-04-2020,18022510.90478568
19-04-2020,18455105.501325767
20-04-2020,18270930.44555853
21-04-2020,17678935.7784265
22-04-2020,17947694.605568897
23-04-2020,17947694.605568897
24-04-2020,18270930.44555853
25-04-2020,18188257.135699846
26-04-2020,18608769.067709085
27-04-2020,18105384.02024276
28-04-2020,17685077.013491128
29-04-2020,17818401.293504883
30-04-2020,18218369.013886973
01-05-2020,18030367.91542758
