Date,Mobility
15-02-2020,30269346.038382474
16-02-2020,30570087.460303415
17-02-2020,30219735.901242238
18-02-2020,30275627.6767031
19-02-2020,30110483.762067143
20-02-2020,30395978.693853192
21-02-2020,28319509.317664806
22-02-2020,30048310.348285653
23-02-2020,29909114.416173678
24-02-2020,29988668.34625079
25-02-2020,28874525.043952417
26-02-2020,30146463.60948576
27-02-2020,30346368.556712963
28-02-2020,30269346.038382474
29-02-2020,30542523.27736616
01-03-2020,30671839.14633051
02-03-2020,29727656.998322465
03-03-2020,30393447.282106563
04-03-2020,30406010.55874782
05-03-2020,30675589.37290451
06-03-2020,30161312.714034747
07-03-2020,31371077.8657866
08-03-2020,32685277.917059194
09-03-2020,30285869.362999868
10-03-2020,22979766.579072494
11-03-2020,27623927.04269083
12-03-2020,31871876.03668175
13-03-2020,29834775.11133683
14-03-2020,26970642.015892852
15-03-2020,31953809.57675848
16-03-2020,31347661.29500924
17-03-2020,30889276.41160034
18-03-2020,31406236.283963744
19-03-2020,31059634.951476563
20-03-2020,31167820.077571295
21-03-2020,31531801.926354095
22-03-2020,22622253.93279409
23-03-2020,26307838.5490964
24-03-2020,23904376.164969068
25-03-2020,23199007.60893936
26-03-2020,23364151.52357532
27-03-2020,23066093.31514801
28-03-2020,23052311.223679386
29-03-2020,24460610.706084058
30-03-2020,23748045.30040036
31-03-2020,23895808.698740702
01-04-2020,23334453.314477336
02-04-2020,23023831.82940877
03-04-2020,23451054.105053425
04-04-2020,23612447.79311538
05-04-2020,24943724.757189568
06-04-2020,23638793.161225263
07-04-2020,24869689.05584674
08-04-2020,24808980.040731512
09-04-2020,25001536.336557716
10-04-2020,24401669.69312911
11-04-2020,24927045.229973864
12-04-2020,26252040.555727426
13-04-2020,25143263.680416323
14-04-2020,25267364.92414041
15-04-2020,25858664.101340655
16-04-2020,25036297.36914896
17-04-2020,24766718.55499227
18-04-2020,24833709.208428126
19-04-2020,25293009.30317038
20-04-2020,25126950.177201066
21-04-2020,26056037.636821233
22-04-2020,26034906.89395161
23-04-2020,25750478.975245923
24-04-2020,25519411.420254473
25-04-2020,25078407.0531412
26-04-2020,25963862.410447735
27-04-2020,24600355.825528935
28-04-2020,24964337.674311735
29-04-2020,25156893.97013794
30-04-2020,25063557.9485922
01-05-2020,24454878.255096335
02-05-2020,25186440.37748892
03-05-2020,26161235.945928313
04-05-2020,25254649.84575215
05-05-2020,25237269.32945653
06-05-2020,24218596.074864622
07-05-2020,24618557.771066032
08-05-2020,25636012.210830566
09-05-2020,25467118.069620606
10-05-2020,26354859.254834887
11-05-2020,26342845.16552653
12-05-2020,25828568.50665677
13-05-2020,26606142.3413626
14-05-2020,27141549.743101984
15-05-2020,27043396.48190188
16-05-2020,27302943.431163944
17-05-2020,28644252.26013276
18-05-2020,27863231.802346956
19-05-2020,27999896.3227123
20-05-2020,28336465.790304843
21-05-2020,28942614.07205408
22-05-2020,28066886.976148147
23-05-2020,27814688.67828708
24-05-2020,29134866.764386274
25-05-2020,26823579.606632434
26-05-2020,28882972.070019223
27-05-2020,29197343.781661782
28-05-2020,29610935.767584812
29-05-2020,29335075.315107495
30-05-2020,29342423.966508485
31-05-2020,28568296.75488264
01-06-2020,28727462.63469199
02-06-2020,30352284.171033133
03-06-2020,30831799.79731166
04-06-2020,30106367.511492692
05-06-2020,31129858.005738962
06-06-2020,31066465.777130097
07-06-2020,31195478.042600438
08-06-2020,31769700.306999084
09-06-2020,31228011.266939066
10-06-2020,31696428.015242595
11-06-2020,32302576.296991836
12-06-2020,31613123.85859149
13-06-2020,31396905.408149034
14-06-2020,32114685.43907298
15-06-2020,30657842.832608443
16-06-2020,30538558.828538723
17-06-2020,29497687.817996826
18-06-2020,28088017.719017774
19-06-2020,30654092.606034443
20-06-2020,30496297.342799477
21-06-2020,30620492.368615445
22-06-2020,31172119.491478205
23-06-2020,31526221.27711338
24-06-2020,31263991.11435768
