Date,Mobility
15-02-2020,46828515.559442796
16-02-2020,46007714.27208844
17-02-2020,45316179.44593735
18-02-2020,45473146.528558046
19-02-2020,46535177.400493905
20-02-2020,46410938.51673246
21-02-2020,42219951.180798255
22-02-2020,45297229.7738786
23-02-2020,44769479.50984021
24-02-2020,44652201.673387244
25-02-2020,43596844.713126935
26-02-2020,46495631.72214264
27-02-2020,46117743.92560002
28-02-2020,46026663.94414721
29-02-2020,46802461.2722591
01-03-2020,45707558.63364754
02-03-2020,45133301.64394942
03-03-2020,44697062.06481324
04-03-2020,45850603.621651284
05-03-2020,45785003.65611634
06-03-2020,45947429.01962822
07-03-2020,44572823.18105179
08-03-2020,45895464.01307729
09-03-2020,40126540.59810268
10-03-2020,27519680.36242121
11-03-2020,35318292.87134723
12-03-2020,41306634.23382649
13-03-2020,43001991.71713632
14-03-2020,39772254.340687126
15-03-2020,44483245.96601625
16-03-2020,45159355.93113312
17-03-2020,44331737.164286755
18-03-2020,44331737.164286755
19-03-2020,42488163.54771489
20-03-2020,42950744.549667686
21-03-2020,41615827.957258984
22-03-2020,28600141.62822584
23-03-2020,32572163.206592713
24-03-2020,28963178.83500007
25-03-2020,26911103.83270596
26-03-2020,26610948.194265056
27-03-2020,26709563.494292185
28-03-2020,27192166.231271643
29-03-2020,29812322.103290375
30-03-2020,27400954.75262681
31-03-2020,27152476.985103916
01-04-2020,26247269.6279723
02-04-2020,25705740.837133437
03-04-2020,27049264.811084345
04-04-2020,27407628.664302368
05-04-2020,29969289.185911074
06-04-2020,26638935.951315403
07-04-2020,27361265.506459095
08-04-2020,27133670.880861618
09-04-2020,27302626.588232603
10-04-2020,27049551.946717273
11-04-2020,27623521.80078246
12-04-2020,29885026.683950268
13-04-2020,27565026.45037244
14-04-2020,27108047.2971273
15-04-2020,28078567.484160956
16-04-2020,26110754.983827647
17-04-2020,26509382.354479216
18-04-2020,26633334.102607746
19-04-2020,28744976.518279787
20-04-2020,26633477.670424204
21-04-2020,26124677.07844459
22-04-2020,26769561.611119486
23-04-2020,26326360.98467483
24-04-2020,26718027.308017924
25-04-2020,26548928.03283048
26-04-2020,28569203.33141679
27-04-2020,25962825.98619854
28-04-2020,25538575.031812645
29-04-2020,25948903.891581587
30-04-2020,25909071.07759741
01-05-2020,25773274.272535052
02-05-2020,26698934.068142705
03-05-2020,28503603.365881823
04-05-2020,26692116.58865069
05-05-2020,26626516.623115733
06-05-2020,27029884.43557621
07-05-2020,26371221.37610083
08-05-2020,27505956.828696575
09-05-2020,27036845.482884683
10-05-2020,28822565.10856503
11-05-2020,27480046.10932933
12-05-2020,27278362.203099098
13-05-2020,27766136.085336838
14-05-2020,27583258.283348903
15-05-2020,28124930.642004233
16-05-2020,28131604.55367978
17-05-2020,29969145.618094616
18-05-2020,28183425.99241426
19-05-2020,28561026.653323956
20-05-2020,29069683.677487113
21-05-2020,29792013.232630797
22-05-2020,29747439.976837717
23-05-2020,29571379.654341795
24-05-2020,31415881.7660651
25-05-2020,27994017.846567236
26-05-2020,29766246.081080016
27-05-2020,30319619.928852715
28-05-2020,30235070.291258994
29-05-2020,30561136.649067134
30-05-2020,30985100.46782011
31-05-2020,32177900.567376506
01-06-2020,30704181.637070883
02-06-2020,31342105.122437306
03-06-2020,32455957.433107633
04-06-2020,32188529.99352598
05-06-2020,32606107.03623632
06-06-2020,32704148.064997606
07-06-2020,33636625.34009728
08-06-2020,32331862.11716265
09-06-2020,32064578.24539745
10-06-2020,33009474.84869679
11-06-2020,32331718.54934619
12-06-2020,32188817.1291589
13-06-2020,32559456.742760118
14-06-2020,33245246.152387094
15-06-2020,31100588.402222887
16-06-2020,32142166.8356827
17-06-2020,32852507.7660761
18-06-2020,32669629.964088164
19-06-2020,32852651.333892554
20-06-2020,33126609.117333304
21-06-2020,32028038.099880733
22-06-2020,32702645.298580334
23-06-2020,32363087.54960462
24-06-2020,33959542.59725441
25-06-2020,33079958.823857114
26-06-2020,33457846.620399725
27-06-2020,32852507.7660761
28-06-2020,34345319.93625694
29-06-2020,32969785.60252907
30-06-2020,33392390.22268122
01-07-2020,34604427.1299293
02-07-2020,34318193.58610534
03-07-2020,34585764.59350345
04-07-2020,34775172.73935048
05-07-2020,35198992.990287
06-07-2020,33940736.4930121
07-07-2020,34233931.08414453
08-07-2020,34013010.37022261
09-07-2020,34702755.29432352
10-07-2020,34214981.41208578
11-07-2020,34306348.52917151
12-07-2020,34861081.57554502
13-07-2020,33159624.45182547
14-07-2020,33621774.75032889
15-07-2020,34566671.35362823
16-07-2020,34482121.71603451
17-07-2020,34397859.2140737
18-07-2020,34620139.12659644
19-07-2020,35161237.21398593
20-07-2020,34320270.62378845
21-07-2020,33147635.82707518
22-07-2020,34958194.10915488
23-07-2020,34254527.09043704
24-07-2020,33121868.675524406
25-07-2020,33858120.32528503
26-07-2020,34380125.172799304
27-07-2020,33518419.008492865
28-07-2020,32788984.838224247
29-07-2020,34632271.319163196
30-07-2020,34156198.926042825
31-07-2020,34046169.27253125
01-08-2020,32899588.76300167
02-08-2020,36268415.6129807
03-08-2020,31176961.361723784
04-08-2020,32768245.26411529
05-08-2020,33100841.965782527
06-08-2020,33635409.70931292
07-08-2020,34013153.93803908
08-08-2020,34664999.51802245
09-08-2020,35428377.517934665
10-08-2020,34651220.99122196
11-08-2020,34064975.37677355
12-08-2020,34175435.73373451
13-08-2020,34892450.57580345
14-08-2020,35094421.61766661
15-08-2020,31933952.585593373
16-08-2020,34633486.94994755
17-08-2020,34918504.86298715
18-08-2020,34742588.10830769
19-08-2020,35680523.664298564
20-08-2020,32235180.287002176
21-08-2020,34397859.2140737
22-08-2020,34378765.97419848
23-08-2020,35050633.28920851
24-08-2020,34723638.43624893
25-08-2020,34808188.07384265
26-08-2020,35258062.61196286
27-08-2020,34202705.65170257
28-08-2020,35368666.53674028
29-08-2020,34573632.40093671
30-08-2020,35278371.482622445
31-08-2020,34833955.22539343
01-09-2020,34078753.903574035
02-09-2020,35687484.71160703
03-09-2020,35394290.1204746
04-09-2020,35727461.093407676
05-09-2020,36235830.981937915
06-09-2020,36282050.571964726
07-09-2020,34639232.36647167
08-09-2020,35622171.881704986
09-09-2020,35746123.62983352
10-09-2020,35152916.96807663
11-09-2020,34892737.711436376
12-09-2020,35401394.73559953
13-09-2020,37513324.28690449
14-09-2020,36079151.03495014
15-09-2020,35811867.16318494
16-09-2020,36874041.60293725
17-09-2020,34398002.78189017
18-09-2020,35356821.47980645
19-09-2020,37246471.11858866
20-09-2020,38204859.11305558
21-09-2020,36001706.01248135
22-09-2020,35591377.1527124
23-09-2020,37155391.13713585
24-09-2020,36451724.118418016
25-09-2020,36843534.00957758
26-09-2020,37502053.5012365
27-09-2020,38453480.44839493
28-09-2020,37019307.19644057
29-09-2020,36602017.28936315
30-09-2020,36789635.53315999
01-10-2020,35980679.302739464
02-10-2020,33888130.12694266
03-10-2020,36723891.99980857
04-10-2020,37727283.95351794
05-10-2020,35699904.0398067
06-10-2020,35967044.34375544
07-10-2020,37153314.09945274
08-10-2020,36515247.04626986
09-10-2020,37174340.80919462
10-10-2020,37441481.113143355
11-10-2020,39143081.804679364
12-10-2020,37434663.633651346
13-10-2020,37310568.317706354
14-10-2020,38522748.79277089
15-10-2020,38196682.43496275
16-10-2020,39050642.62462573
17-10-2020,38191654.85752093
18-10-2020,40277817.25727511
19-10-2020,38093470.26094318
20-10-2020,37636491.10769804
21-10-2020,38457148.82723593
22-10-2020,37634414.070014924
23-10-2020,37028003.1527234
24-10-2020,35144883.857800275
25-10-2020,36904836.33192985
26-10-2020,32237776.60287528
27-10-2020,35770388.014967024
28-10-2020,37615464.39795616
29-10-2020,37413636.92390946
30-10-2020,36729780.98414914
31-10-2020,38444873.06685272
01-11-2020,39787966.33735426
02-11-2020,37779536.09570179
03-11-2020,37981363.56974849
04-11-2020,38724432.699001126
05-11-2020,38339727.4229665
06-11-2020,38457292.395052396
07-11-2020,39239907.2026563
08-11-2020,40791645.42669655
09-11-2020,38340014.55859941
10-11-2020,38424564.196193144
11-11-2020,39805700.37862866
12-11-2020,40788639.89386199
13-11-2020,40378598.16972596
14-11-2020,35088321.9772569
15-11-2020,37122232.23482722
16-11-2020,35979463.67195511
17-11-2020,36898305.988070756
18-11-2020,37172407.33932796
19-11-2020,36030710.839423746
20-11-2020,33607211.29619343
21-11-2020,34844584.6515429
22-11-2020,38072012.84775192
23-11-2020,37348324.09400742
24-11-2020,37667429.40450709
25-11-2020,38722642.79695094
26-11-2020,37843059.02355364
27-11-2020,37857124.68598703
28-11-2020,38952027.324598595
29-11-2020,40236338.109057195
30-11-2020,36676313.21118093
01-12-2020,37953662.94833105
02-12-2020,39934966.83983193
03-12-2020,39648589.72819151
04-12-2020,40099038.537577555
05-12-2020,40548769.507881306
06-12-2020,41141689.03400527
07-12-2020,38833103.153911896
08-12-2020,37414067.62735884
09-12-2020,39895277.59366421
10-12-2020,39766011.132460944
11-12-2020,40000853.940999806
12-12-2020,39369460.79949248
13-12-2020,41169389.65542271
14-12-2020,40021449.947292306
15-12-2020,38588492.326122314
16-12-2020,41357869.30611829
17-12-2020,40804208.32271267
18-12-2020,41189057.16656376
19-12-2020,41678477.383035235
20-12-2020,42505952.58206514
21-12-2020,40863134.37657209
22-12-2020,40438883.422186196
23-12-2020,41475147.142571256
24-12-2020,40790429.79591219
25-12-2020,38841069.17593558
26-12-2020,39631717.09381586
27-12-2020,41293484.971367694
28-12-2020,39761127.12283559
29-12-2020,39559443.21660535
30-12-2020,40973307.597900115
31-12-2020,41278490.81378284
