Date,Mobility
15-02-2020,26029160.94611338
16-02-2020,25658308.331758313
17-02-2020,26238333.085006423
18-02-2020,26083814.63272101
19-02-2020,25902161.204123423
20-02-2020,26070343.078060746
21-02-2020,24036153.120910913
22-02-2020,25117270.149823107
23-02-2020,25699106.72972239
24-02-2020,26083814.63272101
25-02-2020,26514777.973474395
26-02-2020,26265659.928310238
27-02-2020,26238333.085006423
28-02-2020,26487259.26317894
29-02-2020,26097478.054372918
01-03-2020,25671396.15243529
02-03-2020,26540868.591101967
03-03-2020,26520895.637966406
04-03-2020,26649323.472624253
05-03-2020,26641777.715464357
06-03-2020,26850949.8543574
07-03-2020,26447505.223899465
08-03-2020,26418750.287927765
09-03-2020,26391231.57763231
10-03-2020,21451162.104194347
11-03-2020,26339242.20936882
12-03-2020,26567151.075721174
13-03-2020,26574504.96588943
14-03-2020,25002505.73681717
15-03-2020,25663850.3952754
16-03-2020,25736004.583666097
17-03-2020,25595341.420024224
18-03-2020,25445704.406554576
19-03-2020,25478296.422657438
20-03-2020,23443786.195413534
21-03-2020,21590268.772065893
22-03-2020,17351191.153100375
23-03-2020,22501904.237475313
24-03-2020,18347002.70905569
25-03-2020,17124838.78251834
26-03-2020,17764974.262164768
27-03-2020,17778637.683816675
28-03-2020,17359909.672047306
29-03-2020,18530936.72201412
30-03-2020,18377591.03151574
31-03-2020,18298082.952956792
01-04-2020,18090147.039739992
02-04-2020,17385808.422683235
03-04-2020,17210080.791586015
04-04-2020,17507926.72585743
05-04-2020,18287744.474350333
06-04-2020,17587626.67140802
07-04-2020,18276873.77414499
08-04-2020,18041419.150632735
09-04-2020,18174536.55711471
10-04-2020,18112145.24635555
11-04-2020,18200627.174742278
12-04-2020,19189617.062128223
13-04-2020,18530489.52414163
14-04-2020,18208172.931902174
15-04-2020,18383708.69600775
16-04-2020,17689772.021446656
17-04-2020,17831671.41076477
18-04-2020,17824125.653604876
19-04-2020,18597825.737605765
20-04-2020,17985997.996058546
21-04-2020,17947672.049446955
22-04-2020,17934008.62779505
23-04-2020,18181698.58029132
24-04-2020,18445908.139775272
25-04-2020,17778253.94983339
26-04-2020,19049998.25717096
27-04-2020,18580261.77193349
28-04-2020,18386181.14736024
29-04-2020,18642844.949684292
30-04-2020,18419817.522147704
01-05-2020,18034917.752157442
02-05-2020,18561716.911465812
03-05-2020,19112389.56793012
04-05-2020,19405290.59949656
05-05-2020,19258509.771362677
06-05-2020,19898645.25100911
07-05-2020,20100463.499733895
08-05-2020,20343272.0134144
09-05-2020,20187709.202444382
10-05-2020,21048271.25517248
11-05-2020,20855171.525394626
12-05-2020,20641117.947685815
13-05-2020,21004808.538864274
14-05-2020,20801754.064463243
15-05-2020,21145471.70250614
16-05-2020,21105717.663226668
17-05-2020,22045979.661505356
18-05-2020,21603953.753554985
19-05-2020,21457172.925421104
20-05-2020,21739927.345372725
21-05-2020,21718718.166560926
22-05-2020,22224308.147057496
