Date,Mobility
15-02-2020,25233757.02480221
16-02-2020,24689318.6692009
17-02-2020,25095532.9670295
18-02-2020,25082055.24925476
19-02-2020,25600413.87119191
20-02-2020,25207888.119817257
21-02-2020,23126465.994690266
22-02-2020,23165358.572923064
23-02-2020,24707589.206997406
24-02-2020,25240058.032746926
25-02-2020,25134652.56752575
26-02-2020,25797325.426501103
27-02-2020,25430019.900489535
28-02-2020,25194199.573363308
29-02-2020,25153782.61362333
01-03-2020,24904711.59098581
02-03-2020,25691919.961279925
03-03-2020,25219419.79872639
04-03-2020,25475878.359873153
05-03-2020,25443059.76732162
06-03-2020,26125511.35201643
07-03-2020,25711698.686999377
08-03-2020,25337654.30210044
09-03-2020,25350694.168932524
10-03-2020,25049025.82802402
11-03-2020,25495008.405970737
12-03-2020,24936881.503915474
13-03-2020,25344603.989667024
14-03-2020,23900829.13324728
15-03-2020,24864943.310867697
16-03-2020,24719558.736849193
17-03-2020,24818014.514503792
18-03-2020,25618051.92295078
19-03-2020,24876702.012040276
20-03-2020,25276615.301924165
21-03-2020,25729985.41838012
22-03-2020,18906191.87221184
23-03-2020,26530687.700033206
24-03-2020,19945520.02815784
25-03-2020,17591988.562980305
26-03-2020,17683916.31042674
27-03-2020,17986233.33095711
28-03-2020,17867139.319281988
29-03-2020,19161580.096378308
30-03-2020,18471124.680720862
31-03-2020,18373528.411367346
01-04-2020,18897977.21256999
02-04-2020,18668247.064709265
03-04-2020,19003382.67779117
04-04-2020,18982955.27244985
05-04-2020,19778816.153328475
06-04-2020,18990131.982279878
07-04-2020,19699522.808939923
08-04-2020,20000331.641547352
09-04-2020,19796470.39867158
10-04-2020,19488501.049818363
11-04-2020,19572619.60139714
12-04-2020,21182417.265855912
13-04-2020,20012512.000078354
14-04-2020,19527620.650314607
15-04-2020,21030958.706156146
16-04-2020,20781239.003896758
17-04-2020,20998140.113604613
18-04-2020,20557809.86398074
19-04-2020,21845949.633132353
20-04-2020,21076817.16553976
21-04-2020,20939452.61606813
22-04-2020,21024219.847268775
23-04-2020,21018129.668003276
24-04-2020,21451721.058739778
25-04-2020,20618005.549440175
26-04-2020,21865939.187531013
27-04-2020,21563216.70322645
28-04-2020,21602984.983344566
29-04-2020,22522327.23214589
30-04-2020,22101775.708241478
01-05-2020,21472148.464081094
02-05-2020,21930943.88659644
03-05-2020,23356659.033898894
04-05-2020,23369942.116578653
05-05-2020,23284526.20575614
06-05-2020,24176280.532970358
07-05-2020,23966329.110829078
08-05-2020,24466417.194969725
09-05-2020,23008078.09021072
10-05-2020,24590498.661761593
11-05-2020,24353413.3625601
12-05-2020,24288635.685758114
13-05-2020,25062804.189220153
14-05-2020,24852852.767078876
15-05-2020,25062804.189220153
16-05-2020,24386653.612470053
17-05-2020,25128846.838097405
18-05-2020,24781125.402710307
