Date,Mobility
15-02-2020,28439285.891803283
16-02-2020,27452132.36682825
17-02-2020,28372168.56365216
18-02-2020,28177568.473463517
19-02-2020,28208017.323941078
20-02-2020,28967118.036545783
21-02-2020,25463360.378505837
22-02-2020,27166185.725206897
23-02-2020,27609531.71227462
24-02-2020,28188826.175284397
25-02-2020,28187324.239432346
26-02-2020,28061343.41324687
27-02-2020,28349973.543291368
28-02-2020,28974839.59959383
29-02-2020,28786779.519882135
01-03-2020,28403798.966700822
02-03-2020,28514124.78300245
03-03-2020,28555510.95201993
04-03-2020,28303549.299648985
05-03-2020,28424812.434490528
06-03-2020,28550793.260676004
07-03-2020,28697467.171370216
08-03-2020,28273100.44917142
09-03-2020,28279320.0763674
10-03-2020,25706207.031469896
11-03-2020,28271598.51331936
12-03-2020,28649540.99187578
13-03-2020,22891528.86673222
14-03-2020,26538965.082702674
15-03-2020,26399151.56576639
16-03-2020,26582173.570853185
17-03-2020,26491359.28648921
18-03-2020,26068494.50014247
19-03-2020,26224924.17680551
20-03-2020,25802059.39045877
21-03-2020,25545380.0467439
22-03-2020,17228945.33300202
23-03-2020,21384593.662284113
24-03-2020,16643651.645524425
25-03-2020,15963787.132181842
26-03-2020,16603447.029078033
27-03-2020,16530110.073730927
28-03-2020,16190338.008700117
29-03-2020,17313219.60688904
30-03-2020,16714954.397950746
31-03-2020,16702515.143558776
01-04-2020,16812520.576579437
02-04-2020,16954476.795929722
03-04-2020,17074237.994919207
04-04-2020,17149076.88611837
05-04-2020,18308626.961980846
06-04-2020,17128063.418328658
07-04-2020,17854031.79203265
08-04-2020,17896919.89690219
09-04-2020,17836022.195947055
10-04-2020,17015703.39910624
11-04-2020,17094078.42907825
12-04-2020,18312492.002975073
13-04-2020,17655363.29600243
14-04-2020,17175669.21454213
15-04-2020,17762685.240599945
16-04-2020,16778855.970609996
17-04-2020,16785075.59780598
18-04-2020,16780357.90646205
19-04-2020,17761283.28530069
20-04-2020,17043256.87737291
21-04-2020,16971954.12494659
22-04-2020,17051510.70748968
23-04-2020,17043256.87737291
24-04-2020,17230135.404513523
25-04-2020,17137286.917228755
26-04-2020,18092801.520214725
27-04-2020,17451648.206406895
28-04-2020,17313228.12582945
29-04-2020,17432989.32481894
30-04-2020,17528521.300526846
01-05-2020,17050008.771637626
02-05-2020,17743814.475224234
03-05-2020,18552334.784235016
04-05-2020,19442995.183659237
05-05-2020,19320550.496246606
06-05-2020,19703210.66614695
07-05-2020,19704712.601999007
08-05-2020,19904030.383531585
09-05-2020,19323233.98466975
10-05-2020,20080612.358694226
11-05-2020,20784394.230977833
12-05-2020,20762199.210617036
13-05-2020,20965053.130922455
14-05-2020,20913911.195936147
15-05-2020,21296571.36583649
16-05-2020,21500927.22199397
17-05-2020,21924432.774902653
18-05-2020,21521620.30650271
19-05-2020,21572762.24148902
20-05-2020,21912534.30651982
21-05-2020,21934729.326880623
22-05-2020,21789557.352038465
23-05-2020,22277717.147403296
24-05-2020,17019339.518431887
25-05-2020,19969325.39254968
26-05-2020,21989407.400639772
27-05-2020,22188725.18217235
28-05-2020,22336901.02871862
29-05-2020,22729316.964587793
30-05-2020,23059653.646930743
31-05-2020,22393189.537823044
01-06-2020,22907941.66161163
02-06-2020,23319548.746137485
03-06-2020,22772205.06945733
04-06-2020,23561754.6325396
05-06-2020,23777047.80723699
06-06-2020,24011852.513872042
07-06-2020,24583213.530046016
08-06-2020,24021287.896559898
09-06-2020,23836443.572340067
10-06-2020,23814248.55197927
11-06-2020,24246016.45394514
12-06-2020,24335328.80245706
13-06-2020,24256953.77248505
14-06-2020,24691717.027214617
15-06-2020,23680013.895677026
16-06-2020,23633589.65203465
17-06-2020,23493135.36853642
18-06-2020,23832907.43356723
19-06-2020,24158206.041285276
20-06-2020,24635216.634322442
21-06-2020,23196359.907868367
22-06-2020,24451553.862673704
23-06-2020,24113816.000563685
24-06-2020,24129791.393728495
25-06-2020,23931975.548047975
26-06-2020,24115317.936415743
27-06-2020,23942912.86658789
28-06-2020,24215026.81745843
29-06-2020,23341743.766498283
30-06-2020,24194874.51895883
01-07-2020,23974863.652917515
02-07-2020,24217069.53931963
03-07-2020,24327074.97234029
04-07-2020,24328576.908192348
05-07-2020,17696849.44557271
06-07-2020,24406631.55488338
07-07-2020,23521550.016093206
08-07-2020,23861322.081124015
09-07-2020,22781108.185076457
10-07-2020,24596193.570447132
11-07-2020,23830552.847365476
12-07-2020,17601317.469864808
13-07-2020,25505183.94923792
14-07-2020,25570799.34153698
15-07-2020,18131512.71974948
16-07-2020,18422826.338217117
17-07-2020,18809022.646890305
18-07-2020,18903052.68674615
19-07-2020,18199270.81446254
20-07-2020,19427669.07599678
21-07-2020,19308760.527356993
22-07-2020,22888109.746393003
23-07-2020,23805142.071512803
24-07-2020,23481345.39964681
25-07-2020,23187677.194977414
26-07-2020,17820146.78333504
27-07-2020,24102026.031674072
28-07-2020,23813395.90162957
29-07-2020,23540741.16474989
30-07-2020,24672746.281286106
31-07-2020,23986982.52402851
01-08-2020,22060069.38650415
02-08-2020,23673582.384693287
03-08-2020,22870952.800657105
04-08-2020,22813591.238474812
05-08-2020,20564383.364936516
06-08-2020,23331988.000529457
07-08-2020,23520368.46352212
08-08-2020,23352681.085038196
09-08-2020,23964567.100939542
10-08-2020,23571510.398508426
11-08-2020,23423334.551962156
12-08-2020,23695989.288841844
13-08-2020,23754852.78687619
14-08-2020,23978399.791690353
15-08-2020,21660252.27086791
16-08-2020,21983296.272937004
17-08-2020,23938195.17524396
18-08-2020,23758388.925649036
19-08-2020,23911282.46353923
20-08-2020,23707246.990662728
21-08-2020,25225128.03259116
22-08-2020,20432074.41206184
23-08-2020,24100303.693093844
24-08-2020,24318171.85672116
