Date,Mobility
15-02-2020,24972616.018069934
16-02-2020,24100985.72461649
17-02-2020,25071928.08854829
18-02-2020,24152548.02247899
19-02-2020,24724964.401219845
20-02-2020,24820952.542597666
21-02-2020,22816151.4637867
22-02-2020,24025890.812758893
23-02-2020,24209641.02305065
24-02-2020,25229638.855515767
25-02-2020,25546422.07064806
26-02-2020,25535745.154134855
27-02-2020,25055203.880539883
28-02-2020,25866501.222240943
29-02-2020,25569165.57751174
01-03-2020,25173963.521421317
02-03-2020,25486633.700321663
03-03-2020,24782029.409151565
04-03-2020,24386771.36778127
05-03-2020,24284735.93490824
06-03-2020,25159145.576036237
07-03-2020,24908170.03008561
08-03-2020,24750487.255758066
09-03-2020,24863227.597784244
10-03-2020,25016280.74709378
11-03-2020,22561523.4851103
12-03-2020,24813571.56254506
13-03-2020,24858569.980126306
14-03-2020,23723897.550371755
15-03-2020,24789466.374484044
16-03-2020,25092849.31070846
17-03-2020,24394264.318393633
18-03-2020,24394264.318393633
19-03-2020,24236553.551426154
20-03-2020,25321081.34979541
21-03-2020,25750576.914313927
22-03-2020,18628649.98362393
23-03-2020,25188404.841220044
24-03-2020,18302006.951749783
25-03-2020,16749989.525747007
26-03-2020,17698160.39017519
27-03-2020,17824329.003749173
28-03-2020,17585420.04814902
29-03-2020,19234026.18223549
30-03-2020,18144408.15534206
31-03-2020,18207464.469489112
01-04-2020,18396717.389850084
02-04-2020,18704729.951092497
03-04-2020,19126816.542918473
04-04-2020,19062342.56229421
05-04-2020,20284176.494256824
06-04-2020,18907439.135641217
07-04-2020,19675099.74095837
08-04-2020,19365725.498518623
09-04-2020,19497941.403587814
10-04-2020,19619480.392143797
11-04-2020,19253013.149132393
12-04-2020,21014331.63260509
13-04-2020,20007273.475541674
14-04-2020,19682536.706290852
15-04-2020,20240107.14700668
16-04-2020,18960335.12206112
17-04-2020,19607902.397939432
18-04-2020,18826757.535794593
19-04-2020,20488791.94142887
20-04-2020,19217329.96686702
21-04-2020,19299861.844057087
22-04-2020,18958945.448223844
23-04-2020,18706636.21371582
24-04-2020,19588398.84225648
25-04-2020,18928764.976027682
26-04-2020,20576009.428916816
27-04-2020,19606484.731462225
28-04-2020,19442726.67299954
29-04-2020,19876879.855175994
30-04-2020,20001714.78019258
01-05-2020,19879659.20285054
02-05-2020,20510990.866866563
03-05-2020,21890563.558436595
04-05-2020,21607529.270306416
05-05-2020,21254546.2841227
06-05-2020,21669251.895896073
07-05-2020,21947111.97758226
08-05-2020,22557089.80857188
09-05-2020,21514292.483963203
10-05-2020,23060891.17781658
11-05-2020,22330275.435962137
12-05-2020,22002759.31903677
13-05-2020,22405398.340459667
14-05-2020,22519500.363683175
15-05-2020,22764428.618138596
16-05-2020,22833504.231140915
17-05-2020,23899045.062613267
18-05-2020,22632212.713069405
19-05-2020,22738905.763600368
20-05-2020,22801962.07774742
21-05-2020,22883160.266380094
22-05-2020,22773743.853454467
23-05-2020,22534262.323788382
24-05-2020,19378797.273801267
25-05-2020,20907038.015368257
26-05-2020,22877084.98224495
27-05-2020,23348855.601950046
28-05-2020,23297837.88551353
29-05-2020,23964880.724434868
30-05-2020,23831275.145528402
31-05-2020,23989530.493921872
01-06-2020,23819236.547817864
02-06-2020,23769580.51257869
03-06-2020,23245458.487879682
04-06-2020,23586374.88371292
05-06-2020,24373539.044713035
06-06-2020,24493632.37415187
07-06-2020,24639793.13955492
08-06-2020,24448661.94921056
09-06-2020,23982938.62100067
10-06-2020,24014480.77439417
11-06-2020,24109107.234574653
12-06-2020,24486251.394099265
13-06-2020,23760237.284622878
14-06-2020,25075335.995568648
15-06-2020,24015842.455591504
16-06-2020,24311788.426483437
17-06-2020,24046050.920427598
18-06-2020,24260798.70268686
19-06-2020,24758064.184290245
20-06-2020,25072068.051747985
21-06-2020,24553204.211412784
22-06-2020,24588258.834332358
23-06-2020,24343330.579876933
24-06-2020,24564125.6536314
25-06-2020,23643411.89900471
26-06-2020,24688932.58600805
27-06-2020,23533394.919373207
28-06-2020,24445882.601536013
29-06-2020,23694401.62280128
30-06-2020,24513135.929834828
01-07-2020,24242712.813481115
02-07-2020,23807169.95746739
03-07-2020,24726550.023536693
04-07-2020,24065526.483470622
05-07-2020,19491537.615827437
06-07-2020,24651427.11903916
07-07-2020,24185703.79082927
08-07-2020,23554888.715599302
09-07-2020,23120763.52606279
10-07-2020,24789662.322963618
11-07-2020,22941586.955509152
12-07-2020,19410339.427194763
13-07-2020,24867536.582495753
14-07-2020,24104505.602196597
15-07-2020,23491804.408812314
16-07-2020,23050242.25394332
17-07-2020,24361556.432282373
18-07-2020,23180495.911109306
19-07-2020,19466014.761289213
20-07-2020,24002526.154603448
21-07-2020,24149504.019777842
22-07-2020,23972317.689767346
23-07-2020,24181046.173171338
24-07-2020,23443538.047410406
25-07-2020,22238372.33817632
26-07-2020,19510957.193590578
27-07-2020,24218607.625420097
28-07-2020,23777017.477911167
29-07-2020,23506594.36155746
30-07-2020,24989047.5784118
31-07-2020,24358232.503181834
01-08-2020,22316246.59770846
02-08-2020,24309093.056728706
03-08-2020,23772359.86025323
04-08-2020,22982472.336858455
05-08-2020,21198081.84289685
06-08-2020,22653594.538735747
07-08-2020,23464863.887796875
08-08-2020,22139548.863844074
09-08-2020,23824382.761621915
10-08-2020,23207841.05035104
11-08-2020,22817268.619278617
12-08-2020,23409160.56106249
13-08-2020,23523262.58428599
14-08-2020,24095650.970386907
15-08-2020,22146929.84389668
16-08-2020,23011751.731363453
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,24039975.636292454
12-09-2020,22405314.362539854
13-09-2020,24226477.20161882
14-09-2020,23805780.283630118
15-09-2020,24122563.498762403
16-09-2020,24349377.87137214
17-09-2020,22330247.4433222
18-09-2020,24668123.334407635
19-09-2020,24905614.623530574
20-09-2020,24576764.818047807
21-09-2020,24182924.443154726
22-09-2020,23913891.00063829
23-09-2020,24448773.919770315
24-09-2020,24459478.82892346
25-09-2020,24698387.78452361
26-09-2020,23326768.64707211
27-09-2020,25314356.921728555
28-09-2020,23238161.485746894
29-09-2020,24280358.2436497
30-09-2020,23626687.690996293
01-10-2020,22645529.01405746
02-10-2020,21545150.092731018
03-10-2020,23225298.380210977
04-10-2020,23276288.10400755
05-10-2020,22709947.00940185
06-10-2020,22465018.754946426
07-10-2020,23036101.445129883
08-10-2020,23676287.740955595
09-10-2020,23586374.88371292
10-10-2020,22834837.919698313
11-10-2020,24625848.279221058
12-10-2020,23335399.337762292
13-10-2020,23476385.89672136
14-10-2020,23512613.660412725
15-10-2020,24570256.92304642
16-10-2020,24046134.898347422
17-10-2020,24990953.841035128
18-10-2020,25016420.71029348
19-10-2020,24230674.21577058
20-10-2020,22555672.142094664
21-10-2020,23773693.54881063
22-10-2020,22890485.26115282
23-10-2020,24360843.895016745
24-10-2020,24017993.24392024
25-10-2020,24892919.473834287
26-10-2020,20315879.195435915
27-10-2020,22751621.497882556
28-10-2020,22158395.86754129
29-10-2020,22824077.02526529
30-10-2020,20663359.471550416
31-10-2020,20956526.094767805
01-11-2020,23109834.675790135
02-11-2020,22519332.40784354
03-11-2020,22451590.48339862
04-11-2020,22376439.58626115
05-11-2020,22280451.444883328
06-11-2020,22361649.633516002
07-11-2020,22833364.267941218
08-11-2020,22966941.854207743
09-11-2020,22311993.598276824
10-11-2020,22729450.565084804
11-11-2020,22741517.15543528
12-11-2020,23307886.242680926
13-11-2020,24518554.661984224
14-11-2020,22919576.570497
15-11-2020,24244018.509398576
16-11-2020,19528743.027075745
17-11-2020,21820174.84146278
18-11-2020,22422771.69239979
19-11-2020,22547578.624776438
20-11-2020,22729422.572444867
21-11-2020,23515197.059607707
22-11-2020,23259563.89599914
23-11-2020,22301260.696483742
24-11-2020,22484494.31798945
25-11-2020,22730784.2536422
26-11-2020,22340211.82256978
27-11-2020,22269718.543090247
28-11-2020,22259041.62657705
29-11-2020,23331991.43074194
30-11-2020,22283174.807277992
01-12-2020,22446904.873100743
02-12-2020,23321314.514228735
03-12-2020,22267868.2657468
04-12-2020,23716572.55559903
05-12-2020,23815828.64079751
06-12-2020,24246713.879153304
07-12-2020,23421960.27326449
08-12-2020,23459577.710793134
09-12-2020,23705867.64644589
10-12-2020,24270931.037774075
11-12-2020,25101759.927798033
12-12-2020,24234787.252002522
13-12-2020,25402335.523707964
14-12-2020,24696397.543980464
15-12-2020,25058123.19141412
16-12-2020,25007105.47497761
17-12-2020,24843375.409154862
18-12-2020,25062808.801712
19-12-2020,25545228.345290355
20-12-2020,25741890.23834387
21-12-2020,24332681.656003665
22-12-2020,23599258.573834743
23-12-2020,25146730.352739338
24-12-2020,24963496.731233634
25-12-2020,24032951.15250502
26-12-2020,24102571.34693333
27-12-2020,25025191.364183355
28-12-2020,25259442.702125568
29-12-2020,24918526.30629233
30-12-2020,24642083.89108335
31-12-2020,25717757.057642918
