Date,Mobility
15-02-2020,20638233.402536035
16-02-2020,20054757.973928932
17-02-2020,20652944.162885264
18-02-2020,20683114.59913031
19-02-2020,20283759.650226884
20-02-2020,20777472.685645428
21-02-2020,18897193.141072325
22-02-2020,20035086.998920593
23-02-2020,20344295.160421427
24-02-2020,21264533.03760726
25-02-2020,21173078.1756211
26-02-2020,20928519.504575104
27-02-2020,21251976.586240407
28-02-2020,20797240.979505997
29-02-2020,21100083.532911927
01-03-2020,20703729.127389684
02-03-2020,21242323.359402508
03-03-2020,21296857.782834686
04-03-2020,21378659.41798295
05-03-2020,21496535.2572864
06-03-2020,21514149.24216459
07-03-2020,21572433.124524526
08-03-2020,21184885.711441375
09-03-2020,21421483.624447078
10-03-2020,18168939.18277822
11-03-2020,21561569.141955286
12-03-2020,21688251.973697826
13-03-2020,21352238.44066567
14-03-2020,20418982.271928214
15-03-2020,21342682.532679997
16-03-2020,21350278.76938775
17-03-2020,21213942.71080731
18-03-2020,20984094.80011055
19-03-2020,21020169.004265733
20-03-2020,20553723.180563275
21-03-2020,20698866.23158281
22-03-2020,15557677.220205018
23-03-2020,20380199.480948538
24-03-2020,15527044.943775209
25-03-2020,13874074.60670244
26-03-2020,14517141.992253054
27-03-2020,14525948.984692147
28-03-2020,14262930.094369164
29-03-2020,15478876.128437938
30-03-2020,14934110.92603467
31-03-2020,14755796.895388903
01-04-2020,14577482.86474314
02-04-2020,15040179.229517836
03-04-2020,15085060.426112115
04-04-2020,15369442.760241048
05-04-2020,16231761.276399478
06-04-2020,15077099.668071825
07-04-2020,15318657.795736633
08-04-2020,15140343.765090866
09-04-2020,15379095.987078948
10-04-2020,15001201.800833702
11-04-2020,15264220.691156685
12-04-2020,16978937.294155344
13-04-2020,15847696.119763786
14-04-2020,15361482.00220076
15-04-2020,15756990.173324196
16-04-2020,15223453.474822707
17-04-2020,15005315.781093998
18-04-2020,15241067.459700894
19-04-2020,16339983.888865026
20-04-2020,15304408.875572167
21-04-2020,15332425.00283483
