Date,Mobility
15-02-2020,27838003.71831262
16-02-2020,27926218.217919655
17-02-2020,27896507.948508743
18-02-2020,27752995.62048162
19-02-2020,27572544.81885479
20-02-2020,28290106.4589904
21-02-2020,26386987.765352085
22-02-2020,26889010.695493557
23-02-2020,28056478.612129334
24-02-2020,27977443.78993249
25-02-2020,27659673.699871648
26-02-2020,27371588.652224477
27-02-2020,27752995.62048162
28-02-2020,27732490.25547814
29-02-2020,27972311.141932312
01-03-2020,27951831.003926076
02-03-2020,27584930.898041014
03-03-2020,27840124.50149848
04-03-2020,27926192.990922414
05-03-2020,28178399.956562806
06-03-2020,27972311.141932312
07-03-2020,28315719.244996816
08-03-2020,28239916.051573247
09-03-2020,28306539.567586623
10-03-2020,27936458.286922775
11-03-2020,27443344.816238035
12-03-2020,27977443.78993249
13-03-2020,27782680.66289529
14-03-2020,25551256.365242317
15-03-2020,26764867.659885243
16-03-2020,26568203.513621148
17-03-2020,26117186.391533546
18-03-2020,26362139.925987896
19-03-2020,26282264.476157084
20-03-2020,25992253.182285763
21-03-2020,25893798.61367561
22-03-2020,19508234.98933733
23-03-2020,25273901.36851068
24-03-2020,20461646.16750884
25-03-2020,19228809.66341432
26-03-2020,19945285.684959754
27-03-2020,19818206.46552886
28-03-2020,19086332.499982882
29-03-2020,20590770.48913385
30-03-2020,20435387.29083017
31-03-2020,20423001.211643945
01-04-2020,20293801.209027193
02-04-2020,20926354.751331802
03-04-2020,20498804.40506751
04-04-2020,20181009.088009425
05-04-2020,21331798.90509277
06-04-2020,20964378.84352169
07-04-2020,22193193.545203447
08-04-2020,22349091.952416793
09-04-2020,22663875.40466056
10-04-2020,21588618.563047323
11-04-2020,20759350.420484122
12-04-2020,22344724.25105884
13-04-2020,22296975.2987755
14-04-2020,22085779.063142065
15-04-2020,22718112.841487713
16-04-2020,22365525.06101302
17-04-2020,21842726.547914613
18-04-2020,21222533.857798986
19-04-2020,22429707.12189259
20-04-2020,22366585.45260595
21-04-2020,22404389.780836876
22-04-2020,22318321.29141295
23-04-2020,22591033.622056823
24-04-2020,22235239.439806093
25-04-2020,20976519.931751706
26-04-2020,22750463.84977051
27-04-2020,22364439.44242285
28-04-2020,22372558.7282401
29-04-2020,22199361.357799314
30-04-2020,22690328.818300944
01-05-2020,21467512.619250584
02-05-2020,21481774.49066646
03-05-2020,23092786.334244836
04-05-2020,23440536.911670044
05-05-2020,23587035.877514243
06-05-2020,23878107.56297849
07-05-2020,23905866.359168015
08-05-2020,23771533.708551083
09-05-2020,22844896.615967903
10-05-2020,24292951.15810861
11-05-2020,24207178.113635384
