Date,Mobility
15-02-2020,16002619.545109052
16-02-2020,16042206.382370649
17-02-2020,15791990.811481431
18-02-2020,15637774.273761358
19-02-2020,15460919.132583536
20-02-2020,15745632.940628232
21-02-2020,15247103.132078715
22-02-2020,15312447.689453239
23-02-2020,15629867.851296213
24-02-2020,16341597.646472095
25-02-2020,16099822.117373781
26-02-2020,15902065.531159539
27-02-2020,16212235.765021015
28-02-2020,16278893.311362844
29-02-2020,16444367.713232841
01-03-2020,16409390.581687467
02-03-2020,16341597.646472095
03-03-2020,16020169.548460685
04-03-2020,15957465.21335143
05-03-2020,16045024.204729676
06-03-2020,16265898.28879157
07-03-2020,16337644.43523952
08-03-2020,16521804.229334703
09-03-2020,16318480.148624439
10-03-2020,16081793.21963225
11-03-2020,16012263.125995535
12-03-2020,16172170.033369517
13-03-2020,16132583.196107922
14-03-2020,15423247.053837027
15-03-2020,15979624.922419291
16-03-2020,16049155.016056003
17-03-2020,15491641.758600192
18-03-2020,15395040.955883253
19-03-2020,15338026.990427913
20-03-2020,15368572.016350813
21-03-2020,15231782.606824486
22-03-2020,11624394.713428572
23-03-2020,15085225.92220928
24-03-2020,12699519.671496274
25-03-2020,11295470.118075376
26-03-2020,11390935.53191877
27-03-2020,11414175.904924314
28-03-2020,11230016.11082913
29-03-2020,11897371.762933435
30-03-2020,12013013.15806306
31-03-2020,11813519.41342748
01-04-2020,11767763.312122071
02-04-2020,12032177.444678139
03-04-2020,11965998.792726211
04-04-2020,11793698.63232875
05-04-2020,12329955.24456064
06-04-2020,12288685.154769061
07-04-2020,13219962.619753366
08-04-2020,13240986.939947672
09-04-2020,13335973.459401166
10-04-2020,13216132.283678683
11-04-2020,12857456.276374802
12-04-2020,13599375.897286082
13-04-2020,13640453.323608732
14-04-2020,13326329.878514681
15-04-2020,13665185.104719829
16-04-2020,13750528.043286838
17-04-2020,13800237.35582482
18-04-2020,13394068.088794194
19-04-2020,13972127.59109892
20-04-2020,14075909.352530822
21-04-2020,14144181.182136094
22-04-2020,14159515.132676492
23-04-2020,14247074.124054736
24-04-2020,14182632.630524144
25-04-2020,13722800.839722963
26-04-2020,14230851.354001073
27-04-2020,14426145.318043794
28-04-2020,14406858.156270824
29-04-2020,14021111.439886717
30-04-2020,14496633.200460305
01-05-2020,14328340.976231275
02-05-2020,14180238.977619156
03-05-2020,14809744.9508832
04-05-2020,15343771.265973182
