Date,Mobility
15-02-2020,17523270.336200003
16-02-2020,17337442.608906936
17-02-2020,17296016.91266246
18-02-2020,17455740.115649834
19-02-2020,17290264.167145133
20-02-2020,17483496.419773232
21-02-2020,16796705.542311016
22-02-2020,16968996.112568725
23-02-2020,17217740.973443616
24-02-2020,17539768.800386015
25-02-2020,18107960.067235645
26-02-2020,17806663.905264612
27-02-2020,17800399.03847857
28-02-2020,17670083.919432294
29-02-2020,17634923.089973863
01-03-2020,17403568.70073669
02-03-2020,17743746.771682788
03-03-2020,18061541.397839833
04-03-2020,17970108.187768623
05-03-2020,17993251.404923674
06-03-2020,18208867.102340832
07-03-2020,18215131.969126873
08-03-2020,18102967.0940843
09-03-2020,17580550.14027606
10-03-2020,14865885.741687851
11-03-2020,17879946.871332116
12-03-2020,17857183.540360063
13-03-2020,18034297.214985147
14-03-2020,17320811.90963521
15-03-2020,17677488.44476732
16-03-2020,18018426.28807941
17-03-2020,18251812.34331728
18-03-2020,17904989.519402143
19-03-2020,17371959.082010932
20-03-2020,17111196.608832665
21-03-2020,17531682.2849983
22-03-2020,14332838.485222494
23-03-2020,17648290.378225256
24-03-2020,14916103.272913616
25-03-2020,13765369.357040599
26-03-2020,14247500.27315336
27-03-2020,14321163.125403857
28-03-2020,14178830.394054202
29-03-2020,15038121.859173156
30-03-2020,14547524.541489692
31-03-2020,14723498.557565792
01-04-2020,14672219.150104351
02-04-2020,14682964.868773026
03-04-2020,14932981.623282619
04-04-2020,15012017.334867455
05-04-2020,15689202.152209982
06-04-2020,14996658.529230433
07-04-2020,16282150.782334104
08-04-2020,15975101.874845736
09-04-2020,16162069.260687795
10-04-2020,16067294.857282935
11-04-2020,16032134.027824512
12-04-2020,17090030.6049059
13-04-2020,16184832.591659846
14-04-2020,16402100.0688947
15-04-2020,16576422.305153104
16-04-2020,16736145.50814047
17-04-2020,16571809.218184758
18-04-2020,16434849.346169438
19-04-2020,17288388.06577106
20-04-2020,16645472.070435252
21-04-2020,16963398.931678012
22-04-2020,16798682.755539298
23-04-2020,16883851.098824464
24-04-2020,17042434.64326285
25-04-2020,16730392.762623139
26-04-2020,17725752.092305705
27-04-2020,16985270.25519836
28-04-2020,17235287.00970795
29-04-2020,17308190.08959246
30-04-2020,17268416.173165686
01-05-2020,17031688.92459417
02-05-2020,17529178.646343958
03-05-2020,18139345.36440502
04-05-2020,18016434.770693775
05-05-2020,18340114.377453867
06-05-2020,18254054.026716996
07-05-2020,18589239.124511756
08-05-2020,18629392.927121524
09-05-2020,18278849.02368974
10-05-2020,19625264.378072795
11-05-2020,18424522.948373042
12-05-2020,16729500.755171433
13-05-2020,18032933.234879784
14-05-2020,18208775.01587017
15-05-2020,18458791.770379763
16-05-2020,18486548.074503157
17-05-2020,19415401.42617297
18-05-2020,18168753.448346116
19-05-2020,18845008.62453868
20-05-2020,18998219.309642725
21-05-2020,19276240.019372996
22-05-2020,19190939.441002116
23-05-2020,19067781.196193587
24-05-2020,17503491.64191951
25-05-2020,17570224.45640543
26-05-2020,19617310.0977708
27-05-2020,18934922.28987791
28-05-2020,19308989.296647735
29-05-2020,19462959.754117772
30-05-2020,19683568.424686268
31-05-2020,19828350.34191787
01-06-2020,19677815.67916894
02-06-2020,19683568.424686268
03-06-2020,19592135.214615062
04-06-2020,19648787.48141084
05-06-2020,19603640.70564973
06-06-2020,19910309.7269551
07-06-2020,20453838.2319177
08-06-2020,19853789.69524504
09-06-2020,20148820.990430027
10-06-2020,19694446.378440663
11-06-2020,19547120.673939668
12-06-2020,19631909.131041836
13-06-2020,19826925.398573346
14-06-2020,20891466.728623778
15-06-2020,19269099.964209396
16-06-2020,19745725.7859021
17-06-2020,19165516.906749096
18-06-2020,18846070.500774357
19-06-2020,19153879.180628713
20-06-2020,19363362.246345542
21-06-2020,19214120.291855417
22-06-2020,18892356.93508445
23-06-2020,19466433.182537135
24-06-2020,19188032.586623866
25-06-2020,19068710.837343544
26-06-2020,18972284.654120997
27-06-2020,18877130.36453314
28-06-2020,19880406.34081945
29-06-2020,18643364.423112284
30-06-2020,19659797.67025095
01-07-2020,19045567.620188497
02-07-2020,19033550.00788512
03-07-2020,19034309.78025111
04-07-2020,18857196.105626028
05-07-2020,17211041.767702173
06-07-2020,19067818.82989184
07-07-2020,19551221.639639303
08-07-2020,18874966.463446736
09-07-2020,19159252.03996305
10-07-2020,19478318.559754796
11-07-2020,18889015.741750807
12-07-2020,17678325.99944662
13-07-2020,19376651.75228362
14-07-2020,19541235.693336617
15-07-2020,18308162.50624337
16-07-2020,17504003.763188213
17-07-2020,17566541.010587044
18-07-2020,17266136.856067717
19-07-2020,17711455.162904352
20-07-2020,17242481.51764396
21-07-2020,17917976.921470534
22-07-2020,18099323.79688097
23-07-2020,18791565.315990835
24-07-2020,18898489.566784784
25-07-2020,18190757.006952178
26-07-2020,17586512.903192416
27-07-2020,18608451.244751137
28-07-2020,19166276.679115087
29-07-2020,18716895.040277068
30-07-2020,18722267.899611402
31-07-2020,18825338.835802995
01-08-2020,17754664.874052238
02-08-2020,18897729.794418793
03-08-2020,19087753.088798955
04-08-2020,19091854.054498598
05-08-2020,17862254.295824714
06-08-2020,18044360.943601143
07-08-2020,18202564.60185653
08-08-2020,17760587.48835354
09-08-2020,18456682.322065763
10-08-2020,17799337.162242893
11-08-2020,18441323.516428735
12-08-2020,18316381.2567168
