Date,Mobility
15-02-2020,32276527.691491257
16-02-2020,32193586.255503707
17-02-2020,32444150.341784004
18-02-2020,32403549.512949057
19-02-2020,32699933.76301726
20-02-2020,32624471.537394017
21-02-2020,29179980.76560542
22-02-2020,31284681.60212565
23-02-2020,31403675.70197512
24-02-2020,32444150.341784004
25-02-2020,32234187.084338654
26-02-2020,32439479.518075075
27-02-2020,32296828.10590873
28-02-2020,32107165.262880854
29-02-2020,31390854.497921955
01-03-2020,32191846.477186054
02-03-2020,32506791.363354083
03-03-2020,32113575.864907436
04-03-2020,32488230.727254257
05-03-2020,32317128.520326205
06-03-2020,32105425.4845632
07-03-2020,32549131.97050668
08-03-2020,31964513.850714512
09-03-2020,32089275.79676096
10-03-2020,31941953.560885686
11-03-2020,31141632.75160151
12-03-2020,30871959.517977368
13-03-2020,30848179.546924587
14-03-2020,29834415.923559755
15-03-2020,30297203.142696757
16-03-2020,30834289.734533697
17-03-2020,29948616.540964395
18-03-2020,30541385.041100796
19-03-2020,30251411.39305918
20-03-2020,30616847.26672404
21-03-2020,30506126.20595471
22-03-2020,23029084.402234975
23-03-2020,28463517.879760534
24-03-2020,23335264.56637949
25-03-2020,22080949.674132153
26-03-2020,21514892.1904398
27-03-2020,21527713.39449297
28-03-2020,21586874.85942774
29-03-2020,24110831.040858734
30-03-2020,21991720.294853922
31-03-2020,21930147.88162157
01-04-2020,21867506.860051498
02-04-2020,22210902.54098123
03-04-2020,22279954.16457789
04-04-2020,22633760.10126321
05-04-2020,24595138.355637163
06-04-2020,22830382.05756169
07-04-2020,23708453.38203079
08-04-2020,24095929.448430773
09-04-2020,23854707.009568337
10-04-2020,23043427.43328455
11-04-2020,24377875.374864057
12-04-2020,27616402.542936306
13-04-2020,25121445.667511042
14-04-2020,23096055.637456838
15-04-2020,24769899.606237076
16-04-2020,25298287.306485754
17-04-2020,24972383.653318115
18-04-2020,25213057.58093653
19-04-2020,28531595.13960504
20-04-2020,26562615.01613088
21-04-2020,26212808.733174562
22-04-2020,26551533.590395365
23-04-2020,26725566.842714697
24-04-2020,26442003.796699658
25-04-2020,26113689.195234448
26-04-2020,29094173.066662088
27-04-2020,27292815.593480673
28-04-2020,26527753.619342584
29-04-2020,27049730.717564683
30-04-2020,27217353.367857434
01-05-2020,25501839.961904515
02-05-2020,27154163.83504333
03-05-2020,28592496.382857464
04-05-2020,28933537.94379027
05-05-2020,28646372.682404026
06-05-2020,29386463.41841571
07-05-2020,29364423.22568058
08-05-2020,29594686.897543408
09-05-2020,29613247.533643227
10-05-2020,26796301.416328356
11-05-2020,30955325.758473273
12-05-2020,30216974.800779246
13-05-2020,30484908.25608574
14-05-2020,30179305.01733558
15-05-2020,30262246.453323126
16-05-2020,30737732.217777386
17-05-2020,26957513.46459452
18-05-2020,29831361.171432815
19-05-2020,30821893.33498889
20-05-2020,31618214.490544062
21-05-2020,31114798.02842179
22-05-2020,31564915.11639185
23-05-2020,31612995.155591108
24-05-2020,29559248.575360764
25-05-2020,31743496.533684205
26-05-2020,31144317.431521222
27-05-2020,31976568.592202406
28-05-2020,31854217.59445354
29-05-2020,32219653.4681184
30-05-2020,33131366.508151833
31-05-2020,29019902.108112473
01-06-2020,33017714.401991226
02-06-2020,32185463.241310034
03-06-2020,33082095.20187895
04-06-2020,32763670.759075623
05-06-2020,32282294.48968847
06-06-2020,32720781.640678998
07-06-2020,28808199.072349474
08-06-2020,33749654.75765867
09-06-2020,32868652.3877983
