Date,Mobility
15-02-2020,15650589.33967472
16-02-2020,15948736.856192522
17-02-2020,16067453.979904676
18-02-2020,16015947.35732477
19-02-2020,16095885.216007479
20-02-2020,16075786.35053225
21-02-2020,14829267.307895146
22-02-2020,15393056.226775179
23-02-2020,15147588.204912324
24-02-2020,16028973.311064262
25-02-2020,15848998.728223614
26-02-2020,15870410.054933738
27-02-2020,15747649.542830782
28-02-2020,15328106.977787979
29-02-2020,15373906.152210105
01-03-2020,15395071.885074252
02-03-2020,15889143.456831012
03-03-2020,15720530.767962875
04-03-2020,15810518.059383197
05-03-2020,15863390.14554106
06-03-2020,15370929.631208224
07-03-2020,15726536.81230969
08-03-2020,15746337.081595886
09-03-2020,15776133.781276641
10-03-2020,15564698.438988257
11-03-2020,15071693.734620415
12-03-2020,14816123.277676888
13-03-2020,14342396.165241327
14-03-2020,13868370.456616737
15-03-2020,14121561.58493645
16-03-2020,14540805.553790221
17-03-2020,14179490.924530972
18-03-2020,14355123.522791788
19-03-2020,14116622.407978553
20-03-2020,13874077.90477452
21-03-2020,13655622.653093457
22-03-2020,10480632.156150505
23-03-2020,13429059.1119497
24-03-2020,11255078.705230596
25-03-2020,10673505.17536344
26-03-2020,10472172.268155726
27-03-2020,10279523.330107672
28-03-2020,10316937.131559169
29-03-2020,11250426.05266908
30-03-2020,10736479.69660197
31-03-2020,10606593.270420222
01-04-2020,10623662.612550516
02-04-2020,10762180.005548868
03-04-2020,10745163.665761633
04-04-2020,10832718.626215084
05-04-2020,11476199.809931856
06-04-2020,10930792.694417007
07-04-2020,10803637.195391161
08-04-2020,10799295.210811332
09-04-2020,10732084.709679082
10-04-2020,9960838.762765754
11-04-2020,10905337.979316084
12-04-2020,11763231.026323117
13-04-2020,11320538.559779055
14-04-2020,10297905.13347286
15-04-2020,11099352.380942088
16-04-2020,10751063.705422334
17-04-2020,10611233.851189086
18-04-2020,10881494.321639089
19-04-2020,11857805.896169247
20-04-2020,11489642.436339146
21-04-2020,11318298.820315104
22-04-2020,11132616.789316671
23-04-2020,11271134.182315025
24-04-2020,11058439.3811348
25-04-2020,11121606.493876252
26-04-2020,11817959.763750883
27-04-2020,11431115.904366558
28-04-2020,10064044.599428488
29-04-2020,10139640.473531367
30-04-2020,10302545.714241723
01-05-2020,9981130.2197439
02-05-2020,10532960.05227336
03-05-2020,11249359.185280161
04-05-2020,11886706.807282906
05-05-2020,11746823.9507066
06-05-2020,11915383.637231681
07-05-2020,12122476.994940236
08-05-2020,12094045.758837434
09-05-2020,12130094.096710978
10-05-2020,11015200.055046756
11-05-2020,12692443.036988907
12-05-2020,12491057.127438137
