Date,Mobility
15-02-2020,19487177.043321203
16-02-2020,19248188.058526155
17-02-2020,19168673.78599257
18-02-2020,19301703.28462775
19-02-2020,19046258.09913884
20-02-2020,19357349.55138593
21-02-2020,17994085.934051763
22-02-2020,19082372.507226456
23-02-2020,19263074.84305085
24-02-2020,19376944.584418092
25-02-2020,19421478.58926899
26-02-2020,19056871.9109203
27-02-2020,19268854.057601642
28-02-2020,19454327.816295095
29-02-2020,19545463.692291867
01-03-2020,19337754.518353768
02-03-2020,19321298.31765991
03-03-2020,19378015.550461423
04-03-2020,19339323.93452292
05-03-2020,19581514.926017884
06-03-2020,19672650.802014656
07-03-2020,19683264.613796115
08-03-2020,19388629.36224288
09-03-2020,19446916.011213545
10-03-2020,19176148.765435714
11-03-2020,18664823.118693676
12-03-2020,18600195.63068479
13-03-2020,18902242.687319573
14-03-2020,18206514.247927412
15-03-2020,18600704.972240698
16-03-2020,18725813.324238423
17-03-2020,18455046.078460593
18-03-2020,18371322.00754537
19-03-2020,18357569.3634256
20-03-2020,18089442.499860257
21-03-2020,15937566.519313283
22-03-2020,14100430.16490761
23-03-2020,14039618.591017578
24-03-2020,13357144.345619356
25-03-2020,13197108.00887046
26-03-2020,13349234.090411983
27-03-2020,13331208.473548975
28-03-2020,13263378.978840182
29-03-2020,14571494.779541994
30-03-2020,13498656.615379421
31-03-2020,13436096.993665516
01-04-2020,13428685.188583968
02-04-2020,13601975.719326805
03-04-2020,13527232.869662287
04-04-2020,13677726.360673055
05-04-2020,14991684.550287263
06-04-2020,13805475.094883269
07-04-2020,14351844.183669595
08-04-2020,14172212.813888535
09-04-2020,14316927.090348508
10-04-2020,14135726.304398293
11-04-2020,14533119.035411488
12-04-2020,16107230.659022067
13-04-2020,14765756.289738243
14-04-2020,14052500.683608897
15-04-2020,14677759.24607978
16-04-2020,14785351.322770407
17-04-2020,14798605.516764352
18-04-2020,14798043.892276928
19-04-2020,16557629.274580961
20-04-2020,14979806.302714564
21-04-2020,14966552.108720623
22-04-2020,14724361.117225656
23-04-2020,15003674.308489969
24-04-2020,14909336.425793285
25-04-2020,14989360.039882772
26-04-2020,16514166.235773394
27-04-2020,15121817.022600453
28-04-2020,14979806.302714564
29-04-2020,14973963.913802171
30-04-2020,14909336.425793285
01-05-2020,14656594.796878463
02-05-2020,15025348.099247191
03-05-2020,16277817.633190826
04-05-2020,15270603.857288785
05-05-2020,15298744.835807426
06-05-2020,15330523.096790202
07-05-2020,15567942.665416103
08-05-2020,15871559.13822004
09-05-2020,15823324.676543409
10-05-2020,15517960.1559156
11-05-2020,16624503.260539541
12-05-2020,16006656.503150202
13-05-2020,16118956.828348294
14-05-2020,16167763.805942431
15-05-2020,16266311.487020753
16-05-2020,16406689.616375886
17-05-2020,15692820.102827597
18-05-2020,16516412.733723093
19-05-2020,16608047.059845686
20-05-2020,16980563.993401747
21-05-2020,17179291.94608915
22-05-2020,17557651.2685576
23-05-2020,17228035.74932168
24-05-2020,16652900.88316769
25-05-2020,17398113.381934535
26-05-2020,17483406.86901891
27-05-2020,17686906.24457537
28-05-2020,17943920.846233435
29-05-2020,17849582.963536754
30-05-2020,17901465.5991076
31-05-2020,16393256.790727224
01-06-2020,17996365.106291704
02-06-2020,17894615.41851347
03-06-2020,17676292.43279391
04-06-2020,18078519.76103777
05-06-2020,18196662.475148257
06-06-2020,18112376.77974561
07-06-2020,16321217.49763679
08-06-2020,18413914.494824488
09-06-2020,18195591.50910493
10-06-2020,17672019.460050672
11-06-2020,18201433.89801732
12-06-2020,18223669.31326197
13-06-2020,17955542.449696623
14-06-2020,16019170.441002006
15-06-2020,18624825.6754625
16-06-2020,18433509.52785665
17-06-2020,18041397.561268426
18-06-2020,18234283.12504343
19-06-2020,18350856.422984757
20-06-2020,18520944.947027687
21-06-2020,17166930.086483818
22-06-2020,18355627.84585382
23-06-2020,18533689.799465727
24-06-2020,18426097.7227751
25-06-2020,18533689.799465727
26-06-2020,18567609.992535163
27-06-2020,18437220.876112465
28-06-2020,17756699.03971611
29-06-2020,18485455.337789096
30-06-2020,19007956.420800023
01-07-2020,18575520.247742537
02-07-2020,18184479.247197643
03-07-2020,18453677.076806318
04-07-2020,18560707.529009517
05-07-2020,18474726.068714518
06-07-2020,18790704.401123792
07-07-2020,18316437.779789496
08-07-2020,18150559.054128207
09-07-2020,18208347.252973046
10-07-2020,18624327.225336675
11-07-2020,18396461.393878985
12-07-2020,17995688.024511162
13-07-2020,18144218.215089984
14-07-2020,17958744.45639653
15-07-2020,17677363.398837242
16-07-2020,17385431.703858092
17-07-2020,16816328.749701295
18-07-2020,17125787.61141763
19-07-2020,17449382.110086437
20-07-2020,17143303.88672473
21-07-2020,17711845.216394104
22-07-2020,17610095.52861587
23-07-2020,17743125.027251057
24-07-2020,17757948.637414154
25-07-2020,17586800.038757976
26-07-2020,16946539.234469272
27-07-2020,16414164.595819032
28-07-2020,17663673.929079074
29-07-2020,17198388.528995484
30-07-2020,17690680.76719279
31-07-2020,15659576.991538698
01-08-2020,16912236.048567127
02-08-2020,16991571.689445995
03-08-2020,17436306.54774721
04-08-2020,17271997.238255072
05-08-2020,15836315.281660877
06-08-2020,16525267.606250593
07-08-2020,16725564.975107148
08-08-2020,16129455.182836635
09-08-2020,16524590.524470054
10-08-2020,17150589.34308308
11-08-2020,16817262.475591347
12-08-2020,17107624.754401337
13-08-2020,17355658.134808697
14-08-2020,17499238.270863738
15-08-2020,16934906.739576
16-08-2020,17404721.75651234
17-08-2020,17858501.01042586
18-08-2020,17674596.66790156
19-08-2020,17878096.043458022
20-08-2020,17551682.53092201
21-08-2020,17897192.62636436
22-08-2020,17476441.23113167
23-08-2020,18113704.38989845
24-08-2020,18148863.289235853
25-08-2020,18192326.328043416
26-08-2020,18211921.361075584
27-08-2020,18326925.242847756
28-08-2020,18048746.191988375
29-08-2020,18296716.398034133
30-08-2020,20232232.69329349
31-08-2020,15156596.875768255
01-09-2020,17071064.179119416
02-09-2020,17129350.828090083
03-09-2020,18177502.71788032
04-09-2020,18165319.489929706
05-09-2020,18120223.860591386
06-09-2020,18350551.442606844
07-09-2020,17829289.065863885
08-09-2020,18243699.622058358
09-09-2020,18098486.89547256
10-09-2020,16804506.731723223
11-09-2020,17347112.18932222
12-09-2020,17271870.889531873
13-09-2020,18147613.691537805
14-09-2020,18634242.172477428
15-09-2020,18571184.100637697
16-09-2020,18436585.185833365
17-09-2020,18255384.399883147
18-09-2020,18365616.85878626
19-09-2020,17715430.215926718
20-09-2020,17986580.454537258
21-09-2020,17510413.707132623
22-09-2020,18944835.17459869
23-09-2020,18865384.076426707
24-09-2020,18939628.4759654
25-09-2020,18987301.313154608
26-09-2020,19081077.571363863
27-09-2020,19403102.65386352
28-09-2020,19240604.566556856
29-09-2020,19005825.38014344
30-09-2020,18094277.097090922
01-10-2020,16967046.210531324
02-10-2020,15895089.489327284
03-10-2020,16760344.828274954
04-10-2020,16551449.231000405
05-10-2020,17019988.920715418
06-10-2020,17212874.484490424
07-10-2020,17486345.28684234
08-10-2020,17910372.75456662
09-10-2020,18096917.47930341
10-10-2020,18236860.332894314
11-10-2020,18353816.62366835
12-10-2020,18042903.80307598
13-10-2020,18120785.48507881
14-10-2020,18125058.457822047
15-10-2020,18378934.2271418
16-10-2020,18790142.776636366
17-10-2020,18810808.77571186
18-10-2020,19087801.40323479
19-10-2020,18910416.531403434
20-10-2020,18751949.610823687
21-10-2020,18498073.841503933
22-10-2020,18133467.163155247
23-10-2020,17874819.97096643
24-10-2020,17767291.068637405
25-10-2020,18147602.80010772
26-10-2020,17578169.136049733
27-10-2020,18460379.125817083
28-10-2020,17944218.88184438
29-10-2020,16075854.999513274
30-10-2020,18129194.190412007
31-10-2020,18158342.96061238
01-11-2020,18166699.38301406
02-11-2020,18115939.996418063
03-11-2020,18326851.177056074
04-11-2020,18018961.731508896
05-11-2020,18030646.509333685
06-11-2020,18205506.45624568
07-11-2020,18615145.58957109
08-11-2020,18364356.369658127
09-11-2020,18555787.974557094
10-11-2020,18606662.818446208
11-11-2020,18346446.210088238
12-11-2020,18394182.22163904
13-11-2020,18352288.59900063
14-11-2020,17948491.85458762
15-11-2020,18409388.824634846
16-11-2020,18484247.131592486
17-11-2020,18348015.62625739
18-11-2020,18220828.516534604
19-11-2020,18326851.177056074
20-11-2020,18372954.598076124
21-11-2020,18528219.511955958
22-11-2020,18608116.777322248
23-11-2020,18608232.234615363
24-11-2020,18715824.31130599
25-11-2020,18831326.64320399
26-11-2020,14326704.797335982
27-11-2020,18801117.79839037
28-11-2020,18842449.79654135
29-11-2020,19037350.94367982
30-11-2020,18940488.13606377
01-12-2020,18922462.519200757
02-12-2020,18935716.713194706
03-12-2020,18990864.529827062
04-12-2020,19013099.94507171
05-12-2020,19286507.573062025
06-12-2020,19384430.455291323
07-12-2020,18955311.74622687
08-12-2020,18948970.90718865
09-12-2020,19350127.269389182
10-12-2020,19675607.056035142
11-12-2020,20047625.53946538
12-12-2020,20093728.96048543
13-12-2020,20948307.313290045
14-12-2020,17105598.279607795
15-12-2020,20582309.850426916
16-12-2020,19450943.23127736
17-12-2020,20058239.351246838
18-12-2020,20080474.766491488
19-12-2020,20412169.043452468
20-12-2020,20785132.144202836
21-12-2020,20475788.73977962
22-12-2020,20417502.090808954
23-12-2020,20462534.545785677
24-12-2020,19873327.217040807
25-12-2020,18694912.55955107
26-12-2020,20367698.21296317
27-12-2020,20797315.37215345
28-12-2020,20589721.655508466
29-12-2020,20469946.350867223
30-12-2020,20528232.99983789
31-12-2020,20876945.10198015
