Date,Mobility
15-02-2020,29943979.362429123
16-02-2020,29735234.578364626
17-02-2020,29943979.362429123
18-02-2020,30083520.136756416
19-02-2020,30134666.20781908
20-02-2020,30131638.462858126
21-02-2020,27007181.828542627
22-02-2020,29060517.313037805
23-02-2020,27639721.794032387
24-02-2020,29980095.239778206
25-02-2020,29689523.35425183
26-02-2020,29740669.4253145
27-02-2020,29589382.258175
28-02-2020,29671209.35963687
29-02-2020,29898012.082375906
01-03-2020,29731950.777463246
02-03-2020,30104605.820391912
03-03-2020,29983379.040679578
04-03-2020,30101578.075430956
05-03-2020,30247430.395620584
06-03-2020,29753292.517039165
07-03-2020,30022522.662989616
08-03-2020,29659462.966824666
09-03-2020,28547047.148645807
10-03-2020,28489589.53172081
11-03-2020,28162645.712904934
12-03-2020,27735560.798012227
13-03-2020,27705500.41058506
14-03-2020,27045301.227090977
15-03-2020,27452683.336575422
16-03-2020,28053785.968976844
17-03-2020,27487416.33569727
18-03-2020,27853759.8327636
19-03-2020,27593868.977636438
20-03-2020,28076004.407465223
21-03-2020,27939747.434039306
22-03-2020,21241518.946895093
23-03-2020,25925555.57185417
24-03-2020,21384349.45468983
25-03-2020,20473854.762832295
26-03-2020,20131880.75030284
27-03-2020,20017586.15942488
28-03-2020,20055853.082822457
29-03-2020,22159201.883527417
30-03-2020,20513875.084054794
31-03-2020,20455540.768217336
01-04-2020,20380025.2126178
02-04-2020,20658850.70533196
03-04-2020,20814042.316344872
04-04-2020,21200338.74219382
05-04-2020,22658518.553118285
06-04-2020,21319049.888826042
07-04-2020,22261614.421876084
08-04-2020,22425524.680740252
09-04-2020,22177380.218425293
10-04-2020,20334793.039193884
11-04-2020,23173606.45561811
12-04-2020,24961501.77437898
13-04-2020,23319714.831748158
14-04-2020,21396830.954131342
15-04-2020,23358237.81108616
16-04-2020,23627724.012977034
17-04-2020,23519740.96796141
18-04-2020,23748438.68080852
19-04-2020,26396815.375217143
20-04-2020,25192726.98543835
21-04-2020,25043846.920287766
22-04-2020,24843820.784074523
23-04-2020,24828790.590360936
24-04-2020,24200149.136178523
25-04-2020,24223385.86586252
26-04-2020,25978449.108175684
27-04-2020,23791378.21590078
28-04-2020,22201749.702962164
29-04-2020,22855637.34059391
30-04-2020,22925718.049243573
01-05-2020,22078992.520173375
02-05-2020,23315042.22005348
03-05-2020,25037017.329978522
04-05-2020,24872094.712484807
05-05-2020,24974386.85461014
06-05-2020,25667674.170492344
07-05-2020,25915818.632807303
08-05-2020,26158272.192231964
09-05-2020,26299707.956667334
10-05-2020,24552474.79816082
11-05-2020,27183938.173879918
12-05-2020,26911424.227028087
13-05-2020,27001969.97634121
14-05-2020,26875052.293738585
15-05-2020,27087701.521676496
16-05-2020,27766976.935040735
17-05-2020,24915534.494325772
18-05-2020,27271200.122291666
19-05-2020,27737684.715434827
20-05-2020,28397883.89892891
21-05-2020,28343454.026964866
22-05-2020,28334735.37911362
23-05-2020,28921313.99711623
24-05-2020,26877197.40722101
25-05-2020,29043052.888709407
26-05-2020,28563945.20384157
27-05-2020,29087887.41390974
28-05-2020,28869547.28308153
29-05-2020,29115284.64340757
30-05-2020,29795436.75568426
31-05-2020,26356282.942113806
01-06-2020,29581769.236550733
02-06-2020,29236767.479060322
03-06-2020,29714998.4650157
04-06-2020,29542369.558300275
05-06-2020,29218453.484445356
06-06-2020,30095603.987974342
07-06-2020,26719342.638278756
08-06-2020,30557165.846048478
09-06-2020,29711714.66411431
10-06-2020,29766144.536078356
11-06-2020,29829913.69886569
12-06-2020,29551708.849123564
13-06-2020,30084113.65110256
14-06-2020,27049570.257996008
15-06-2020,30529512.560610227
16-06-2020,29948112.733617067
17-06-2020,30066311.768368445
18-06-2020,29966170.672291603
19-06-2020,29242822.96898223
20-06-2020,30816544.589294806
21-06-2020,28200623.519170128
22-06-2020,29921336.147091273
23-06-2020,30087653.507944357
24-06-2020,30381509.19437211
25-06-2020,29915024.60122894
26-06-2020,29669907.88387494
27-06-2020,30075395.003251303
28-06-2020,28921564.120490585
29-06-2020,30187538.54808077
30-06-2020,30635965.2025494
01-07-2020,30608311.917111143
02-07-2020,30445278.357159432
03-07-2020,29597420.073236357
04-07-2020,30959113.108583048
05-07-2020,29718020.277410578
06-07-2020,30563477.39191081
07-07-2020,30448562.15806082
08-07-2020,30635965.2025494
09-07-2020,30275933.251345396
10-07-2020,30194726.79285557
11-07-2020,30508791.46400635
12-07-2020,29627474.52809746
13-07-2020,30615500.16188594
14-07-2020,30157734.21659403
15-07-2020,30315332.92959586
16-07-2020,29640103.55238819
17-07-2020,29171211.857256107
18-07-2020,29649186.787271056
19-07-2020,28800957.98375029
20-07-2020,28345207.424789783
21-07-2020,29288790.249035444
22-07-2020,29040645.786720484
23-07-2020,29519753.471588317
24-07-2020,28920039.64998019
25-07-2020,29049729.021603357
26-07-2020,28416556.548009418
27-07-2020,29365182.50354744
28-07-2020,28178013.365024243
29-07-2020,27133412.74578929
30-07-2020,28880896.027670156
31-07-2020,26810885.48272767
01-08-2020,28292672.542933818
02-08-2020,27817098.782341715
03-08-2020,29013869.200194694
04-08-2020,28910700.359156903
05-08-2020,27497746.78909028
06-08-2020,27195172.454811282
07-08-2020,25826655.76172141
08-08-2020,26240861.528949033
09-08-2020,26785262.847114585
10-08-2020,26774655.14172133
11-08-2020,26831236.059733868
12-08-2020,27785290.9296557
13-08-2020,27985317.065868944
14-08-2020,28185343.20208219
15-08-2020,27292029.749986738
16-08-2020,28356833.42137866
17-08-2020,28563433.091960732
18-08-2020,28442206.3122484
19-08-2020,28632893.15763836
20-08-2020,28245207.920996115
21-08-2020,28203401.14075673
22-08-2020,28581234.974694848
23-08-2020,29268204.812148653
24-08-2020,28878630.517964397
25-08-2020,28954402.129504357
26-08-2020,29235634.72420744
27-08-2020,29744546.740562018
28-08-2020,29294225.095985316
29-08-2020,30207491.476863384
30-08-2020,33644738.435193636
31-08-2020,22018284.163538963
01-09-2020,26247576.655601013
02-09-2020,26014206.33105922
03-09-2020,28702353.223315988
04-09-2020,28351660.562935278
05-09-2020,28562300.33710785
06-09-2020,27690578.747962665
07-09-2020,29235634.72420744
08-09-2020,28569123.994851027
09-09-2020,28562812.448988695
10-09-2020,27160843.036479086
11-09-2020,27899329.46459324
12-09-2020,27880138.771065813
13-09-2020,28677101.107300583
14-09-2020,28798333.819578983
15-09-2020,28889756.267804567
16-09-2020,28656641.999203194
17-09-2020,28232584.829271447
18-09-2020,28591086.377398983
19-09-2020,28169180.253515724
20-09-2020,28987484.32932641
21-09-2020,27232933.198894087
22-09-2020,29269599.55550802
23-09-2020,29866906.27512723
24-09-2020,29385391.488270476
25-09-2020,29022952.435077563
26-09-2020,30145219.65596055
27-09-2020,30327694.03281403
28-09-2020,29695154.06732427
29-09-2020,29428074.967422314
30-09-2020,28960093.03239466
01-10-2020,27474031.008717414
02-10-2020,25550384.8958454
03-10-2020,27276776.561524697
04-10-2020,26623651.159148145
05-10-2020,27901115.923610114
06-10-2020,27646659.915432826
07-10-2020,28201283.155900203
08-10-2020,28105046.50369678
09-10-2020,28718004.06000161
10-10-2020,29023350.08330114
11-10-2020,28706507.790563755
12-10-2020,29093942.903831653
13-10-2020,29115284.64340757
14-10-2020,29205830.392720688
15-10-2020,29236511.4231199
16-10-2020,29089128.69985381
17-10-2020,29690737.511570014
18-10-2020,29770043.047385704
19-10-2020,30009474.794415474
20-10-2020,29139654.12794444
21-10-2020,29429605.37049878
22-10-2020,28689730.13159132
23-10-2020,28825987.105017234
24-10-2020,27980791.979023494
25-10-2020,28626467.148118764
26-10-2020,27870549.35686817
27-10-2020,28928535.30308299
28-10-2020,28989276.72090937
29-10-2020,27267551.734358672
30-10-2020,28799210.518491443
31-10-2020,29076903.256352726
01-11-2020,28935973.671232134
02-11-2020,29298783.24402273
03-11-2020,29320124.983598653
04-11-2020,29256355.82081132
05-11-2020,28428962.5775517
06-11-2020,29272006.657496944
07-11-2020,29564729.589071807
08-11-2020,28696547.85676842
09-11-2020,29647068.802414525
10-11-2020,29335155.177312236
11-11-2020,29650352.6033159
12-11-2020,29295755.49906178
13-11-2020,28871698.329130024
14-11-2020,29019957.75130857
15-11-2020,29435546.396763425
16-11-2020,29483158.543550357
17-11-2020,28919816.655231733
18-11-2020,29837755.64780448
19-11-2020,29410670.732911777
20-11-2020,29171865.561420105
21-11-2020,30067330.059564058
22-11-2020,29877405.449429292
23-11-2020,29901524.810591817
24-11-2020,29668410.541990444
25-11-2020,30455527.40808715
26-11-2020,22062862.632798873
27-11-2020,30331637.47044548
28-11-2020,29988530.703063134
29-11-2020,30534320.832021996
30-11-2020,30243498.823121272
01-12-2020,29895213.26472948
02-12-2020,30307267.985908605
03-12-2020,29904552.55555277
04-12-2020,29411291.375883814
05-12-2020,30372676.082863588
06-12-2020,30235030.29864437
07-12-2020,30143357.72704444
08-12-2020,29762240.092204943
09-12-2020,30307524.041849032
10-12-2020,27617226.10354377
11-12-2020,31027554.88306506
12-12-2020,31068849.551423594
13-12-2020,31757208.199670695
14-12-2020,31502502.06811906
15-12-2020,31399333.22708127
16-12-2020,30709329.71210044
17-12-2020,31090447.346939936
18-12-2020,31184897.540126465
19-12-2020,32113194.114718124
20-12-2020,32571722.295265235
21-12-2020,32105243.63468814
22-12-2020,32029728.079088602
23-12-2020,33041496.62187585
24-12-2020,33647778.04528673
25-12-2020,24915802.41539833
26-12-2020,30621191.06477623
27-12-2020,32332552.536741953
28-12-2020,32259814.602729015
29-12-2020,31887159.55980035
30-12-2020,32356671.89790447
31-12-2020,32462247.84093118
