Date,Mobility
15-02-2020,65595134.2199099
16-02-2020,65106898.52940622
17-02-2020,65670702.35964825
18-02-2020,65511765.00115962
19-02-2020,65202269.99406266
20-02-2020,65444576.57130157
21-02-2020,60434509.24773209
22-02-2020,64535293.62015227
23-02-2020,64832809.005251236
24-02-2020,65345026.56365906
25-02-2020,64868793.119061545
26-02-2020,64888573.82007148
27-02-2020,64606683.21690454
28-02-2020,64908377.144989565
29-02-2020,66039584.71759132
01-03-2020,64801026.05833513
02-03-2020,65511765.00115962
03-03-2020,65345026.56365906
04-03-2020,65626917.166826
05-03-2020,65563351.27299381
06-03-2020,65781675.98232855
07-03-2020,66174540.208175786
08-03-2020,65443997.94043322
09-03-2020,65583131.97400375
10-03-2020,64690052.435654834
11-03-2020,63197162.32934542
12-03-2020,63014243.10295263
13-03-2020,63034046.42787073
14-03-2020,62684388.76397739
15-03-2020,63847401.90740338
16-03-2020,63438890.27571596
17-03-2020,61199900.991456434
18-03-2020,61874655.820470594
19-03-2020,61088348.73790775
20-03-2020,61532799.23558918
21-03-2020,62024634.838210575
22-03-2020,47933387.85726749
23-03-2020,54659847.43384682
24-03-2020,45965376.32028097
25-03-2020,44694433.45933218
26-03-2020,44686053.749451876
27-03-2020,44495333.44404717
28-03-2020,45360252.57150586
29-03-2020,49790936.530717604
30-03-2020,45765675.05021945
31-03-2020,45492164.15693281
01-04-2020,45607316.32259918
02-04-2020,45750072.89219559
03-04-2020,46194523.38987701
04-04-2020,47623246.347577706
05-04-2020,51208235.87338051
06-04-2020,47393475.39929701
07-04-2020,49243779.00069538
08-04-2020,49291164.10563534
09-04-2020,48973289.38865809
10-04-2020,48988891.54668197
11-04-2020,50794876.57220604
12-04-2020,57464572.439585485
13-04-2020,51589540.74074101
14-04-2020,48989470.177550316
15-04-2020,51732875.94120577
16-04-2020,52233091.25370744
17-04-2020,52459217.04205412
18-04-2020,53387724.68725315
19-04-2020,59743724.38064142
20-04-2020,53579000.99961806
21-04-2020,52678120.382257216
22-04-2020,52928228.03850805
23-04-2020,52828678.03086556
24-04-2020,52943251.56566357
25-04-2020,52867127.41896501
26-04-2020,59009003.56991277
27-04-2020,52852081.26790135
28-04-2020,52169525.35987525
29-04-2020,52503002.234876364
30-04-2020,52562389.58572248
01-05-2020,51839648.39699184
02-05-2020,54177654.30584185
03-05-2020,60533653.99923012
04-05-2020,56798662.83177918
05-05-2020,56961801.357162036
06-05-2020,58248323.75222655
07-05-2020,58442666.59365713
08-05-2020,59046054.44982717
09-05-2020,60709282.90575485
10-05-2020,54348083.15109274
11-05-2020,61793638.756468676
12-05-2020,60316974.68686781
13-05-2020,60400343.905618094
14-05-2020,60094471.43454701
15-05-2020,60463353.79249008
16-05-2020,63357339.828662015
17-05-2020,54617994.13226166
18-05-2020,63568396.842036866
19-05-2020,61901012.46703128
20-05-2020,62567966.21703352
21-05-2020,62960830.44288076
22-05-2020,65001298.342723645
23-05-2020,66287264.73082794
24-05-2020,60047154.20133151
25-05-2020,60988685.61072447
26-05-2020,63549194.7718953
27-05-2020,64410491.363328114
28-05-2020,64545446.853912584
29-05-2020,64231773.30382954
30-05-2020,67435254.34709844
31-05-2020,59418649.83942875
01-06-2020,67261248.213638
02-06-2020,65883555.520811275
03-06-2020,66383770.83331295
04-06-2020,65700636.294418484
05-06-2020,66022133.5474216
06-06-2020,67034010.4113709
07-06-2020,59152361.39428569
08-06-2020,66951174.57567267
09-06-2020,64898727.053831786
10-06-2020,64847140.78199759
11-06-2020,65490112.66409567
12-06-2020,64600655.66177263
13-06-2020,65835035.778042756
14-06-2020,58874649.33410482
15-06-2020,67661913.51849717
16-06-2020,66109681.309157945
17-06-2020,65815788.460084856
18-06-2020,65700636.294418484
19-06-2020,65478133.04209767
20-06-2020,68411703.10419764
21-06-2020,63630918.593673125
22-06-2020,67201282.23192352
23-06-2020,67102310.855149366
24-06-2020,67018941.6363991
25-06-2020,66752653.191256024
26-06-2020,66105502.76617187
27-06-2020,67792134.45913535
28-06-2020,65628179.93156212
29-06-2020,65799607.67119262
30-06-2020,66157066.41409791
01-07-2020,65831390.61810873
02-07-2020,64378129.78554365
03-07-2020,63663212.2997331
04-07-2020,67390890.52340783
05-07-2020,67049079.18634274
06-07-2020,66672883.88462345
07-07-2020,65799607.67119262
08-07-2020,66792237.217184044
09-07-2020,65799607.67119262
10-07-2020,66128906.00320768
