Date,Mobility
15-02-2020,44073917.821555704
16-02-2020,44338347.08460407
17-02-2020,44067027.36961161
18-02-2020,43841984.479783
19-02-2020,43948199.62761398
20-02-2020,43539717.43423462
21-02-2020,39987786.10981215
22-02-2020,42656902.44208707
23-02-2020,43095353.79679999
24-02-2020,44344069.22682666
25-02-2020,43440392.73834773
26-02-2020,43659713.48595375
27-02-2020,44165303.16216187
28-02-2020,43672326.08012042
29-02-2020,44192745.56355334
01-03-2020,43414977.40951527
02-03-2020,44212438.75016322
03-03-2020,43785431.679895476
04-03-2020,44205548.298219144
05-03-2020,43841984.479783
06-03-2020,43985059.24089163
07-03-2020,43968870.98344622
08-03-2020,43496945.53823526
09-03-2020,43611219.4477318
10-03-2020,43554666.64784428
11-03-2020,42558746.05592166
12-03-2020,42145519.88954208
13-03-2020,41987305.774324685
14-03-2020,41398699.06605993
15-03-2020,41954809.85304901
16-03-2020,42296653.41231626
17-03-2020,41241843.40106316
18-03-2020,41781956.07110595
19-03-2020,41418392.25266981
20-03-2020,41946870.49776829
21-03-2020,41646749.93116376
22-03-2020,31486987.810289554
23-03-2020,38940583.84511206
24-03-2020,32184645.973211356
25-03-2020,30443072.867528085
26-03-2020,29591205.20593646
27-03-2020,29523017.981104627
28-03-2020,29822948.407210026
29-03-2020,32850955.319035128
30-03-2020,30257036.06992097
31-03-2020,30073596.76637024
01-04-2020,29922463.243596047
02-04-2020,30073596.76637024
03-04-2020,30199314.960311957
04-04-2020,30844284.327965103
05-04-2020,33621833.02112913
06-04-2020,31563472.609556656
07-04-2020,32630107.186253212
08-04-2020,32837793.50891493
09-04-2020,32650778.542085446
10-04-2020,32100199.756819833
11-04-2020,33171007.885019235
12-04-2020,38024702.510191455
13-04-2020,34698123.622481555
14-04-2020,31458615.911946297
15-04-2020,34338135.46732417
16-04-2020,34967106.718031034
17-04-2020,34503049.893986516
18-04-2020,34952945.53314462
19-04-2020,38915766.40450371
20-04-2020,36817041.45048912
21-04-2020,36489359.07610828
22-04-2020,36489359.07610828
23-04-2020,36415449.70905385
24-04-2020,35951392.88500933
25-04-2020,35805791.36395861
26-04-2020,39555013.629934266
27-04-2020,37500228.88164054
28-04-2020,37160912.082315385
29-04-2020,37316789.5780898
30-04-2020,37637581.50052657
01-05-2020,35825674.69106761
02-05-2020,38131227.204906404
03-05-2020,39096869.08861147
04-05-2020,39368688.490987025
05-05-2020,39041006.116606176
06-05-2020,40164003.35269113
07-05-2020,40057788.20486014
08-05-2020,40295443.68885543
09-05-2020,40564236.64390578
10-05-2020,36688296.8092222
11-05-2020,41903169.104817145
12-05-2020,41136845.23522425
