Date,Mobility
15-02-2020,51296540.72490027
16-02-2020,51465209.387022555
17-02-2020,51782422.335022695
18-02-2020,51370570.31972637
19-02-2020,51496917.441529825
20-02-2020,51450734.67512339
21-02-2020,45039899.482090436
22-02-2020,48719690.983788945
23-02-2020,50565202.22712049
24-02-2020,51582045.61839312
25-02-2020,50930871.47601037
26-02-2020,51457972.03107298
27-02-2020,51476307.96905974
28-02-2020,51240847.06806092
29-02-2020,51641600.501320064
01-03-2020,51409515.73018322
02-03-2020,52088536.70098563
03-03-2020,51064455.95376342
04-03-2020,51897670.87478897
05-03-2020,51598793.8647756
06-03-2020,51602655.090863205
07-03-2020,52337369.718504965
08-03-2020,53286935.774675444
09-03-2020,41448896.63668942
10-03-2020,50264737.52550283
11-03-2020,48622293.285783805
12-03-2020,48130276.91509045
13-03-2020,47913151.9520784
14-03-2020,45003443.61196311
15-03-2020,44845672.7852246
16-03-2020,46042484.167310126
17-03-2020,44645496.81524843
18-03-2020,45046250.248507574
19-03-2020,44954987.31107336
20-03-2020,44754610.59444379
21-03-2020,43632029.553837776
22-03-2020,32243700.50541907
23-03-2020,41287882.08301632
24-03-2020,32568552.302675605
25-03-2020,30897776.13831127
26-03-2020,30444705.17807477
27-03-2020,30177536.22256868
28-03-2020,30530318.451163687
29-03-2020,33868911.40252999
30-03-2020,31103116.6764071
31-03-2020,30476413.232582044
01-04-2020,30237091.10549562
02-04-2020,30617235.06628467
03-04-2020,30895502.60382795
04-04-2020,31652899.491769705
05-04-2020,34512848.18896316
06-04-2020,31570662.34854276
07-04-2020,31584034.465063266
08-04-2020,31717618.942816313
09-04-2020,31759940.48313514
10-04-2020,30549957.73118252
11-04-2020,32591366.965903
12-04-2020,37052540.95787533
13-04-2020,33350067.19587682
14-04-2020,30708012.907493256
15-04-2020,32808491.928915054
16-04-2020,32608115.21228548
17-04-2020,32721090.217568442
18-04-2020,33383848.038214
19-04-2020,37967507.92590219
20-04-2020,34174256.32269509
21-04-2020,33382260.346609723
22-04-2020,33515844.824362766
23-04-2020,33523082.18031235
24-04-2020,34008963.79043478
25-04-2020,33816309.52598041
26-04-2020,38752266.54603797
27-04-2020,35289600.007351525
28-04-2020,34304464.67058617
29-04-2020,35362527.006798975
30-04-2020,35117070.11914162
01-05-2020,33381775.250384092
02-05-2020,36113789.1341698
03-05-2020,37299585.53713696
04-05-2020,37238158.61303351
05-05-2020,36618692.52515803
06-05-2020,37303848.25653138
07-05-2020,37051154.01292445
08-05-2020,37568743.67755415
09-05-2020,38465374.707594246
10-05-2020,34570129.53740678
11-05-2020,39832927.53963198
12-05-2020,38528305.72038316
13-05-2020,38953529.852199994
14-05-2020,38747018.3749995
15-05-2020,39485594.22872886
16-05-2020,41009413.79881964
17-05-2020,35154511.44091301
18-05-2020,39823416.649199076
19-05-2020,40111195.07717525
20-05-2020,40810825.52044776
21-05-2020,39897446.244025186
22-05-2020,40990592.764607236
23-05-2020,41525415.77184506
24-05-2020,37855018.016844854
25-05-2020,41387970.06800441
26-05-2020,40747894.50765884
27-05-2020,41247148.234301776
28-05-2020,41159746.52295516
