Date,Mobility
15-02-2020,47780469.990961835
16-02-2020,48404033.70005763
17-02-2020,48273340.80129691
18-02-2020,48237493.38001418
19-02-2020,48418582.335801356
20-02-2020,48976048.39352222
21-02-2020,44735052.63410566
22-02-2020,46104675.9213667
23-02-2020,47436208.84951721
24-02-2020,47896963.69936323
25-02-2020,48013457.40776461
26-02-2020,47907780.87431328
27-02-2020,47887998.37378672
28-02-2020,47583316.1144185
29-02-2020,47592281.439995006
01-03-2020,47730073.93393538
02-03-2020,48058270.15462385
03-03-2020,48210611.28430796
04-03-2020,48586988.38624164
05-03-2020,48309188.22257963
06-03-2020,48129964.99718929
07-03-2020,47984723.46268485
08-03-2020,48079568.94016284
09-03-2020,47805486.35627122
10-03-2020,47608332.47972788
11-03-2020,45953837.19567174
12-03-2020,45502047.67140222
13-03-2020,44801205.80957376
14-03-2020,43397642.47449671
15-03-2020,43852827.8951988
16-03-2020,44664915.71962252
17-03-2020,43770637.56102111
18-03-2020,44055537.31986278
19-03-2020,43838600.942792885
20-03-2020,44231042.965482734
21-03-2020,43358063.59242031
22-03-2020,32390139.196104933
23-03-2020,40257044.07580143
24-03-2020,31701924.71553019
25-03-2020,30482818.470626302
26-03-2020,29814092.56928689
27-03-2020,29801409.66394
28-03-2020,29889169.427261624
29-03-2020,33802318.4113741
30-03-2020,30401822.738123246
31-03-2020,30228182.822900128
01-04-2020,30156487.980334684
02-04-2020,30416371.373866968
03-04-2020,30466417.985509027
04-04-2020,31156456.553410735
05-04-2020,34859768.755632974
06-04-2020,31281901.706365336
07-04-2020,31314367.11223878
08-04-2020,31977509.703410972
09-04-2020,31830402.438509684
10-04-2020,30125524.978450388
11-04-2020,32660099.230748616
12-04-2020,37456709.198512465
13-04-2020,33855677.633308984
14-04-2020,29684902.07451532
15-04-2020,32900535.688115455
16-04-2020,32524158.586181775
17-04-2020,32518575.27601455
18-04-2020,33056272.714232143
19-04-2020,38591437.69550402
20-04-2020,34651742.18004642
21-04-2020,34603561.2988012
22-04-2020,34881361.462463215
23-04-2020,34917208.88374593
24-04-2020,35010202.51185039
25-04-2020,34847044.20721622
26-04-2020,39025310.44964381
27-04-2020,36066136.57109682
28-04-2020,35842100.59884725
29-04-2020,36114666.89772644
30-04-2020,36283072.94816672
01-05-2020,34015481.68458045
02-05-2020,36808087.481037416
03-05-2020,38207960.99839067
04-05-2020,38338961.699465916
05-05-2020,37821060.64279817
06-05-2020,39140246.22996289
07-05-2020,39176093.65124562
08-05-2020,39640230.51650092
09-05-2020,39335548.257132694
10-05-2020,36356325.718814485
11-05-2020,40755162.63194262
12-05-2020,40154749.55775938
13-05-2020,40371685.93482928
14-05-2020,39946778.50626598
15-05-2020,40242509.321081
