Date,Mobility
15-02-2020,11057125.241850894
16-02-2020,11210988.33506609
17-02-2020,11380261.146007728
18-02-2020,11673279.866859447
19-02-2020,11426958.467285581
20-02-2020,11272219.435022928
21-02-2020,10402874.008237462
22-02-2020,11115598.372974867
23-02-2020,11263192.236618329
24-02-2020,11447406.597187899
25-02-2020,11303446.64142476
26-02-2020,11165461.434034526
27-02-2020,10985817.317542313
28-02-2020,10831251.972179344
29-02-2020,11000056.615022466
01-03-2020,10974977.84389322
02-03-2020,11262021.816372037
03-03-2020,11282296.259374669
04-03-2020,11226398.052792534
05-03-2020,11302978.473326243
06-03-2020,11009959.752474524
07-03-2020,11262255.900421295
08-03-2020,11242215.541467922
09-03-2020,11329869.51969998
10-03-2020,11140148.578856023
11-03-2020,10798844.988139879
12-03-2020,10578712.382791974
13-03-2020,10490824.320510658
14-03-2020,10087179.606740957
15-03-2020,10391862.70053099
16-03-2020,10774173.987959575
17-03-2020,10491760.65670769
18-03-2020,10615272.48256851
19-03-2020,10533827.336758612
20-03-2020,10436738.389173009
21-03-2020,10212269.623797009
22-03-2020,7908225.395316516
23-03-2020,9782132.277211173
24-03-2020,8171949.979310041
25-03-2020,7831522.327641356
26-03-2020,7688438.3109256765
27-03-2020,7658494.814520243
28-03-2020,7626739.04287032
29-03-2020,8507331.714253819
30-03-2020,7904348.045995593
31-03-2020,7816520.38086385
01-04-2020,7724764.326652953
02-04-2020,7816754.464913109
03-04-2020,7806383.159362534
04-04-2020,7918353.259426489
05-04-2020,8696818.571048517
06-04-2020,8012216.070080711
07-04-2020,8046556.123663814
08-04-2020,8073213.0859882925
09-04-2020,8053640.895133433
10-04-2020,7691360.609266882
11-04-2020,8190689.766326633
12-04-2020,9269970.179809114
13-04-2020,8530171.724406946
14-04-2020,7792612.029980895
15-04-2020,8226608.01110497
16-04-2020,7943492.42770531
17-04-2020,7892632.633299045
18-04-2020,7973783.297910111
19-04-2020,9160055.796430249
20-04-2020,8427177.782989359
21-04-2020,8212612.155065416
22-04-2020,8237925.010243919
23-04-2020,8304836.377374829
24-04-2020,8238800.949291378
25-04-2020,8187472.9867865965
26-04-2020,9497430.998067237
27-04-2020,8755118.015272807
28-04-2020,8682700.06786751
29-04-2020,8667524.434190324
30-04-2020,8630964.334413787
01-05-2020,8166148.917836823
02-05-2020,8613447.860244019
03-05-2020,8842426.472547801
04-05-2020,8651880.63241462
05-05-2020,8527726.9515556
06-05-2020,8610516.204511471
07-05-2020,8748735.495950963
08-05-2020,8759280.488401221
09-05-2020,8825957.771482872
10-05-2020,8413234.81955034
11-05-2020,9117398.30113936
12-05-2020,8932949.856520532
13-05-2020,8825315.916484673
14-05-2020,8876817.565889139
15-05-2020,8769825.480851479
16-05-2020,8984157.024726164
17-05-2020,8424247.980099114
18-05-2020,9055759.43023358
19-05-2020,9065428.483636377
20-05-2020,9136970.491994217
21-05-2020,9151912.041622147
22-05-2020,9403505.937421143
23-05-2020,9387393.967546921
24-05-2020,8886201.495484447
25-05-2020,9305133.279839141
26-05-2020,9298690.363367721
27-05-2020,9406324.30340358
28-05-2020,9671749.72573379
29-05-2020,9599973.633326694
30-05-2020,9777510.993375584
31-05-2020,8778273.074249756
01-06-2020,9948422.392662032
02-06-2020,9932778.590886328
03-06-2020,9288787.225915663
04-06-2020,9349957.92872293
05-06-2020,9200899.163634349
06-06-2020,9297927.714070372
07-06-2020,8779851.265444987
08-06-2020,9667353.168556118
09-06-2020,9476929.975564389
10-06-2020,9452085.288484402
11-06-2020,9584797.999649506
12-06-2020,9456655.532561757
13-06-2020,9512553.739143891
14-06-2020,8666710.745134741
15-06-2020,10071231.966375077
16-06-2020,10050081.584324988
17-06-2020,9794559.299446836
18-06-2020,9896452.57515905
19-06-2020,9861002.49847923
20-06-2020,10033501.44635225
21-06-2020,9857899.0086893
22-06-2020,10163690.27273375
23-06-2020,10173593.410185806
24-06-2020,10065959.47014995
25-06-2020,10086641.684101524
26-06-2020,9824442.398702696
27-06-2020,10014163.339546653
28-06-2020,9929441.017047139
29-06-2020,10070763.79827656
30-06-2020,10336891.472754544
01-07-2020,10163456.188684491
02-07-2020,10061094.744873762
03-07-2020,10143181.745681858
04-07-2020,10280698.784973577
05-07-2020,10391030.296692723
06-07-2020,10374561.595627796
07-07-2020,10159059.63150682
08-07-2020,9934356.78208156
09-07-2020,9908809.8428538
10-07-2020,9468370.945258304
11-07-2020,9488350.907062104
12-07-2020,9976546.109273933
13-07-2020,9710295.7876545
14-07-2020,9807384.735240102
15-07-2020,9914784.591226703
16-07-2020,9852911.636271663
17-07-2020,9659435.993248234
18-07-2020,9853085.323171346
19-07-2020,10110837.01163427
20-07-2020,9830347.39253468
21-07-2020,10103161.424924683
22-07-2020,10032087.58466536
