Date,Mobility
15-02-2020,27374416.81913578
16-02-2020,27374416.81913578
17-02-2020,28302526.909026165
18-02-2020,28489142.25480381
19-02-2020,27685077.43373005
20-02-2020,28356034.884345684
21-02-2020,26295983.07415862
22-02-2020,26907953.56676713
23-02-2020,28026262.12138906
24-02-2020,28267618.73837925
25-02-2020,28375867.98491132
26-02-2020,28915218.353837937
27-02-2020,27963425.05155194
28-02-2020,28494621.237491418
29-02-2020,27891258.887197234
01-03-2020,27608794.164669257
02-03-2020,28190427.550664112
03-03-2020,28138815.439078286
04-03-2020,29178303.935127467
05-03-2020,28500821.172382284
06-03-2020,28859756.130422134
07-03-2020,28514000.37872987
08-03-2020,28660682.530500162
09-03-2020,27493111.6873533
10-03-2020,20085352.126196165
11-03-2020,28935772.406606838
12-03-2020,28278843.69663055
13-03-2020,28551258.372437663
14-03-2020,27867121.71547444
15-03-2020,28388267.85469305
16-03-2020,28253985.57270449
17-03-2020,27560973.78055085
18-03-2020,28316822.64254161
19-03-2020,27959783.548235465
20-03-2020,27605152.661352776
21-03-2020,26127188.196487736
22-03-2020,19738945.62002656
23-03-2020,21145010.91341298
24-03-2020,19742283.388166796
25-03-2020,19129591.943355016
26-03-2020,19826849.422303244
27-03-2020,19809424.529161073
28-03-2020,19574267.847061757
29-03-2020,20724867.756393626
30-03-2020,20150876.209696177
31-03-2020,20186959.29187353
01-04-2020,20307666.792549916
02-04-2020,19848578.386602577
03-04-2020,20349949.809618138
04-04-2020,20290183.51504517
05-04-2020,21506749.653840885
06-04-2020,19944427.763352904
07-04-2020,21056082.42375679
08-04-2020,20629285.37251939
09-04-2020,20486790.523181096
10-04-2020,20217505.007000703
11-04-2020,20615593.822482053
12-04-2020,22321073.130149018
13-04-2020,20746805.32920647
14-04-2020,20726972.228640843
15-04-2020,21969838.39576914
16-04-2020,21418029.7726982
17-04-2020,21446017.056250982
18-04-2020,21566666.17256479
19-04-2020,22932589.66343035
20-04-2020,21745185.71971786
21-04-2020,22099816.606600545
22-04-2020,22262807.124345154
23-04-2020,22175053.5462194
24-04-2020,21991567.360068478
25-04-2020,21725352.619152233
26-04-2020,22875952.528484106
27-04-2020,21417308.820494935
28-04-2020,21705973.477913782
29-04-2020,22320619.170821838
30-04-2020,22082333.329095796
01-05-2020,21049824.104503337
02-05-2020,21922471.970977914
03-05-2020,22773903.21684291
04-05-2020,20183771.74788423
05-05-2020,20318774.982076053
06-05-2020,23195942.237595968
07-05-2020,21872755.7231258
08-05-2020,22980618.656062275
09-05-2020,22370997.98651464
10-05-2020,23789708.500496462
11-05-2020,22558846.62818531
12-05-2020,22916548.290332135
13-05-2020,23360107.66687102
14-05-2020,23128021.76003584
15-05-2020,23118751.049880825
16-05-2020,23167234.00183992
17-05-2020,24663135.703536887
18-05-2020,23046584.885526113
19-05-2020,20930291.51535739
20-05-2020,21283026.538506374
21-05-2020,23600230.987968184
22-05-2020,23821033.552189484
23-05-2020,23352674.436087128
24-05-2020,25127190.748482075
25-05-2020,22065629.388156895
26-05-2020,23646818.07619357
27-05-2020,24535774.308642454
28-05-2020,24044906.891674925
29-05-2020,24272688.727352932
30-05-2020,24794555.818774816
31-05-2020,26893819.87076596
01-06-2020,23608839.130282518
02-06-2020,24192368.380011067
03-06-2020,24772105.902272213
04-06-2020,24373958.702428285
05-06-2020,24874155.21391341
06-06-2020,25205102.88840048
07-06-2020,26664921.50792009
08-06-2020,25084453.772086676
09-06-2020,25147290.841923796
10-06-2020,26102213.303836517
11-06-2020,25137961.7474062
12-06-2020,25330835.412437297
13-06-2020,24564482.5443985
14-06-2020,27044410.518728834
15-06-2020,24680165.02171446
16-06-2020,25128691.037251186
17-06-2020,25533038.171985984
18-06-2020,24938946.531846814
19-06-2020,25009216.832467824
20-06-2020,25092607.95507383
21-06-2020,25604878.959102023
22-06-2020,24984358.708541766
23-06-2020,25236940.28378325
24-06-2020,25843431.793704163
25-06-2020,25238115.195313692
26-06-2020,25219515.390641082
27-06-2020,24914088.407920755
28-06-2020,26913257.396367
29-06-2020,25255598.472818438
30-06-2020,25472096.965882573
01-07-2020,25826006.900561996
02-07-2020,25556663.00001902
03-07-2020,25087582.9317134
04-07-2020,25644358.193782195
05-07-2020,26613309.396334276
06-07-2020,25529909.01235926
07-07-2020,25565992.094536617
08-07-2020,25976539.164162282
09-07-2020,25506225.799963642
10-07-2020,25374351.72539854
11-07-2020,25395626.730370697
12-07-2020,26898903.27848897
13-07-2020,25663016.382817384
14-07-2020,25292856.466526236
15-07-2020,25612579.182762004
16-07-2020,25898114.68055412
17-07-2020,26259003.88669026
18-07-2020,20193100.84240182
19-07-2020,22018054.354852147
20-07-2020,20418928.429983545
21-07-2020,25427859.70071806
22-07-2020,25858960.823112626
23-07-2020,26073505.068080474
24-07-2020,26070434.29281633
25-07-2020,25228786.1007961
26-07-2020,27517794.658191618
27-07-2020,25621908.277279597
28-07-2020,25786794.658757914
29-07-2020,26239624.745451808
30-07-2020,26638434.51313642
31-07-2020,26362228.1098619
01-08-2020,25617150.24679526
02-08-2020,23249241.60440198
03-08-2020,25706799.688654717
04-08-2020,26550797.703735825
05-08-2020,25337606.0753805
06-08-2020,25036483.16381734
07-08-2020,25121107.582316365
08-08-2020,25308443.88029728
09-08-2020,21523511.979142364
10-08-2020,25483113.31562036
11-08-2020,25458255.191694304
12-08-2020,25636774.738847375
13-08-2020,24251926.066070534
14-08-2020,23891095.24429698
15-08-2020,23933703.638603874
16-08-2020,21710127.32492001
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,25062516.199273836
12-09-2020,24800151.57018758
13-09-2020,25603041.4797309
14-09-2020,25655374.543519985
15-09-2020,25188190.338948067
16-09-2020,26237007.929514837
17-09-2020,24279401.005933557
18-09-2020,25683303.442710184
19-09-2020,25329393.50803077
20-09-2020,25828089.730746783
21-09-2020,25724411.54824797
22-09-2020,25347993.312703375
23-09-2020,27675247.80888604
24-09-2020,27188230.503748503
25-09-2020,24880809.108131457
26-09-2020,25881806.314579815
27-09-2020,26744462.518696114
28-09-2020,26599676.23065952
29-09-2020,26424285.843133166
30-09-2020,26479085.498708293
01-10-2020,24853717.92986968
02-10-2020,23795175.669820722
03-10-2020,24861872.112856835
04-10-2020,25123061.83041265
05-10-2020,24859976.24912313
06-10-2020,25175394.894201737
07-10-2020,26504722.959200192
08-10-2020,26010726.382605933
09-10-2020,26731667.073949777
10-10-2020,26063059.44639502
11-10-2020,25357380.79158355
12-10-2020,26730492.162419338
13-10-2020,26856166.302093573
14-10-2020,28157565.46790183
15-10-2020,27395458.28665762
16-10-2020,27611235.827518485
17-10-2020,27762489.04332204
18-10-2020,28528120.95915757
19-10-2020,27573977.83381069
20-10-2020,27290338.19975228
21-10-2020,28570008.4012612
22-10-2020,27573582.2588461
23-10-2020,27472766.243097924
24-10-2020,27597986.423444975
25-10-2020,27911242.21191379
26-10-2020,26869403.89280374
27-10-2020,27489016.22470965
28-10-2020,28131590.816807915
29-10-2020,27537499.176668745
30-10-2020,26594581.009573165
31-10-2020,27146785.2076087
01-11-2020,28748527.94841427
02-11-2020,27809913.85247586
03-11-2020,28247935.86196455
04-11-2020,29050371.8121807
05-11-2020,28022108.274382826
06-11-2020,28078024.457125805
07-11-2020,28269664.826263886
08-11-2020,29943573.731424168
09-11-2020,28320102.026319265
10-11-2020,28527271.424865805
11-11-2020,30132864.277501363
12-11-2020,29233404.03900445
13-11-2020,29782804.454651937
14-11-2020,25008308.91381347
15-11-2020,28223077.738038495
16-11-2020,26535861.04444213
17-11-2020,27876926.411381636
18-11-2020,28818669.66694678
19-11-2020,28014279.468634337
20-11-2020,28789961.43119073
21-11-2020,28600216.92578636
22-11-2020,29124492.2246317
23-11-2020,28523025.73807122
24-11-2020,28565308.755139448
25-11-2020,29599772.22782819
26-11-2020,28381764.18462594
27-11-2020,28285973.192238197
28-11-2020,28272340.026563436
29-11-2020,29182304.271108378
30-11-2020,26982945.15557233
01-12-2020,28523025.73807122
02-12-2020,30254746.689708184
03-12-2020,29521347.74422003
04-12-2020,29469014.680430945
05-12-2020,29319203.369033918
06-12-2020,29729750.438659582
07-12-2020,29291274.46984371
08-12-2020,28006579.244974364
09-12-2020,30440187.12395539
10-12-2020,30045110.69937561
11-12-2020,30298146.233944274
12-12-2020,29681150.71797533
13-12-2020,31138561.130071476
14-12-2020,30304346.168835144
15-12-2020,30402091.409319177
16-12-2020,31306576.67117652
17-12-2020,29799903.97055543
18-12-2020,30189896.987412203
19-12-2020,30113426.75190033
20-12-2020,31307751.582706958
21-12-2020,30390866.451067876
22-12-2020,30020706.534776725
23-12-2020,31244914.512869846
24-12-2020,30206146.96902393
25-12-2020,29413761.06552865
26-12-2020,29825483.046684753
27-12-2020,31379917.747061674
28-12-2020,30710589.167303648
29-12-2020,30459903.45579586
30-12-2020,31627474.29894273
31-12-2020,31068290.829450473
