Date,Mobility
15-02-2020,41457500.159010366
16-02-2020,40665663.5317491
17-02-2020,41644285.774192244
18-02-2020,41225696.970848665
19-02-2020,40831906.7365323
20-02-2020,40294713.16924239
21-02-2020,37454446.73003274
22-02-2020,39568094.86037233
23-02-2020,40429424.22319459
24-02-2020,40768500.76988301
25-02-2020,40951838.74255147
26-02-2020,41048930.87676097
27-02-2020,39882696.24447958
28-02-2020,41079816.21469987
29-02-2020,40467043.14293729
01-03-2020,40186613.03605932
02-03-2020,41526166.119914986
03-03-2020,40502202.89804596
04-03-2020,41446492.1600368
05-03-2020,40799386.107821904
06-03-2020,41107415.61334839
07-03-2020,41007037.5398485
08-03-2020,40917505.762099154
09-03-2020,40906821.16957164
10-03-2020,29062772.16486079
11-03-2020,40554115.756052606
12-03-2020,40072767.79895184
13-03-2020,40677980.514254265
14-03-2020,39792337.69207387
15-03-2020,40117120.30049834
16-03-2020,41072579.264685765
17-03-2020,39414977.15420942
18-03-2020,40065530.84893773
19-03-2020,39238534.466567785
20-03-2020,39608658.05441812
21-03-2020,34902976.36948252
22-03-2020,28654666.832945395
23-03-2020,32912689.629134275
24-03-2020,29624419.735396776
25-03-2020,28956447.86633716
26-03-2020,29658752.71584909
27-03-2020,29648571.491531886
28-03-2020,29894003.546524204
29-03-2020,29166900.127985068
30-03-2020,29236051.198558763
31-03-2020,29063397.81841782
01-04-2020,29389007.201498643
02-04-2020,29014932.60292458
03-04-2020,29319514.46593765
04-04-2020,29613411.73642321
05-04-2020,30194814.36057782
06-04-2020,28876108.83502563
07-04-2020,31603680.218230214
08-04-2020,30485245.730008725
09-04-2020,30900548.59406192
10-04-2020,29661535.28692916
11-04-2020,32039183.82769479
12-04-2020,31581664.22028308
13-04-2020,32523817.724085946
14-04-2020,30339688.380305987
15-04-2020,32461723.641762093
16-04-2020,29896624.41438125
17-04-2020,31215815.049602512
18-04-2020,29917490.23122597
19-04-2020,32177360.78270164
20-04-2020,30301746.054117236
21-04-2020,31001430.035772122
22-04-2020,30395390.545813333
23-04-2020,31606804.454297572
24-04-2020,30263965.43115152
25-04-2020,31814455.886324167
26-04-2020,31256558.205412574
27-04-2020,32077306.115647797
28-04-2020,30114960.438935366
29-04-2020,32485713.69467417
30-04-2020,30768800.07295406
01-05-2020,31776675.26335845
02-05-2020,30921091.004460596
03-05-2020,33786335.97446171
04-05-2020,31693050.292756535
05-05-2020,33171265.44128813
06-05-2020,32232882.986444727
07-05-2020,34212808.5407115
08-05-2020,31959851.53280389
09-05-2020,35382329.11228327
10-05-2020,33561104.664880775
11-05-2020,35416662.09273557
12-05-2020,32226149.404640928
13-05-2020,36053586.92063327
14-05-2020,32540912.491971206
15-05-2020,37057349.39709092
16-05-2020,33298577.842003196
17-05-2020,39679118.10852343
18-05-2020,32658205.371592097
19-05-2020,35520326.10552586
20-05-2020,32581979.054227315
21-05-2020,35914763.152734324
22-05-2020,32741003.567537647
23-05-2020,37291935.156332694
24-05-2020,34422595.73092607
25-05-2020,36049797.61313257
26-05-2020,36225916.89432818
27-05-2020,38167396.754195884
28-05-2020,35962563.29679422
29-05-2020,36263859.22051692
30-05-2020,38859017.0111803
31-05-2020,39173294.988841504
01-06-2020,38811216.8671204
02-06-2020,37648268.17412939
03-06-2020,38423513.40171572
04-06-2020,38333819.92074335
05-06-2020,39351049.560808584
06-06-2020,39402962.41881523
07-06-2020,40841743.39506838
08-06-2020,40572644.69361003
09-06-2020,39109065.148329675
10-06-2020,40022469.07238161
11-06-2020,40022630.775604635
12-06-2020,40064362.40929408
13-06-2020,39458322.91933529
14-06-2020,41793754.716742404
15-06-2020,39372077.08087633
16-06-2020,39597146.68723424
17-06-2020,40119561.20659111
18-06-2020,38880547.89945836
19-06-2020,40067648.34858446
20-06-2020,40666289.18530612
21-06-2020,40979902.09153399
22-06-2020,40839607.636880405
23-06-2020,39798064.537457034
24-06-2020,40915672.25102217
25-06-2020,39309982.99855247
26-06-2020,40289432.015651986
27-06-2020,39707705.985051334
28-06-2020,41440384.231790036
29-06-2020,40379125.49662436
30-06-2020,39905176.19276073
01-07-2020,40645261.66523837
02-07-2020,38454560.44287764
03-07-2020,38613584.95618798
04-07-2020,39499389.481591396
05-07-2020,39072916.915341616
06-07-2020,37655001.75593319
07-07-2020,36644505.69767175
08-07-2020,37450636.263196975
09-07-2020,36907355.92699538
10-07-2020,38450951.097141206
11-07-2020,38243461.36833764
12-07-2020,39709841.743239306
13-07-2020,38793475.28634303
14-07-2020,37672419.9302645
15-07-2020,39298309.92814557
16-07-2020,39100839.720436186
17-07-2020,39101504.79186951
18-07-2020,39166884.81348375
19-07-2020,40467507.09327129
20-07-2020,39485095.54332744
21-07-2020,39879370.88731289
22-07-2020,40492143.95907548
23-07-2020,39876084.94802251
24-07-2020,40855533.96512202
25-07-2020,40550952.10210895
26-07-2020,42132004.48877445
27-07-2020,41032300.05920971
28-07-2020,39758792.06840162
29-07-2020,40769288.12666306
30-07-2020,40198408.39181294
31-07-2020,40585950.15399459
01-08-2020,38592880.84256628
02-08-2020,41987273.913728066
03-08-2020,39604203.67548408
04-08-2020,38991107.197275445
05-08-2020,38194672.74639835
06-08-2020,38035648.23308802
07-08-2020,38814844.47139807
08-08-2020,36551364.574185975
09-08-2020,38322488.515323736
10-08-2020,39561986.93212557
11-08-2020,40427590.7121176
12-08-2020,32609255.046429783
13-08-2020,32144821.895450015
14-08-2020,33152535.382631384
15-08-2020,32588389.229585063
16-08-2020,34937126.487376735
17-08-2020,
18-08-2020,32485228.585005097
19-08-2020,
20-08-2020,33720129.17819111
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,38779846.41951242
12-09-2020,39219462.742923744
13-09-2020,39305385.17493666
14-09-2020,39738591.32299024
15-09-2020,39215350.02897699
16-09-2020,40149619.76987365
17-09-2020,38817788.745701164
18-09-2020,40156353.35167745
19-09-2020,39546866.219205245
20-09-2020,40813317.2217635
21-09-2020,39994042.89907673
22-09-2020,39671719.455286294
23-09-2020,40671369.21779719
24-09-2020,39404756.51201592
25-09-2020,39985817.47118323
26-09-2020,39656922.148812026
27-09-2020,41906108.107760176
28-09-2020,40093917.6043663
29-09-2020,39128439.11908469
30-09-2020,38523729.77199259
01-10-2020,36361958.09114705
02-10-2020,35397629.78696785
03-10-2020,37154783.19628771
04-10-2020,38580420.41537932
05-10-2020,37611979.39725337
06-10-2020,37376566.863355234
07-10-2020,38898631.14522301
08-10-2020,38842767.27649263
09-10-2020,39340868.336491376
10-10-2020,37852471.963642575
11-10-2020,38148666.69553913
12-10-2020,40313080.403576784
13-10-2020,39946242.75501683
14-10-2020,39253130.651942715
15-10-2020,40329833.50647476
16-10-2020,41575580.39541131
17-10-2020,41014720.18165538
18-10-2020,42232544.26549736
19-10-2020,41499515.78126955
20-10-2020,40499704.315535635
21-10-2020,40870492.97481931
22-10-2020,39552632.48246472
23-10-2020,40151938.39061972
